cryptic	ctrl
ACOT11_acceptor_1	ACOT11_14_43
ACOT11_acceptor_1	ACOT11_12_133
ACOT11_acceptor_1	ACOT11_12_708
ACOT11_acceptor_1	ACOT11_12_428
ACOT11_acceptor_1	ACOT11_12_553
ACOT11_acceptor_1	ACOT11_12_330
ACOT11_acceptor_1	ACOT11_12_372
ACOT11_acceptor_1	ACOT11_8_4
ACOT11_acceptor_1	ACOT11_14_57
ACVR1B_donor_1	ACVR1B_2_76
ACVR1B_donor_1	ACVR1B_4_9
ACVR1B_donor_1	ACVR1B_2_39
ACVR1B_donor_1	ACVR1B_2_13
ACVR1B_donor_1	ACVR1B_5_2
ACVR1B_donor_1	ACVR1B_5_18
ACVR1B_donor_1	ACVR1B_2_1
ACVR1B_donor_1	ACVR1B_2_27
ACVR1B_donor_1	ACVR1B_6_8
ACVR1B_donor_1	ACVR1B_3_8
ADCY1_acceptor_1	ADCY1_4_81
ADCY1_acceptor_1	ADCY1_1_247
ADCY1_acceptor_1	ADCY1_2_96
ADCY1_acceptor_1	ADCY1_3_124
ADCY1_acceptor_1	ADCY1_2_177
ADCY1_acceptor_1	ADCY1_3_13
ADCY1_acceptor_1	ADCY1_1_325
ADCY1_acceptor_1	ADCY1_16_41
ADCY1_acceptor_1	ADCY1_5_24
ADCY1_acceptor_1	ADCY1_3_38
ADCY1_donor_1	ADCY1_2_195
ADCY1_donor_1	ADCY1_3_175
ADCY1_donor_1	ADCY1_2_241
ADCY1_donor_1	ADCY1_2_258
ADCY1_donor_1	ADCY1_2_282
ADCY1_donor_1	ADCY1_14_37
ADCY1_donor_1	ADCY1_2_333
ADCY1_donor_1	ADCY1_1_54
ADCY1_donor_1	ADCY1_14_64
ADCY1_donor_1	ADCY1_1_91
ADCY1_donor_2	ADCY1_2_24
ADCY1_donor_2	ADCY1_2_111
ADCY1_donor_2	ADCY1_1_80
ADCY1_donor_2	ADCY1_2_46
ADCY1_donor_2	ADCY1_2_315
ADCY1_donor_2	ADCY1_5_14
ADCY1_donor_2	ADCY1_4_163
ADCY1_donor_2	ADCY1_1_275
ADCY1_donor_2	ADCY1_7_17
ADCY1_donor_2	ADCY1_3_215
ADCY7_acceptor_1	ADCY7_3_13
ADCY7_acceptor_1	ADCY7_10_7
ADCY7_acceptor_1	ADCY7_3_61
ADCY7_acceptor_1	ADCY7_4_5
ADCY7_acceptor_1	ADCY7_15_2
ADCY7_acceptor_1	ADCY7_11_12
ADCY7_acceptor_1	ADCY7_12_1
ADCY7_acceptor_1	ADCY7_3_44
ADCY7_acceptor_1	ADCY7_13_7
ADCY7_acceptor_1	ADCY7_17_2
AGFG2_acceptor_1	AGFG2_1_12
AGFG2_acceptor_1	AGFG2_2_36
AGFG2_acceptor_1	AGFG2_4_15
AGFG2_acceptor_1	AGFG2_1_2
AGFG2_acceptor_1	AGFG2_4_2
AGFG2_acceptor_1	AGFG2_3_1
AGFG2_acceptor_1	AGFG2_6_3
AGFG2_acceptor_1	AGFG2_2_10
AGFG2_acceptor_1	AGFG2_2_46
AGFG2_acceptor_1	AGFG2_2_22
AGRN_acceptor_1	AGRN_2_1
AGRN_acceptor_1	AGRN_2_84
AGRN_acceptor_1	AGRN_1_18
AGRN_acceptor_1	AGRN_6_9
AGRN_acceptor_1	AGRN_2_72
AGRN_acceptor_1	AGRN_2_62
AGRN_acceptor_1	AGRN_1_4
AGRN_acceptor_1	AGRN_2_44
AGRN_acceptor_1	AGRN_2_14
AGRN_acceptor_1	AGRN_2_29
AGRN_acceptor_2	AGRN_2_64
AGRN_acceptor_2	AGRN_2_89
AGRN_acceptor_2	AGRN_2_49
AGRN_acceptor_2	AGRN_2_75
AGRN_acceptor_2	AGRN_6_1
AGRN_acceptor_2	AGRN_2_38
AGRN_acceptor_2	AGRN_2_25
AGRN_acceptor_2	AGRN_1_8
AGRN_acceptor_2	AGRN_6_12
AGRN_acceptor_2	AGRN_2_5
AGRN_donor_1	AGRN_2_19
AGRN_donor_1	AGRN_2_94
AGRN_donor_1	AGRN_2_54
AGRN_donor_1	AGRN_2_3
AGRN_donor_1	AGRN_2_35
AGRN_donor_1	AGRN_1_1
AGRN_donor_1	AGRN_2_66
AGRN_donor_1	AGRN_6_5
AGRN_donor_1	AGRN_1_15
AGRN_donor_1	AGRN_2_79
AGRN_donor_2	AGRN_2_28
AGRN_donor_2	AGRN_2_42
AGRN_donor_2	AGRN_2_13
AGRN_donor_2	AGRN_2_97
AGRN_donor_2	AGRN_2_59
AGRN_donor_2	AGRN_2_71
AGRN_donor_2	AGRN_1_14
AGRN_donor_2	AGRN_2_81
AGRN_donor_2	AGRN_6_11
AGRN_donor_2	AGRN_1_26
AKT3_acceptor_1	AKT3_6_9
AKT3_acceptor_1	AKT3_7_126
AKT3_acceptor_1	AKT3_11_29
AKT3_acceptor_1	AKT3_12_14
AKT3_acceptor_1	AKT3_7_22
AKT3_acceptor_1	AKT3_12_157
AKT3_acceptor_1	AKT3_8_116
AKT3_acceptor_1	AKT3_6_56
AKT3_acceptor_1	AKT3_12_127
AKT3_acceptor_1	AKT3_8_56
AKT3_donor_1	AKT3_12_405
AKT3_donor_1	AKT3_6_39
AKT3_donor_1	AKT3_12_784
AKT3_donor_1	AKT3_12_347
AKT3_donor_1	AKT3_7_124
AKT3_donor_1	AKT3_7_171
AKT3_donor_1	AKT3_7_73
AKT3_donor_1	AKT3_12_481
AKT3_donor_1	AKT3_7_288
AKT3_donor_1	AKT3_7_305
ALX1_acceptor_1	ALX1_2_8
ALX1_acceptor_1	ALX1_1_3
ALX1_acceptor_1	ALX1_1_37
ALX1_acceptor_1	ALX1_1_17
ALX1_acceptor_1	ALX1_2_19
ALX1_acceptor_1	ALX1_2_44
ALX1_acceptor_1	ALX1_1_27
ALX1_acceptor_1	ALX1_2_33
ALX1_acceptor_1	ALX1_1_51
ANK2_donor_1	ANK2_4_36
ANK2_donor_1	ANK2_1_122
ANK2_donor_1	ANK2_6_37
ANK2_donor_1	ANK2_10_80
ANK2_donor_1	ANK2_1_147
ANK2_donor_1	ANK2_24_128
ANK2_donor_1	ANK2_24_102
ANK2_donor_1	ANK2_1_53
ANK2_donor_1	ANK2_10_43
ANK2_donor_1	ANK2_20_44
ARHGAP22_acceptor_1	ARHGAP22_7_29
ARHGAP22_acceptor_1	ARHGAP22_6_12
ARHGAP22_acceptor_1	ARHGAP22_6_58
ARHGAP22_acceptor_1	ARHGAP22_6_28
ARHGAP22_acceptor_1	ARHGAP22_6_106
ARHGAP22_acceptor_1	ARHGAP22_6_81
ARHGAP22_acceptor_1	ARHGAP22_7_51
ARHGAP22_acceptor_1	ARHGAP22_7_101
ARHGAP22_acceptor_1	ARHGAP22_6_40
ARHGAP22_acceptor_1	ARHGAP22_7_123
ARHGAP22_donor_1	ARHGAP22_6_20
ARHGAP22_donor_1	ARHGAP22_4_14
ARHGAP22_donor_1	ARHGAP22_7_88
ARHGAP22_donor_1	ARHGAP22_7_120
ARHGAP22_donor_1	ARHGAP22_7_41
ARHGAP22_donor_1	ARHGAP22_8_2
ARHGAP22_donor_1	ARHGAP22_4_80
ARHGAP22_donor_1	ARHGAP22_6_236
ARHGAP22_donor_1	ARHGAP22_6_144
ARHGAP22_donor_1	ARHGAP22_5_2
ARHGAP26_acceptor_1	ARHGAP26_10_242
ARHGAP26_acceptor_1	ARHGAP26_4_48
ARHGAP26_acceptor_1	ARHGAP26_11_69
ARHGAP26_acceptor_1	ARHGAP26_9_35
ARHGAP26_acceptor_1	ARHGAP26_18_16
ARHGAP26_acceptor_1	ARHGAP26_15_58
ARHGAP26_acceptor_1	ARHGAP26_8_7
ARHGAP26_acceptor_1	ARHGAP26_6_214
ARHGAP26_acceptor_1	ARHGAP26_10_1
ARHGAP26_acceptor_1	ARHGAP26_6_66
ARHGAP32_acceptor_1	ARHGAP32_18_484
ARHGAP32_acceptor_1	ARHGAP32_12_391
ARHGAP32_acceptor_1	ARHGAP32_7_37
ARHGAP32_acceptor_1	ARHGAP32_6_5
ARHGAP32_acceptor_1	ARHGAP32_11_475
ARHGAP32_acceptor_1	ARHGAP32_12_585
ARHGAP32_acceptor_1	ARHGAP32_8_1
ARHGAP32_acceptor_1	ARHGAP32_18_546
ARHGAP32_acceptor_1	ARHGAP32_13_621
ARHGAP32_acceptor_1	ARHGAP32_12_559
ARL15_donor_1	ARL15_1_324
ARL15_donor_1	ARL15_1_116
ARL15_donor_1	ARL15_1_41
ARL15_donor_1	ARL15_1_298
ARL15_donor_1	ARL15_1_106
ARL15_donor_1	ARL15_1_10
ARL15_donor_1	ARL15_1_192
ARL15_donor_1	ARL15_1_209
ARL15_donor_1	ARL15_1_312
ARL15_donor_1	ARL15_1_265
BCL2L13_acceptor_1	BCL2L13_3_102
BCL2L13_acceptor_1	BCL2L13_5_318
BCL2L13_acceptor_1	BCL2L13_1_75
BCL2L13_acceptor_1	BCL2L13_1_91
BCL2L13_acceptor_1	BCL2L13_5_301
BCL2L13_acceptor_1	BCL2L13_5_178
BCL2L13_acceptor_1	BCL2L13_5_164
BCL2L13_acceptor_1	BCL2L13_5_14
BCL2L13_acceptor_1	BCL2L13_5_88
BCL2L13_acceptor_1	BCL2L13_2_128
C4orf36_acceptor_1	C4orf36_2_74
C4orf36_acceptor_1	C4orf36_2_102
C4orf36_acceptor_1	C4orf36_3_6
C4orf36_acceptor_1	C4orf36_2_54
C4orf36_acceptor_1	C4orf36_2_64
C4orf36_acceptor_1	C4orf36_2_92
C4orf36_acceptor_1	C4orf36_2_18
C4orf36_acceptor_1	C4orf36_2_32
C4orf36_acceptor_1	C4orf36_2_42
C4orf36_acceptor_1	C4orf36_2_1
C4orf36_donor_1	C4orf36_2_19
C4orf36_donor_1	C4orf36_3_4
C4orf36_donor_1	C4orf36_2_91
C4orf36_donor_1	C4orf36_2_30
C4orf36_donor_1	C4orf36_2_108
C4orf36_donor_1	C4orf36_2_60
C4orf36_donor_1	C4orf36_2_73
C4orf36_donor_1	C4orf36_2_44
C4orf36_donor_1	C4orf36_2_4
CAMK2B_donor_1	CAMK2B_14_22
CAMK2B_donor_1	CAMK2B_12_5
CAMK2B_donor_1	CAMK2B_14_127
CAMK2B_donor_1	CAMK2B_3_7
CAMK2B_donor_1	CAMK2B_5_11
CAMK2B_donor_1	CAMK2B_14_105
CAMK2B_donor_1	CAMK2B_14_83
CAMK2B_donor_1	CAMK2B_14_36
CAMK2B_donor_1	CAMK2B_11_49
CAMK2B_donor_1	CAMK2B_8_12
CAMKK2_donor_1	CAMKK2_10_2
CAMKK2_donor_1	CAMKK2_12_239
CAMKK2_donor_1	CAMKK2_12_164
CAMKK2_donor_1	CAMKK2_12_194
CAMKK2_donor_1	CAMKK2_4_22
CAMKK2_donor_1	CAMKK2_12_130
CAMKK2_donor_1	CAMKK2_12_27
CAMKK2_donor_1	CAMKK2_12_13
CAMKK2_donor_1	CAMKK2_7_8
CAMKK2_donor_1	CAMKK2_12_110
CARD8_donor_1	CARD8_8_22
CARD8_donor_1	CARD8_3_20
CARD8_donor_1	CARD8_7_1
CARD8_donor_1	CARD8_14_6
CARD8_donor_1	CARD8_1_18
CARD8_donor_1	CARD8_12_24
CARD8_donor_1	CARD8_7_13
CARD8_donor_1	CARD8_8_50
CARD8_donor_1	CARD8_14_91
CARD8_donor_1	CARD8_14_122
CDK7_donor_1	CDK7_8_18
CDK7_donor_1	CDK7_1_89
CDK7_donor_1	CDK7_8_4
CDK7_donor_1	CDK7_1_47
CDK7_donor_1	CDK7_1_111
CDK7_donor_1	CDK7_5_3
CDK7_donor_1	CDK7_2_35
CDK7_donor_1	CDK7_3_7
CDK7_donor_1	CDK7_1_62
CDK7_donor_1	CDK7_2_59
CDO1_acceptor_1	CDO1_2_14
CDO1_acceptor_1	CDO1_3_26
CDO1_acceptor_1	CDO1_2_1
CDO1_acceptor_1	CDO1_3_51
CDO1_acceptor_1	CDO1_3_11
CDO1_acceptor_1	CDO1_2_27
CDO1_acceptor_1	CDO1_1_1
CDO1_acceptor_1	CDO1_3_1
CDO1_acceptor_1	CDO1_3_36
CDO1_acceptor_1	CDO1_4_10
CDO1_donor_1	CDO1_4_7
CDO1_donor_1	CDO1_2_9
CDO1_donor_1	CDO1_2_20
CDO1_donor_1	CDO1_3_19
CDO1_donor_1	CDO1_3_50
CDO1_donor_1	CDO1_3_5
CDO1_donor_1	CDO1_4_17
CDO1_donor_1	CDO1_3_40
CDO1_donor_1	CDO1_1_5
CDO1_donor_1	CDO1_3_30
CELF5_acceptor_1	CELF5_8_104
CELF5_acceptor_1	CELF5_8_414
CELF5_acceptor_1	CELF5_3_48
CELF5_acceptor_1	CELF5_8_481
CELF5_acceptor_1	CELF5_7_21
CELF5_acceptor_1	CELF5_3_37
CELF5_acceptor_1	CELF5_8_136
CELF5_acceptor_1	CELF5_8_323
CELF5_acceptor_1	CELF5_8_154
CELF5_acceptor_1	CELF5_7_44
CEP290_acceptor_1	CEP290_20_16
CEP290_acceptor_1	CEP290_22_15
CEP290_acceptor_1	CEP290_26_17
CEP290_acceptor_1	CEP290_9_36
CEP290_acceptor_1	CEP290_17_100
CEP290_acceptor_1	CEP290_31_26
CEP290_acceptor_1	CEP290_17_79
CEP290_acceptor_1	CEP290_28_15
CEP290_acceptor_1	CEP290_16_7
CEP290_acceptor_1	CEP290_15_8
CEP290_acceptor_2	CEP290_17_48
CEP290_acceptor_2	CEP290_2_5
CEP290_acceptor_2	CEP290_25_2
CEP290_acceptor_2	CEP290_1_3
CEP290_acceptor_2	CEP290_5_76
CEP290_acceptor_2	CEP290_17_73
CEP290_acceptor_2	CEP290_17_15
CEP290_acceptor_2	CEP290_20_21
CEP290_acceptor_2	CEP290_33_15
CEP290_acceptor_2	CEP290_5_19
CEP72_acceptor_1	CEP72_1_113
CEP72_acceptor_1	CEP72_3_10
CEP72_acceptor_1	CEP72_3_49
CEP72_acceptor_1	CEP72_8_13
CEP72_acceptor_1	CEP72_3_20
CEP72_acceptor_1	CEP72_6_26
CEP72_acceptor_1	CEP72_1_9
CEP72_acceptor_1	CEP72_4_70
CEP72_acceptor_1	CEP72_4_162
CEP72_acceptor_1	CEP72_10_16
CEP72_donor_1	CEP72_6_29
CEP72_donor_1	CEP72_3_74
CEP72_donor_1	CEP72_1_64
CEP72_donor_1	CEP72_4_16
CEP72_donor_1	CEP72_6_1
CEP72_donor_1	CEP72_4_121
CEP72_donor_1	CEP72_1_115
CEP72_donor_1	CEP72_4_131
CEP72_donor_1	CEP72_2_7
CEP72_donor_1	CEP72_3_9
CHID1_donor_1	CHID1_4_153
CHID1_donor_1	CHID1_4_36
CHID1_donor_1	CHID1_5_82
CHID1_donor_1	CHID1_4_82
CHID1_donor_1	CHID1_5_67
CHID1_donor_1	CHID1_4_139
CHID1_donor_1	CHID1_4_22
CHID1_donor_1	CHID1_5_39
CHID1_donor_1	CHID1_7_6
CHID1_donor_1	CHID1_4_103
CHRNB1_acceptor_1	CHRNB1_2_48
CHRNB1_acceptor_1	CHRNB1_2_60
CHRNB1_acceptor_1	CHRNB1_2_25
CHRNB1_acceptor_1	CHRNB1_2_89
CHRNB1_acceptor_1	CHRNB1_2_35
CHRNB1_acceptor_1	CHRNB1_3_2
CHRNB1_acceptor_1	CHRNB1_2_72
CHRNB1_acceptor_1	CHRNB1_2_13
CHRNB1_acceptor_1	CHRNB1_2_99
CHRNB1_acceptor_1	CHRNB1_2_1
CLDN11_acceptor_1	CLDN11_1_13
CLDN11_acceptor_1	CLDN11_1_3
CLDN11_acceptor_1	CLDN11_1_31
CORO7-PAM16_acceptor_1	CORO7-PAM16_15_22
CORO7-PAM16_acceptor_1	CORO7-PAM16_17_12
CORO7-PAM16_acceptor_1	CORO7-PAM16_14_11
CORO7-PAM16_acceptor_1	CORO7-PAM16_14_45
CORO7-PAM16_acceptor_1	CORO7-PAM16_17_1
CORO7-PAM16_acceptor_1	CORO7-PAM16_17_45
CORO7-PAM16_acceptor_1	CORO7-PAM16_3_20
CORO7-PAM16_acceptor_1	CORO7-PAM16_14_117
CORO7-PAM16_acceptor_1	CORO7-PAM16_14_56
CORO7-PAM16_acceptor_1	CORO7-PAM16_14_34
DENND1B_acceptor_1	DENND1B_12_85
DENND1B_acceptor_1	DENND1B_9_174
DENND1B_acceptor_1	DENND1B_4_8
DENND1B_acceptor_1	DENND1B_6_36
DENND1B_acceptor_1	DENND1B_13_40
DENND1B_acceptor_1	DENND1B_9_392
DENND1B_acceptor_1	DENND1B_14_222
DENND1B_acceptor_1	DENND1B_9_85
DENND1B_acceptor_1	DENND1B_6_202
DENND1B_acceptor_1	DENND1B_6_221
DENND2B_acceptor_1	DENND2B_12_109
DENND2B_acceptor_1	DENND2B_12_255
DENND2B_acceptor_1	DENND2B_8_59
DENND2B_acceptor_1	DENND2B_4_12
DENND2B_acceptor_1	DENND2B_4_308
DENND2B_acceptor_1	DENND2B_4_163
DENND2B_acceptor_1	DENND2B_4_219
DENND2B_acceptor_1	DENND2B_14_4
DENND2B_acceptor_1	DENND2B_12_143
DENND2B_acceptor_1	DENND2B_4_190
DENND2B_donor_1	DENND2B_12_191
DENND2B_donor_1	DENND2B_4_221
DENND2B_donor_1	DENND2B_12_8
DENND2B_donor_1	DENND2B_13_261
DENND2B_donor_1	DENND2B_4_314
DENND2B_donor_1	DENND2B_4_124
DENND2B_donor_1	DENND2B_4_35
DENND2B_donor_1	DENND2B_12_243
DENND2B_donor_1	DENND2B_12_39
DENND2B_donor_1	DENND2B_12_201
DENND2B_donor_2	DENND2B_4_372
DENND2B_donor_2	DENND2B_8_52
DENND2B_donor_2	DENND2B_12_261
DENND2B_donor_2	DENND2B_4_279
DENND2B_donor_2	DENND2B_12_14
DENND2B_donor_2	DENND2B_1_7
DENND2B_donor_2	DENND2B_4_121
DENND2B_donor_2	DENND2B_13_36
DENND2B_donor_2	DENND2B_8_36
DENND2B_donor_2	DENND2B_13_271
DENND6B_acceptor_1	DENND6B_10_2
DENND6B_acceptor_1	DENND6B_9_1
DGKI_donor_1	DGKI_4_536
DGKI_donor_1	DGKI_7_304
DGKI_donor_1	DGKI_27_345
DGKI_donor_1	DGKI_15_19
DGKI_donor_1	DGKI_16_120
DGKI_donor_1	DGKI_16_100
DGKI_donor_1	DGKI_9_98
DGKI_donor_1	DGKI_7_32
DGKI_donor_1	DGKI_28_61
DGKI_donor_1	DGKI_7_256
DLG5_acceptor_1	DLG5_4_66
DLG5_acceptor_1	DLG5_23_102
DLG5_acceptor_1	DLG5_23_2
DLG5_acceptor_1	DLG5_4_51
DLG5_acceptor_1	DLG5_18_48
DLG5_acceptor_1	DLG5_18_103
DLG5_acceptor_1	DLG5_16_50
DLG5_acceptor_1	DLG5_4_160
DLG5_acceptor_1	DLG5_18_25
DLG5_acceptor_1	DLG5_16_35
DLG5_donor_1	DLG5_13_10
DLG5_donor_1	DLG5_16_48
DLG5_donor_1	DLG5_4_131
DLG5_donor_1	DLG5_19_8
DLG5_donor_1	DLG5_4_104
DLG5_donor_1	DLG5_4_22
DLG5_donor_1	DLG5_18_28
DLG5_donor_1	DLG5_23_21
DLG5_donor_1	DLG5_23_66
DLG5_donor_1	DLG5_4_64
DNAAF9_acceptor_1	DNAAF9_30_80
DNAAF9_acceptor_1	DNAAF9_25_39
DNAAF9_acceptor_1	DNAAF9_27_46
DNAAF9_acceptor_1	DNAAF9_12_23
DNAAF9_acceptor_1	DNAAF9_6_63
DNAAF9_acceptor_1	DNAAF9_8_45
DNAAF9_acceptor_1	DNAAF9_18_17
DNAAF9_acceptor_1	DNAAF9_7_82
DNAAF9_acceptor_1	DNAAF9_27_34
DNAAF9_acceptor_1	DNAAF9_27_155
DNAAF9_donor_1	DNAAF9_12_66
DNAAF9_donor_1	DNAAF9_23_27
DNAAF9_donor_1	DNAAF9_21_23
DNAAF9_donor_1	DNAAF9_12_4
DNAAF9_donor_1	DNAAF9_8_140
DNAAF9_donor_1	DNAAF9_7_25
DNAAF9_donor_1	DNAAF9_27_53
DNAAF9_donor_1	DNAAF9_23_41
DNAAF9_donor_1	DNAAF9_14_11
DNAAF9_donor_1	DNAAF9_23_17
DNM1_acceptor_1	DNM1_15_38
DNM1_acceptor_1	DNM1_13_248
DNM1_acceptor_1	DNM1_13_76
DNM1_acceptor_1	DNM1_19_11
DNM1_acceptor_1	DNM1_17_104
DNM1_acceptor_1	DNM1_13_190
DNM1_acceptor_1	DNM1_13_40
DNM1_acceptor_1	DNM1_17_50
DNM1_acceptor_1	DNM1_15_55
DNM1_acceptor_1	DNM1_13_134
DNMT3A_acceptor_1	DNMT3A_11_186
DNMT3A_acceptor_1	DNMT3A_12_203
DNMT3A_acceptor_1	DNMT3A_11_98
DNMT3A_acceptor_1	DNMT3A_11_3
DNMT3A_acceptor_1	DNMT3A_11_165
DNMT3A_acceptor_1	DNMT3A_11_70
DNMT3A_acceptor_1	DNMT3A_11_209
DNMT3A_acceptor_1	DNMT3A_12_158
DNMT3A_acceptor_1	DNMT3A_12_221
DNMT3A_acceptor_1	DNMT3A_11_320
DNMT3A_donor_1	DNMT3A_11_48
DNMT3A_donor_1	DNMT3A_12_150
DNMT3A_donor_1	DNMT3A_11_296
DNMT3A_donor_1	DNMT3A_12_238
DNMT3A_donor_1	DNMT3A_12_211
DNMT3A_donor_1	DNMT3A_11_63
DNMT3A_donor_1	DNMT3A_12_68
DNMT3A_donor_1	DNMT3A_11_6
DNMT3A_donor_1	DNMT3A_12_169
DNMT3A_donor_1	DNMT3A_11_90
DOCK1_acceptor_1	DOCK1_24_45
DOCK1_acceptor_1	DOCK1_29_67
DOCK1_acceptor_1	DOCK1_13_740
DOCK1_acceptor_1	DOCK1_13_244
DOCK1_acceptor_1	DOCK1_2_22
DOCK1_acceptor_1	DOCK1_3_74
DOCK1_acceptor_1	DOCK1_16_120
DOCK1_acceptor_1	DOCK1_13_21
DOCK1_acceptor_1	DOCK1_16_153
DOCK1_acceptor_1	DOCK1_14_218
DOCK1_donor_1	DOCK1_1_112
DOCK1_donor_1	DOCK1_12_136
DOCK1_donor_1	DOCK1_11_26
DOCK1_donor_1	DOCK1_13_549
DOCK1_donor_1	DOCK1_16_137
DOCK1_donor_1	DOCK1_14_111
DOCK1_donor_1	DOCK1_29_12
DOCK1_donor_1	DOCK1_3_92
DOCK1_donor_1	DOCK1_13_141
DOCK1_donor_1	DOCK1_14_129
DYNC1I1_acceptor_1	DYNC1I1_12_514
DYNC1I1_acceptor_1	DYNC1I1_6_136
DYNC1I1_acceptor_1	DYNC1I1_14_1
DYNC1I1_acceptor_1	DYNC1I1_12_136
DYNC1I1_acceptor_1	DYNC1I1_2_738
DYNC1I1_acceptor_1	DYNC1I1_6_159
DYNC1I1_acceptor_1	DYNC1I1_13_38
DYNC1I1_acceptor_1	DYNC1I1_11_199
DYNC1I1_acceptor_1	DYNC1I1_12_51
DYNC1I1_acceptor_1	DYNC1I1_12_312
DYNC1I1_donor_1	DYNC1I1_16_151
DYNC1I1_donor_1	DYNC1I1_11_21
DYNC1I1_donor_1	DYNC1I1_12_153
DYNC1I1_donor_1	DYNC1I1_16_49
DYNC1I1_donor_1	DYNC1I1_3_48
DYNC1I1_donor_1	DYNC1I1_12_333
DYNC1I1_donor_1	DYNC1I1_12_105
DYNC1I1_donor_1	DYNC1I1_12_363
DYNC1I1_donor_1	DYNC1I1_2_48
DYNC1I1_donor_1	DYNC1I1_2_1001
EHD2_donor_1	EHD2_1_5
EHD2_donor_1	EHD2_3_32
EHD2_donor_1	EHD2_3_3
EHD2_donor_1	EHD2_3_46
EHD2_donor_1	EHD2_2_31
EHD2_donor_1	EHD2_2_58
EHD2_donor_1	EHD2_2_21
EHD2_donor_1	EHD2_2_71
EHD2_donor_1	EHD2_2_8
EHD2_donor_1	EHD2_3_15
ENDOV_acceptor_1	ENDOV_2_2
ENDOV_acceptor_1	ENDOV_5_26
ENDOV_acceptor_1	ENDOV_2_13
ENDOV_acceptor_1	ENDOV_1_4
ENDOV_acceptor_1	ENDOV_5_15
ENDOV_acceptor_1	ENDOV_5_1
EPB41L4A_acceptor_1	EPB41L4A_10_20
EPB41L4A_acceptor_1	EPB41L4A_10_35
EPB41L4A_acceptor_1	EPB41L4A_11_242
EPB41L4A_acceptor_1	EPB41L4A_2_179
EPB41L4A_acceptor_1	EPB41L4A_2_142
EPB41L4A_acceptor_1	EPB41L4A_13_25
EPB41L4A_acceptor_1	EPB41L4A_11_171
EPB41L4A_acceptor_1	EPB41L4A_11_14
EPB41L4A_acceptor_1	EPB41L4A_5_8
EPB41L4A_acceptor_1	EPB41L4A_2_219
EPB41L4A_donor_1	EPB41L4A_2_116
EPB41L4A_donor_1	EPB41L4A_10_73
EPB41L4A_donor_1	EPB41L4A_13_105
EPB41L4A_donor_1	EPB41L4A_10_11
EPB41L4A_donor_1	EPB41L4A_11_42
EPB41L4A_donor_1	EPB41L4A_5_46
EPB41L4A_donor_1	EPB41L4A_2_11
EPB41L4A_donor_1	EPB41L4A_11_302
EPB41L4A_donor_1	EPB41L4A_8_38
EPB41L4A_donor_1	EPB41L4A_11_338
FAM114A2_acceptor_1	FAM114A2_4_3
FAM114A2_acceptor_1	FAM114A2_3_134
FAM114A2_acceptor_1	FAM114A2_3_41
FAM114A2_acceptor_1	FAM114A2_1_16
FAM114A2_acceptor_1	FAM114A2_1_78
FAM114A2_acceptor_1	FAM114A2_5_6
FAM114A2_acceptor_1	FAM114A2_3_55
FAM114A2_acceptor_1	FAM114A2_3_144
FAM114A2_acceptor_1	FAM114A2_6_11
FAM114A2_acceptor_1	FAM114A2_6_55
FAM114A2_acceptor_2	FAM114A2_9_15
FAM114A2_acceptor_2	FAM114A2_3_127
