"","gene_name.x","gene_id.x","lsv_id.x","num_junctions.x","num_exons.x","de_novo_junctions.x","seqid.x","strand.x","lsv_junc.x","junc_start.x","junc_end.x","ir_start.x","ir_end.x","paste_into_igv_junction","exon_type.x","color_gene_name.x","Control_Control","Cycloheximide_Control","Control_TDP43KD","Cycloheximide_TDP43KD","gene_name.y","gene_id.y","lsv_id.y","num_junctions.y","num_exons.y","de_novo_junctions.y","seqid.y","strand.y","lsv_junc.y","junc_start.y","junc_end.y","ir_start.y","ir_end.y","exon_type.y","color_gene_name.y","ctrl_ctrl","ctrl_UPF1","TDP43_ctrl","TDP43_UPF1"
"27","RALBP1","ENSG00000017797.13","ENSG00000017797.13:t:9512991-9513289",5,"6",0,"chr18","+","ENSG00000017797.13:t:9512991-9513289_9475176-9512991",9475176,9512991,NA,NA,"chr18:9475176-9512991","target","Delta PSI > 0.05",0.0329,0.0464,0.0461,0.1572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","RB1CC1","ENSG00000023287.13","ENSG00000023287.13:s:52624717-52624787",2,"2",0,"chr8","-","ENSG00000023287.13:s:52624717-52624787_52623727-52624717",52623727,52624717,NA,NA,"chr8:52623727-52624717","source","Delta PSI < 0.05",0.0137,0.0388,0.1178,0.1197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","AGPAT4","ENSG00000026652.15","ENSG00000026652.15:t:161153346-161153499",5,"5",1,"chr6","-","ENSG00000026652.15:t:161153346-161153499_161153499-161165577",161153499,161165577,NA,NA,"chr6:161153499-161165577","target","Delta PSI > 0.05",0.0035,0.0243,0.0065,0.1054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","ANK1","ENSG00000029534.21","ENSG00000029534.21:s:41661801-41661941",3,"3",0,"chr8","-","ENSG00000029534.21:s:41661801-41661941_41661564-41661876",41661564,41661876,NA,NA,"chr8:41661564-41661876","source","Delta PSI < 0.05",0.0103,0.0312,0.1276,0.1518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","ATP6V0A1","ENSG00000033627.17","ENSG00000033627.17:t:42513442-42513978",5,"5",0,"chr17","+","ENSG00000033627.17:t:42513442-42513978_42510183-42513861",42510183,42513861,42510184,42513441,"chr17:42510183-42513861","target","Delta PSI > 0.05",0.0049,0.0497,0.0077,0.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","DEPDC1B","ENSG00000035499.13","ENSG00000035499.13:t:60605684-60605856",2,"3",0,"chr5","-","ENSG00000035499.13:t:60605684-60605856_60605856-60628214",60605856,60628214,NA,NA,"chr5:60605856-60628214","target","Delta PSI > 0.05",0.0167,0.0432,0.0237,0.1525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","TRIO","ENSG00000038382.20","ENSG00000038382.20:t:14492370-14492814",8,"5",1,"chr5","+","ENSG00000038382.20:t:14492370-14492814_14489097-14492567",14489097,14492567,14489818,14492369,"chr5:14489097-14492567","target","Delta PSI < 0.05",0.0435,0.0454,0.2617,0.2524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","THAP3","ENSG00000041988.15","ENSG00000041988.15:s:6632370-6632495",3,"3",0,"chr1","+","ENSG00000041988.15:s:6632370-6632495_6632495-6634020",6632495,6634020,NA,NA,"chr1:6632495-6634020","source","Delta PSI > 0.05",0.0057,0.0493,0.0289,0.1384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","WDR37","ENSG00000047056.16","ENSG00000047056.16:s:1093452-1093496",3,"3",1,"chr10","+","ENSG00000047056.16:s:1093452-1093496_1093496-1095668",1093496,1095668,1093497,1095667,"chr10:1093496-1095668","source","Delta PSI > 0.05",0.0121,0.0136,0.0299,0.1692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","WDR37","ENSG00000047056.16","ENSG00000047056.16:s:1093452-1093496",3,"3",1,"chr10","+","ENSG00000047056.16:s:1093452-1093496_1093497-1095667",1093497,1095667,1093497,1095667,"chr10:1093497-1095667","source","Delta PSI < 0.05",0.0121,0.0086,0.0885,0.1261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","WDR37","ENSG00000047056.16","ENSG00000047056.16:t:1096170-1096267",3,"3",1,"chr10","+","ENSG00000047056.16:t:1096170-1096267_1095829-1096170",1095829,1096170,1095830,1096169,"chr10:1095829-1096170","target","Delta PSI > 0.05",0.0121,0.0021,0.119,0.2225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","WDR37","ENSG00000047056.16","ENSG00000047056.16:t:1096170-1096267",3,"3",1,"chr10","+","ENSG00000047056.16:t:1096170-1096267_1095830-1096169",1095830,1096169,1095830,1096169,"chr10:1095830-1096169","target","Delta PSI < 0.05",0.0121,0.0087,0.0791,0.1195,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","USP28","ENSG00000048028.11","ENSG00000048028.11:s:113823605-113823700",4,"5",0,"chr11","-","ENSG00000048028.11:s:113823605-113823700_113820358-113823605",113820358,113823605,NA,NA,"chr11:113820358-113823605","source","Delta PSI > 0.05",0.0071,0.0469,0.0019,0.1132,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","RSF1","ENSG00000048649.14","ENSG00000048649.14:s:77820528-77820869",6,"3",1,"chr11","-","ENSG00000048649.14:s:77820528-77820869_77813783-77820528",77813783,77820528,77813788,77820527,"chr11:77813783-77820528","source","Delta PSI < 0.05",0.0017,2e-04,0.1042,0.1207,"RSF1","ENSG00000048649.14","ENSG00000048649.14:s:77820528-77820869",4,"3",1,"chr11","-","ENSG00000048649.14:s:77820528-77820869_77813783-77820528",77813783,77820528,NA,NA,"source","Delta PSI < 0.05",0.0018,5e-04,0.0975,0.1328
"41","SLC4A8","ENSG00000050438.17","ENSG00000050438.17:t:51440708-51440852",7,"8",1,"chr12","+","ENSG00000050438.17:t:51440708-51440852_51418247-51440708",51418247,51440708,NA,NA,"chr12:51418247-51440708","target","Delta PSI < 0.05",0.0027,0.0367,0.1075,0.0851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","HHAT","ENSG00000054392.13","ENSG00000054392.13:s:210387468-210387581",4,"5",0,"chr1","+","ENSG00000054392.13:s:210387468-210387581_210387581-210418154",210387581,210418154,NA,NA,"chr1:210387581-210418154","source","Delta PSI < 0.05",0.0125,0.0482,0.1144,0.089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","CBLN4","ENSG00000054803.4","ENSG00000054803.4:t:56000731-56000847",3,"3",1,"chr20","-","ENSG00000054803.4:t:56000731-56000847_56000847-56001290",56000847,56001290,56000848,56001289,"chr20:56000847-56001290","target","Delta PSI > 0.05",0.0045,0.0432,0.1154,0.181,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","CYFIP2","ENSG00000055163.20","ENSG00000055163.20:s:157360282-157360372",4,"4",1,"chr5","+","ENSG00000055163.20:s:157360282-157360372_157360372-157361269",157360372,157361269,NA,NA,"chr5:157360372-157361269","source","Delta PSI > 0.05",0.001,2e-04,0.0501,0.1828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","CYFIP2","ENSG00000055163.20","ENSG00000055163.20:t:157330742-157330850",4,"3",1,"chr5","+","ENSG00000055163.20:t:157330742-157330850_157330227-157330742",157330227,157330742,157330242,157330741,"chr5:157330227-157330742","target","Delta PSI > 0.05",0.001,3e-04,0.0154,0.1091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","CYFIP2","ENSG00000055163.20","ENSG00000055163.20:t:157361405-157361598",3,"4",1,"chr5","+","ENSG00000055163.20:t:157361405-157361598_157361336-157361468",157361336,157361468,NA,NA,"chr5:157361336-157361468","target","Delta PSI > 0.05",0.0013,3e-04,0.0867,0.3259,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"47","TTC17","ENSG00000052841.15","ENSG00000052841.15:t:43407138-43407215",2,"3",1,"chr11","+","ENSG00000052841.15:t:43407138-43407215_43405717-43407138",43405717,43407138,NA,NA,"chr11:43405717-43407138","target","Delta PSI > 0.05",0.0061,0.0408,0.0033,0.1256,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"48","KMT2C","ENSG00000055609.21","ENSG00000055609.21:t:152199279-152199459",2,"3",1,"chr7","-","ENSG00000055609.21:t:152199279-152199459_152199459-152220523",152199459,152220523,NA,NA,"chr7:152199459-152220523","target","Delta PSI > 0.05",0.0455,0.0343,0.0345,0.1512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"49","USP13","ENSG00000058056.10","ENSG00000058056.10:s:179745000-179745217",6,"5",0,"chr3","+","ENSG00000058056.10:s:179745000-179745217_179745217-179754732",179745217,179754732,NA,NA,"chr3:179745217-179754732","source","Delta PSI > 0.05",0.0185,0.0186,0.0167,0.1231,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"50","FAM114A2","ENSG00000055147.19","ENSG00000055147.19:s:154038293-154038747",7,"4",1,"chr5","-","ENSG00000055147.19:s:154038293-154038747_154037455-154038388",154037455,154038388,NA,NA,"chr5:154037455-154038388","source","Delta PSI > 0.05",0.0084,0.0021,0.0168,0.1313,"FAM114A2","ENSG00000055147.19","ENSG00000055147.19:s:154038293-154038747",7,"4",1,"chr5","-","ENSG00000055147.19:s:154038293-154038747_154037455-154038388",154037455,154038388,NA,NA,"source","Delta PSI < 0.05",0.0164,0.0084,0.1264,0.1101
"51","FAM114A2","ENSG00000055147.19","ENSG00000055147.19:s:154038293-154038747",7,"4",1,"chr5","-","ENSG00000055147.19:s:154038293-154038747_154037455-154038293",154037455,154038293,NA,NA,"chr5:154037455-154038293","source","Delta PSI < 0.05",0.0084,0.0021,0.3316,0.3461,"FAM114A2","ENSG00000055147.19","ENSG00000055147.19:s:154038293-154038747",7,"4",1,"chr5","-","ENSG00000055147.19:s:154038293-154038747_154037455-154038293",154037455,154038293,NA,NA,"source","Delta PSI > 0.05",0.0012,0.0179,0.1942,0.2513
"52","FAM114A2","ENSG00000055147.19","ENSG00000055147.19:t:154034744-154034967",12,"6",1,"chr5","-","ENSG00000055147.19:t:154034744-154034967_154034967-154037438",154034967,154037438,NA,NA,"chr5:154034967-154037438","target","Delta PSI > 0.05",0.0026,0.0065,0.0826,0.2498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","RC3H2","ENSG00000056586.16","ENSG00000056586.16:t:122883204-122883379",2,"3",1,"chr9","-","ENSG00000056586.16:t:122883204-122883379_122883379-122888616",122883379,122888616,NA,NA,"chr9:122883379-122888616","target","Delta PSI > 0.05",0.0048,0.0433,0.0229,0.1143,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"54","PSD","ENSG00000059915.17","ENSG00000059915.17:s:102418701-102418785",4,"4",1,"chr10","-","ENSG00000059915.17:s:102418701-102418785_102418046-102418701",102418046,102418701,102418047,102418700,"chr10:102418046-102418701","source","Delta PSI > 0.05",0.0144,0.0035,0.5259,0.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"55","PSD","ENSG00000059915.17","ENSG00000059915.17:t:102416654-102417121",4,"3",1,"chr10","-","ENSG00000059915.17:t:102416654-102417121_102417121-102417940",102417121,102417940,102417122,102417907,"chr10:102417121-102417940","target","Delta PSI > 0.05",0.0144,0.0035,0.3256,0.6365,"PSD","ENSG00000059915.17","ENSG00000059915.17:t:102416654-102417121",6,"4",1,"chr10","-","ENSG00000059915.17:t:102416654-102417121_102417121-102417940",102417121,102417940,NA,NA,"target","Delta PSI < 0.05",9e-04,0.001,0.3929,0.4306
"56","PSD","ENSG00000059915.17","ENSG00000059915.17:t:102416654-102417121",4,"3",1,"chr10","-","ENSG00000059915.17:t:102416654-102417121_102417121-102417908",102417121,102417908,102417122,102417907,"chr10:102417121-102417908","target","Delta PSI > 0.05",0.0144,0.0035,0.0695,0.1259,"PSD","ENSG00000059915.17","ENSG00000059915.17:t:102416654-102417121",6,"4",1,"chr10","-","ENSG00000059915.17:t:102416654-102417121_102417121-102417908",102417121,102417908,NA,NA,"target","Delta PSI < 0.05",9e-04,0.001,0.1026,0.138
"57","PTPRU","ENSG00000060656.20","ENSG00000060656.20:t:29255275-29255406",3,"3",1,"chr1","+","ENSG00000060656.20:t:29255275-29255406_29236789-29255275",29236789,29255275,NA,NA,"chr1:29236789-29255275","target","Delta PSI > 0.05",0.0075,0.0053,0.0876,0.1564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"58","LIMCH1","ENSG00000064042.18","ENSG00000064042.18:s:41359607-41359997",3,"3",1,"chr4","+","ENSG00000064042.18:s:41359607-41359997_41359803-41473005",41359803,41473005,NA,NA,"chr4:41359803-41473005","source","Delta PSI > 0.05",0.0201,0.0052,0.0786,0.1475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"59","UHRF1BP1","ENSG00000065060.17","ENSG00000065060.17:s:34867466-34867616",2,"3",1,"chr6","+","ENSG00000065060.17:s:34867466-34867616_34867616-34871584",34867616,34871584,NA,NA,"chr6:34867616-34871584","source","Delta PSI > 0.05",0.0125,0.0286,0.0138,0.1314,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"60","SEC61A2","ENSG00000065665.21","ENSG00000065665.21:t:12167753-12167893",2,"2",0,"chr10","+","ENSG00000065665.21:t:12167753-12167893_12162289-12167753",12162289,12167753,12165413,12167752,"chr10:12162289-12167753","target","Delta PSI > 0.05",0.0056,0.0419,0.002,0.1218,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"61","PFKP","ENSG00000067057.18","ENSG00000067057.18:s:3099275-3099352",4,"4",1,"chr10","+","ENSG00000067057.18:s:3099275-3099352_3099352-3099624",3099352,3099624,NA,NA,"chr10:3099352-3099624","source","Delta PSI > 0.05",0.0027,9e-04,0.1046,0.2592,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"62","PFKP","ENSG00000067057.18","ENSG00000067057.18:t:3082388-3082461",4,"5",0,"chr10","+","ENSG00000067057.18:t:3082388-3082461_3069389-3082388",3069389,3082388,NA,NA,"chr10:3069389-3082388","target","Delta PSI < 0.05",0.002,0.0066,0.1089,0.0635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"63","PFKP","ENSG00000067057.18","ENSG00000067057.18:t:3101365-3101554",3,"4",1,"chr10","+","ENSG00000067057.18:t:3101365-3101554_3099819-3101365",3099819,3101365,NA,NA,"chr10:3099819-3101365","target","Delta PSI < 0.05",0.0036,0.0012,0.9602,0.9821,"PFKP","ENSG00000067057.18","ENSG00000067057.18:t:3101365-3101554",3,"4",1,"chr10","+","ENSG00000067057.18:t:3101365-3101554_3099819-3101365",3099819,3101365,NA,NA,"target","Delta PSI > 0.05",9e-04,9e-04,0.6712,0.7539
