paste_into_igv_junction,auc,avg_fpr,avg_tpr,fpr_value,tpr_value,group,value_not_path,value_tdp_path,n_samples_not_path,n_samples_tdp_path,frac_ob_not_path,frac_ob_tdp_path,gene_name
chr5:115813258-115813898,0.836111111111111,0.160493827160494,0.586666666666667,0.0740740740740741,0.75,RiMOD,5,15,27,20,0.185185185185185,0.75,CDO1
chr10:133160569-133161085,0.834175824175824,0.168355222013759,0.584436701509872,0.138461538461538,0.671428571428571,FTD frontal/temporal,33,52,130,70,0.253846153846154,0.742857142857143,KNDC1
chr10:3099352-3099557,0.833131868131868,0.12791435368755,0.530486008836524,0.0615384615384615,0.528571428571429,FTD frontal/temporal,18,44,130,70,0.138461538461538,0.628571428571429,PFKP
chr8:73027052-73030336,0.827582417582418,0.384770003865481,0.713998564249821,0.276923076923077,0.771428571428571,FTD frontal/temporal,130,70,130,70,1,1,TERF1
chr10:3099352-3099557,0.825925925925926,0.0622895622895623,0.490909090909091,0.0370370370370371,0.65,RiMOD,4,15,27,20,0.148148148148148,0.75,PFKP
chr1:18228010-18281081,0.825,0,0.35,0,0.55,RiMOD,0,9,27,20,0,0.45,IGSF21
chr1:108885578-108896317,0.825,0,0.35,0,0.55,RiMOD,0,9,27,20,0,0.45,GPSM2
chr1:108896431-108896864,0.825,0,0.35,0,0.65,RiMOD,0,11,27,20,0,0.55,GPSM2
chr19:17642541-17642845,0.825,0,0.35,0,0.6,RiMOD,0,10,27,20,0,0.5,UNC13A
chr2:241668685-241668875,0.825,0,0.35,0,0.65,RiMOD,0,8,27,20,0,0.4,ATG4B
chr8:79611214-79616822,0.824374257278669,0.0151978740214034,0.344109015984016,0.0130718954248366,0.292613636363636,Cord,2,395,153,704,0.0130718954248366,0.561079545454545,STMN2
chr4:84803467-84808334,0.824074074074074,0.359670781893004,0.686666666666667,0.185185185185185,0.7,RiMOD,27,20,27,20,1,1,WDFY3
chr1:21598502-21598723,0.823681318681319,0.0492723492723493,0.46988416988417,0.0153846153846153,0.542857142857143,FTD frontal/temporal,7,43,130,70,0.0538461538461539,0.614285714285714,RAP1GAP
chr16:70271972-70272796,0.818518518518519,0.00264550264550267,0.371428571428571,0,0.65,RiMOD,0,11,27,20,0,0.55,AARS1
chr9:76638288-76641790,0.818518518518519,0.00264550264550267,0.371428571428571,0,0.6,RiMOD,0,13,27,20,0,0.65,PRUNE2
chr20:36212376-36221864,0.812962962962963,0.363929146537842,0.683695652173913,0.222222222222222,0.8,RiMOD,26,20,27,20,0.962962962962963,1,EPB41L1
chr3:10329125-10331983,0.812962962962963,0.363929146537842,0.683695652173913,0.296296296296296,0.7,RiMOD,26,20,27,20,0.962962962962963,1,ATP2B2
chr3:120908416-120909571,0.811111111111111,0.212418300653595,0.588235294117647,0.111111111111111,0.7,RiMOD,11,16,27,20,0.407407407407407,0.8,STXBP5L
chr5:140648007-140648471,0.808333333333333,0.0123456790123457,0.383333333333333,0.0370370370370371,0.65,RiMOD,0,8,27,20,0,0.4,IK
chr7:44258610-44258872,0.807252747252747,0.00507364975450075,0.333434650455927,0.00769230769230767,0.5,FTD frontal/temporal,1,27,130,70,0.00769230769230769,0.385714285714286,CAMK2B
chr3:10385327-10388277,0.806481481481482,0.374485596707819,0.694444444444445,0.407407407407407,0.8,RiMOD,26,19,27,20,0.962962962962963,0.95,ATP2B2
chr19:7169831-7170537,0.805769230769231,0.0460423634336677,0.424223602484472,0.0769230769230769,0.571428571428571,FTD frontal/temporal,2,34,130,70,0.0153846153846154,0.485714285714286,INSR
chr20:36194360-36195329,0.804835164835165,0.392771550057982,0.699138549892319,0.253846153846154,0.7,FTD frontal/temporal,130,70,130,70,1,1,EPB41L1
chr2:19978167-19978751,0.801851851851852,0.134814814814815,0.474,0.222222222222222,0.7,RiMOD,5,13,27,20,0.185185185185185,0.65,WDR35
chr1:181726162-181731175,0.8,0.367901234567901,0.671111111111111,0.296296296296296,0.8,RiMOD,27,20,27,20,1,1,CACNA1E
chr17:76937368-76937988,0.8,0,0.325,0,0.6,RiMOD,0,11,27,20,0,0.55,MGAT5B
chr19:14176669-14177531,0.8,0,0.325,0,0.6,RiMOD,0,6,27,20,0,0.3,ADGRL1
chr19:50689279-50697096,0.798148148148148,0.37037037037037,0.675,0.37037037037037,0.9,RiMOD,27,20,27,20,1,1,SHANK1
chr6:56609344-56610427,0.798148148148148,0.37037037037037,0.675,0.222222222222222,0.75,RiMOD,27,20,27,20,1,1,DST
chr17:32365487-32367772,0.796978021978022,0.361078595317726,0.67360248447205,0.146153846153846,0.514285714285714,FTD frontal/temporal,111,69,130,70,0.853846153846154,0.985714285714286,ZNF207
chr3:120908428-120909571,0.795879120879121,0.0149136577708006,0.352478134110787,0.0153846153846153,0.542857142857143,FTD frontal/temporal,1,23,130,70,0.00769230769230769,0.328571428571429,STXBP5L
chr18:7946977-7949181,0.794444444444444,0.371980676328502,0.672826086956522,0.296296296296296,0.7,RiMOD,27,20,27,20,1,1,PTPRM
chr1:243512426-243523309,0.791666666666667,0.0345679012345679,0.353333333333333,0.0740740740740741,0.6,RiMOD,2,12,27,20,0.0740740740740741,0.6,AKT3
chr7:158249647-158316819,0.790740740740741,0.131172839506173,0.472916666666667,0.111111111111111,0.5,RiMOD,2,11,27,20,0.0740740740740741,0.55,PTPRN2
chr10:133166939-133167381,0.79,0.0226153846153846,0.338857142857143,0.0538461538461539,0.557142857142857,FTD frontal/temporal,3,30,130,70,0.0230769230769231,0.428571428571429,KNDC1
chr19:3278316-3281199,0.788571428571429,0.00238095238095237,0.311904761904762,0.0153846153846153,0.571428571428571,FTD frontal/temporal,0,22,130,70,0,0.314285714285714,CELF5
chr6:16589513-16657776,0.787472527472528,0.0215659340659341,0.378316326530612,0.0384615384615384,0.6,FTD frontal/temporal,2,30,130,70,0.0153846153846154,0.428571428571429,ATXN1
chr17:29124688-29131383,0.787037037037037,0.0662768031189084,0.410526315789474,0.148148148148148,0.6,RiMOD,2,10,27,20,0.0740740740740741,0.5,MYO18A
chr16:1745103-1747029,0.786923076923077,0.382732371794872,0.679538690476191,0.153846153846154,0.6,FTD frontal/temporal,117,68,130,70,0.9,0.971428571428571,MAPK8IP3
chr12:57303217-57304473,0.785185185185185,0.432407407407407,0.74125,0.555555555555556,0.8,RiMOD,24,11,27,20,0.888888888888889,0.55,R3HDM2
chr16:14935397-14937374,0.783333333333333,0.241830065359477,0.548529411764706,0.296296296296296,0.85,RiMOD,14,18,27,20,0.518518518518519,0.9,NPIPA1
chr9:9127206-9183304,0.783333333333333,0.177777777777778,0.475,0.185185185185185,0.55,RiMOD,8,13,27,20,0.296296296296296,0.65,PTPRD
chr20:63931022-63931109,0.782407407407407,0.382716049382716,0.674444444444444,0.222222222222222,0.55,RiMOD,27,20,27,20,1,1,DNAJC5
chr17:82664556-82696389,0.77962962962963,0.378421900161031,0.664130434782609,0.185185185185185,0.6,RiMOD,24,20,27,20,0.888888888888889,1,RAB40B
chr1:167773368-167776064,0.777777777777778,0.379227053140097,0.66304347826087,0.296296296296296,0.65,RiMOD,26,19,27,20,0.962962962962963,0.95,MPZL1
chr12:27673827-27676428,0.777777777777778,0.379227053140097,0.66304347826087,0.259259259259259,0.7,RiMOD,26,20,27,20,0.962962962962963,1,PPFIBP1
chr6:56529774-56529974,0.775925925925926,0.380032206119163,0.661956521739131,0.259259259259259,0.75,RiMOD,27,20,27,20,1,1,DST
chr8:141173741-141175200,0.775925925925926,0.367078189300412,0.654444444444445,0.222222222222222,0.65,RiMOD,24,20,27,20,0.888888888888889,1,DENND3
chr6:56528925-56529448,0.775823492275698,0.273301991361847,0.549533160552897,0.209150326797386,0.603693181818182,Cord,153,704,153,704,1,1,DST
chr11:61547620-61551384,0.775,0,0.3,0,0.55,RiMOD,0,5,27,20,0,0.25,SYT7
chr18:12430292-12431150,0.775,0,0.3,0,0.55,RiMOD,0,8,27,20,0,0.4,PRELID3A
chr19:11463662-11466172,0.775,0,0.3,0,0.55,RiMOD,0,11,27,20,0,0.55,ELAVL3
chr19:46634725-46636050,0.775,0,0.344444444444444,0,0.55,RiMOD,0,7,27,20,0,0.35,GNG8
chr7:2565071-2567116,0.775,0,0.3,0,0.5,RiMOD,0,8,27,20,0,0.4,IQCE
chr7:98881250-98881695,0.775,0,0.3,0,0.5,RiMOD,0,6,27,20,0,0.3,TRRAP
chr8:73030395-73032042,0.774945054945055,0.402694260054666,0.680348078317621,0.315384615384615,0.742857142857143,FTD frontal/temporal,130,70,130,70,1,1,TERF1
chr9:128178904-128179073,0.77489010989011,0.403475204998048,0.679042784626541,0.269230769230769,0.728571428571429,FTD frontal/temporal,129,70,130,70,0.992307692307692,1,CIZ1
chr15:57251423-57253262,0.774615384615385,0.401952362358454,0.678100072516316,0.284615384615385,0.728571428571429,FTD frontal/temporal,130,70,130,70,1,1,TCF12
chr9:89455953-89475485,0.774074074074074,0.171957671957672,0.519642857142857,0.185185185185185,0.65,RiMOD,7,15,27,20,0.259259259259259,0.75,SEMA4D
chr11:68460827-68461627,0.772222222222222,0.458089668615985,0.756578947368421,0.481481481481482,0.85,RiMOD,21,10,27,20,0.777777777777778,0.5,PPP6R3
chr2:121410969-121418622,0.772222222222222,0.376954732510288,0.653333333333333,0.296296296296296,0.75,RiMOD,26,20,27,20,0.962962962962963,1,CLASP1
chr3:194488726-194490510,0.77037037037037,0.460157126823794,0.801515151515152,0.333333333333333,0.85,RiMOD,20,9,27,20,0.740740740740741,0.45,ATP13A3-DT
chr1:39428287-39429242,0.768518518518519,0.383252818035427,0.657608695652174,0.333333333333333,0.8,RiMOD,27,20,27,20,1,1,MACF1
chr11:46659485-46665383,0.768518518518519,0.383252818035427,0.657608695652174,0.185185185185185,0.7,RiMOD,27,20,27,20,1,1,ATG13
chr9:127212719-127214751,0.768518518518519,0.312865497076023,0.601315789473684,0.222222222222222,0.6,RiMOD,16,18,27,20,0.592592592592593,0.9,RALGPS1
chr11:46659485-46665383,0.767747252747253,0.40550566185084,0.674184191443075,0.215384615384615,0.628571428571429,FTD frontal/temporal,130,70,130,70,1,1,ATG13
chr2:159395834-159397074,0.767692307692308,0.400549450549451,0.670772594752187,0.361538461538462,0.757142857142857,FTD frontal/temporal,130,70,130,70,1,1,BAZ2B
chr17:7549618-7550120,0.767592592592593,0.152592592592593,0.472,0.185185185185185,0.55,RiMOD,4,13,27,20,0.148148148148148,0.65,TNFSF12
chr19:17641556-17642414,0.766703296703297,0.00546558704453437,0.274436090225564,0.00769230769230767,0.5,FTD frontal/temporal,1,23,130,70,0.00769230769230769,0.328571428571429,UNC13A
chr22:50706152-50711615,0.765769230769231,0.404930966469428,0.671794871794872,0.338461538461539,0.771428571428571,FTD frontal/temporal,130,70,130,70,1,1,SHANK3
chr5:78885128-78885584,0.765740740740741,0.0555555555555556,0.346428571428571,0.111111111111111,0.55,RiMOD,2,9,27,20,0.0740740740740741,0.45,ARSB
chr6:152367382-152369471,0.765494505494505,0.304536489151874,0.607783882783883,0.276923076923077,0.671428571428571,FTD frontal/temporal,68,58,130,70,0.523076923076923,0.828571428571429,SYNE1
chr22:20977095-20977888,0.76510989010989,0.209677419354839,0.515552995391705,0.292307692307692,0.585714285714286,FTD frontal/temporal,34,50,130,70,0.261538461538462,0.714285714285714,AIFM3
chr19:38710342-38714469,0.764395604395604,0.406876456876457,0.672077922077922,0.246153846153846,0.628571428571429,FTD frontal/temporal,130,70,130,70,1,1,ACTN4
chr2:159397100-159397345,0.762962962962963,0.385668276972625,0.654347826086957,0.296296296296296,0.65,RiMOD,27,20,27,20,1,1,BAZ2B
chr5:733156-733752,0.762962962962963,0.385668276972625,0.654347826086957,0.185185185185185,0.65,RiMOD,26,20,27,20,0.962962962962963,1,ZDHHC11B
chr11:900980-902148,0.762037037037037,0.292497625830959,0.605128205128205,0.185185185185185,0.7,RiMOD,14,16,27,20,0.518518518518519,0.8,CHID1
chr6:56528925-56529448,0.761111111111111,0.386473429951691,0.653260869565217,0.222222222222222,0.65,RiMOD,27,20,27,20,1,1,DST
chr1:16989770-16990127,0.76043956043956,0.409401709401709,0.670490620490621,0.369230769230769,0.785714285714286,FTD frontal/temporal,129,68,130,70,0.992307692307692,0.971428571428571,ATP13A2
chr4:7992927-8008059,0.759259259259259,0.386008230452675,0.648888888888889,0.444444444444444,0.75,RiMOD,27,20,27,20,1,1,ABLIM2
chr6:152367382-152369471,0.759259259259259,0.289473684210526,0.58421052631579,0.222222222222222,0.6,RiMOD,17,18,27,20,0.62962962962963,0.9,SYNE1
chr20:19683960-19684176,0.758333333333333,0.00854700854700852,0.338461538461539,0.0370370370370371,0.55,RiMOD,0,9,27,20,0,0.45,SLC24A3
chr1:39427614-39427961,0.757407407407407,0.388083735909823,0.651086956521739,0.296296296296296,0.7,RiMOD,27,20,27,20,1,1,MACF1
chr3:9468615-9470459,0.757407407407407,0.0185185185185186,0.3,0.0370370370370371,0.55,RiMOD,0,8,27,20,0,0.4,SETD5
chr1:181731231-181732384,0.755555555555556,0.388888888888889,0.65,0.407407407407407,0.75,RiMOD,27,20,27,20,1,1,CACNA1E
chr3:124701255-124702038,0.755555555555556,0.0216049382716049,0.295833333333333,0.0370370370370371,0.5,RiMOD,1,7,27,20,0.037037037037037,0.35,KALRN
chr2:19975663-19977925,0.75462962962963,0.308966861598441,0.592105263157895,0.222222222222222,0.55,RiMOD,14,16,27,20,0.518518518518519,0.8,WDR35
chr2:74371728-74377432,0.753703703703704,0.389694041867955,0.648913043478261,0.222222222222222,0.55,RiMOD,27,20,27,20,1,1,DCTN1
chr7:132173869-132174778,0.753703703703704,0.204342273307791,0.501724137931035,0.259259259259259,0.7,RiMOD,6,14,27,20,0.222222222222222,0.7,PLXNA4
chr5:171914405-171957597,0.753626373626374,0.419088319088319,0.677173091458806,0.415384615384615,0.785714285714286,FTD frontal/temporal,129,63,130,70,0.992307692307692,0.9,FBXW11
chr1:39522505-39523562,0.753406593406593,0.410859728506787,0.665317035905271,0.330769230769231,0.742857142857143,FTD frontal/temporal,124,70,130,70,0.953846153846154,1,PPIEL
chr1:43592601-43598720,0.753241758241758,0.409901380670611,0.663223443223443,0.276923076923077,0.642857142857143,FTD frontal/temporal,130,70,130,70,1,1,PTPRF
chr8:130159964-130167536,0.753131868131868,0.406621728786677,0.659572901325479,0.230769230769231,0.571428571428571,FTD frontal/temporal,130,70,130,70,1,1,ASAP1
chr9:89455953-89474539,0.752777777777778,0.327009936766034,0.608536585365854,0.222222222222222,0.65,RiMOD,20,18,27,20,0.740740740740741,0.9,SEMA4D
chr1:1051815-1053753,0.752747252747253,0.40793144679155,0.662768319763138,0.276923076923077,0.628571428571429,FTD frontal/temporal,130,70,130,70,1,1,AGRN
chr6:56529774-56529974,0.752223521984551,0.29288256773758,0.545124439820743,0.241830065359477,0.605113636363636,Cord,153,704,153,704,1,1,DST
chr3:51483836-51499873,0.752087912087912,0.407448107448107,0.660241874527589,0.346153846153846,0.714285714285714,FTD frontal/temporal,130,70,130,70,1,1,DCAF1
chr7:99061837-99121146,0.751851851851852,0.19973544973545,0.514285714285714,0.111111111111111,0.6,RiMOD,6,12,27,20,0.222222222222222,0.6,SMURF1
chr9:97362441-97365673,0.751851851851852,0.259259259259259,0.551470588235294,0.333333333333333,0.65,RiMOD,14,18,27,20,0.518518518518519,0.9,SUGT1P4-STRA6LP-CCDC180
chr4:95222266-95242429,0.750925925925926,0.318318318318318,0.597297297297297,0.222222222222222,0.75,RiMOD,23,18,27,20,0.851851851851852,0.9,UNC5C
chr14:100845533-100845876,0.750879120879121,0.411751063007344,0.66389088298636,0.376923076923077,0.771428571428571,FTD frontal/temporal,130,70,130,70,1,1,MEG3
chr1:65622981-65636191,0.75,0.387654320987654,0.641111111111111,0.37037037037037,0.8,RiMOD,26,17,27,20,0.962962962962963,0.85,LEPR
chr10:121551459-121593709,0.75,0.391769547325103,0.645555555555556,0.407407407407407,0.7,RiMOD,27,20,27,20,1,1,FGFR2
chr19:7168094-7169720,0.75,0,0.275,0,0.5,RiMOD,0,7,27,20,0,0.35,INSR
chr19:4491835-4492015,0.75,0,0.275,0,0.5,RiMOD,0,7,27,20,0,0.35,HDGFL2
chr5:157361336-157361468,0.75,0,0.275,0,0.5,RiMOD,0,10,27,20,0,0.5,CYFIP2
chr7:98881736-98881975,0.75,0,0.275,0,0.5,RiMOD,0,6,27,20,0,0.3,TRRAP
chr2:241668985-241670726,0.75,0,0.257142857142857,0,0.5,FTD frontal/temporal,0,22,130,70,0,0.314285714285714,ATG4B
chr3:177037842-177038098,0.749074074074074,0.0227920227920229,0.319230769230769,0.0370370370370371,0.5,RiMOD,0,7,27,20,0,0.35,TBL1XR1
chr6:56609344-56610427,0.748846153846154,0.413791763791764,0.663275613275613,0.284615384615385,0.7,FTD frontal/temporal,130,70,130,70,1,1,DST
chr1:44242080-44247939,0.748461538461539,0.360721959604641,0.631923383878691,0.261538461538462,0.671428571428571,FTD frontal/temporal,81,62,130,70,0.623076923076923,0.885714285714286,ERI3
chr2:159397100-159397345,0.748186813186813,0.413560666137986,0.662150220913108,0.415384615384615,0.771428571428571,FTD frontal/temporal,130,70,130,70,1,1,BAZ2B
chr10:133174096-133183344,0.748148148148148,0.392109500805153,0.645652173913044,0.296296296296296,0.65,RiMOD,24,20,27,20,0.888888888888889,1,KNDC1
chr19:38710342-38714469,0.748148148148148,0.392109500805153,0.645652173913043,0.333333333333333,0.7,RiMOD,27,20,27,20,1,1,ACTN4
chr15:101430063-101431990,0.748021978021978,0.297216599190283,0.580545112781955,0.230769230769231,0.571428571428571,FTD frontal/temporal,70,59,130,70,0.538461538461538,0.842857142857143,PCSK6
chr10:101829897-101831072,0.747967032967033,0.427007607776839,0.671507064364207,0.330769230769231,0.742857142857143,FTD frontal/temporal,126,70,130,70,0.969230769230769,1,KCNIP2
chr1:30980178-30981312,0.746296296296296,0.392914653784219,0.644565217391304,0.333333333333333,0.8,RiMOD,27,20,27,20,1,1,PUM1
chr1:204988806-205009557,0.746114639037433,0.300534180379419,0.545952829144059,0.235294117647059,0.572443181818182,Cord,153,704,153,704,1,1,NFASC
chr7:44254607-44258490,0.743021978021978,0.0034412955465587,0.27218045112782,0.00769230769230767,0.442857142857143,FTD frontal/temporal,1,21,130,70,0.00769230769230769,0.3,CAMK2B
chr19:3633169-3638884,0.742637362637363,0.409907370116794,0.653702318623785,0.215384615384615,0.557142857142857,FTD frontal/temporal,128,70,130,70,0.984615384615385,1,PIP5K1C
chr6:16585907-16589446,0.742637362637363,0.0142389525368248,0.316413373860182,0.0538461538461539,0.528571428571429,FTD frontal/temporal,2,25,130,70,0.0153846153846154,0.357142857142857,ATXN1
chr10:77001580-77008185,0.742592592592593,0.145061728395062,0.429166666666667,0.296296296296296,0.65,RiMOD,4,10,27,20,0.148148148148148,0.5,KCNMA1
chr17:29131442-29165942,0.742592592592593,0.0578703703703704,0.346875,0.111111111111111,0.6,RiMOD,2,12,27,20,0.0740740740740741,0.6,MYO18A
chr2:121425306-121427404,0.742592592592593,0.394524959742351,0.642391304347826,0.148148148148148,0.5,RiMOD,27,20,27,20,1,1,CLASP1
chr1:145784596-145823772,0.741666666666667,0.229166666666667,0.5203125,0.259259259259259,0.7,RiMOD,10,17,27,20,0.37037037037037,0.85,RNF115
chr3:33574496-33576169,0.741318681318681,0.415306520890277,0.656852791878173,0.292307692307692,0.657142857142857,FTD frontal/temporal,130,70,130,70,1,1,CLASP2
chr15:101430063-101431990,0.740740740740741,0.37037037037037,0.625,0.222222222222222,0.55,RiMOD,24,20,27,20,0.888888888888889,1,PCSK6
chr19:43623439-43625078,0.740740740740741,0.481481481481482,0.747297297297297,0.407407407407407,0.8,RiMOD,23,8,27,20,0.851851851851852,0.4,CADM4
chr3:4303526-4313647,0.740740740740741,0.417989417989418,0.678571428571429,0.296296296296296,0.7,RiMOD,25,15,27,20,0.925925925925926,0.75,SETMAR
chr9:35364567-35366947,0.73989010989011,0.423984220907298,0.66974358974359,0.415384615384615,0.742857142857143,FTD frontal/temporal,128,65,130,70,0.984615384615385,0.928571428571429,UNC13B
chr12:8193655-8194203,0.739814814814815,0.326851851851852,0.595,0.222222222222222,0.7,RiMOD,20,18,27,20,0.740740740740741,0.9,FAM66C
chr19:52543347-52553107,0.738888888888889,0.396135265700483,0.640217391304348,0.333333333333333,0.8,RiMOD,27,20,27,20,1,1,ZNF808
chr19:57769878-57790274,0.738888888888889,0.396135265700483,0.640217391304348,0.296296296296296,0.65,RiMOD,25,20,27,20,0.925925925925926,1,ZNF586
chr7:139614493-139620401,0.738131868131868,0.416235021260147,0.655563531945442,0.284615384615385,0.642857142857143,FTD frontal/temporal,130,70,130,70,1,1,HIPK2
chr12:131981596-131982093,0.737962962962963,0.401378122308355,0.641860465116279,0.407407407407407,0.65,RiMOD,27,20,27,20,1,1,EP400
chr5:171914405-171957597,0.737962962962963,0.4,0.641111111111111,0.37037037037037,0.75,RiMOD,27,20,27,20,1,1,FBXW11
chr10:133160569-133161153,0.737637362637363,0.176363636363636,0.482337662337662,0.215384615384615,0.585714285714286,FTD frontal/temporal,28,42,130,70,0.215384615384615,0.6,KNDC1
chr10:133160569-133161067,0.737037037037037,0.0101010101010102,0.286363636363636,0.0370370370370371,0.45,RiMOD,1,8,27,20,0.037037037037037,0.4,KNDC1
chr16:1745103-1747029,0.737037037037037,0.396940418679549,0.639130434782609,0.259259259259259,0.5,RiMOD,26,20,27,20,0.962962962962963,1,MAPK8IP3
chr5:131446703-131453054,0.737037037037037,0.389300411522634,0.632222222222222,0.333333333333333,0.6,RiMOD,27,20,27,20,1,1,ENSG00000273217
chr7:44220901-44222117,0.737032967032967,0.0452564102564103,0.351666666666667,0.0846153846153847,0.528571428571429,FTD frontal/temporal,3,22,130,70,0.0230769230769231,0.314285714285714,CAMK2B
chr17:27306882-27307744,0.736373626373626,0.418891988840175,0.655810510732791,0.246153846153846,0.557142857142857,FTD frontal/temporal,130,70,130,70,1,1,WSB1
chr1:34907437-34929069,0.736111111111111,0.124074074074074,0.4025,0.222222222222222,0.55,RiMOD,4,12,27,20,0.148148148148148,0.6,DLGAP3
