gene_name,gene_id,lsv_id,mean_psi_per_lsv_junction,stdev_psi_per_lsv_junction,num_junctions,num_exons,de_novo_junctions,seqid,strand,lsv_junc,junc_start,junc_end,ir_start,ir_end,paste_into_igv_junction,exon_type,.id,color_gene_name
PSD,ENSG00000059915.17,ENSG00000059915.17:t:102416654-102417121,0.1561,0.0596,3,4,1,chr10,-,ENSG00000059915.17:t:102416654-102417121_102417121-102417940,102417121,102417940,,,chr10:102417121-102417940,target,dox_ctrl,non-NMD rescued
DGKA,ENSG00000065357.20,ENSG00000065357.20:s:55939415-55939895,0.0279,0.0205,3,3,1,chr12,+,ENSG00000065357.20:s:55939415-55939895_55939529-55940268,55939529,55940268,,,chr12:55939529-55940268,source,dox_ctrl,non-NMD rescued
DGKA,ENSG00000065357.20,ENSG00000065357.20:t:55940252-55940582,0.028,0.0226,5,3,1,chr12,+,ENSG00000065357.20:t:55940252-55940582_55939529-55940268,55939529,55940268,,,chr12:55939529-55940268,target,dox_ctrl,NMD rescued
KDM4A,ENSG00000066135.13,ENSG00000066135.13:t:43703617-43703736,0.0208,0.0128,3,3,1,chr1,+,ENSG00000066135.13:t:43703617-43703736_43700759-43703617,43700759,43703617,43700760,43703616,chr1:43700759-43703617,target,dox_ctrl,non-NMD rescued
APPBP2,ENSG00000062725.10,ENSG00000062725.10:s:60461810-60461915,0.0029,0.0014,2,3,1,chr17,-,ENSG00000062725.10:s:60461810-60461915_60456381-60461810,60456381,60461810,,,chr17:60456381-60461810,source,dox_ctrl,NMD rescued
RIMBP2,ENSG00000060709.16,ENSG00000060709.16:s:130716222-130716299,0.006,0.0013,2,3,1,chr12,-,ENSG00000060709.16:s:130716222-130716299_130715620-130716222,130715620,130716222,,,chr12:130715620-130716222,source,dox_ctrl,NMD rescued
NUP133,ENSG00000069248.12,ENSG00000069248.12:s:229487466-229487613,0.009,0.0066,2,3,1,chr1,-,ENSG00000069248.12:s:229487466-229487613_229487127-229487466,229487127,229487466,,,chr1:229487127-229487466,source,dox_ctrl,NMD rescued
PFKP,ENSG00000067057.19,ENSG00000067057.19:s:3099275-3099352,0.347,0.0465,5,4,1,chr10,+,ENSG00000067057.19:s:3099275-3099352_3099352-3099557,3099352,3099557,3099353,3099556,chr10:3099352-3099557,source,dox_ctrl,NMD rescued
PFKP,ENSG00000067057.19,ENSG00000067057.19:t:3101365-3101554,0.3343,0.0617,3,4,1,chr10,+,ENSG00000067057.19:t:3101365-3101554_3099819-3101365,3099819,3101365,,,chr10:3099819-3101365,target,dox_ctrl,NMD rescued
TLE2,ENSG00000065717.15,ENSG00000065717.15:s:3019500-3019773,0.0271,0.0149,5,5,1,chr19,-,ENSG00000065717.15:s:3019500-3019773_3017859-3019699,3017859,3019699,,,chr19:3017859-3019699,source,dox_ctrl,non-NMD rescued
ANKS1A,ENSG00000064999.16,ENSG00000064999.16:t:34983324-34983425,0.0108,0.0081,2,3,1,chr6,+,ENSG00000064999.16:t:34983324-34983425_34982827-34983324,34982827,34983324,,,chr6:34982827-34983324,target,dox_ctrl,non-NMD rescued
ASB1,ENSG00000065802.12,ENSG00000065802.12:s:238446384-238446655,0.0101,0.0069,3,3,1,chr2,+,ENSG00000065802.12:s:238446384-238446655_238446655-238450125,238446655,238450125,238446656,238450124,chr2:238446655-238450125,source,dox_ctrl,NMD rescued
PSME4,ENSG00000068878.15,ENSG00000068878.15:t:53866747-53866880,0.0528,0.0261,4,3,1,chr2,-,ENSG00000068878.15:t:53866747-53866880_53866880-53869364,53866880,53869364,53866881,53869363,chr2:53866880-53869364,target,dox_ctrl,non-NMD rescued
OSBPL3,ENSG00000070882.13,ENSG00000070882.13:t:24892377-24892621,0.0141,0.0112,5,5,1,chr7,-,ENSG00000070882.13:t:24892377-24892621_24892621-24971543,24892621,24971543,,,chr7:24892621-24971543,target,dox_ctrl,NMD rescued
LMCD1,ENSG00000071282.12,ENSG00000071282.12:s:8548568-8548903,0.0017,7e-04,3,4,1,chr3,+,ENSG00000071282.12:s:8548568-8548903_8548903-8552304,8548903,8552304,,,chr3:8548903-8552304,source,dox_ctrl,non-NMD rescued
ACTL6B,ENSG00000077080.10,ENSG00000077080.10:s:100655019-100655119,0.5134,0.0305,4,3,1,chr7,-,ENSG00000077080.10:s:100655019-100655119_100650643-100655019,100650643,100655019,100650664,100655018,chr7:100650643-100655019,source,dox_ctrl,non-NMD rescued
ACTL6B,ENSG00000077080.10,ENSG00000077080.10:t:100649961-100650135,0.5098,0.029,5,5,1,chr7,-,ENSG00000077080.10:t:100649961-100650135_100650135-100650575,100650135,100650575,100650136,100650574,chr7:100650135-100650575,target,dox_ctrl,non-NMD rescued
PTPN18,ENSG00000072135.13,ENSG00000072135.13:s:130370875-130370964,0.0052,0.0047,2,3,1,chr2,+,ENSG00000072135.13:s:130370875-130370964_130370964-130372257,130370964,130372257,,,chr2:130370964-130372257,source,dox_ctrl,NMD rescued
LLGL2,ENSG00000073350.14,ENSG00000073350.14:s:75573014-75573278,0.0069,0.0079,2,2,1,chr17,+,ENSG00000073350.14:s:75573014-75573278_75573205-75573481,75573205,75573481,,,chr17:75573205-75573481,source,dox_ctrl,NMD rescued
KCNQ2,ENSG00000075043.20,ENSG00000075043.20:s:63444659-63444834,0.244,0.0198,4,4,1,chr20,-,ENSG00000075043.20:s:63444659-63444834_63439708-63444659,63439708,63444659,63443753,63444658,chr20:63439708-63444659,source,dox_ctrl,non-NMD rescued
KCNQ2,ENSG00000075043.20,ENSG00000075043.20:t:63439598-63439790,0.3406,0.0237,6,4,1,chr20,-,ENSG00000075043.20:t:63439598-63439790_63439708-63444659,63439708,63444659,63439791,63442405,chr20:63439708-63444659,target,dox_ctrl,non-NMD rescued
ACAT1,ENSG00000075239.14,ENSG00000075239.14:s:108131907-108131954,0.0038,0,3,4,1,chr11,+,ENSG00000075239.14:s:108131907-108131954_108131954-108134221,108131954,108134221,,,chr11:108131954-108134221,source,dox_ctrl,NMD rescued
ACAT1,ENSG00000075239.14,ENSG00000075239.14:t:108134221-108134448,0.0061,4e-04,2,3,1,chr11,+,ENSG00000075239.14:t:108134221-108134448_108131954-108134221,108131954,108134221,,,chr11:108131954-108134221,target,dox_ctrl,NMD rescued
EED,ENSG00000074266.22,ENSG00000074266.22:t:86263945-86264263,0.0134,0.011,3,3,1,chr11,+,ENSG00000074266.22:t:86263945-86264263_86256512-86264172,86256512,86264172,86257597,86263944,chr11:86256512-86264172,target,dox_ctrl,NMD rescued
WDR62,ENSG00000075702.19,ENSG00000075702.19:t:36073342-36073531,0.0185,0.0139,5,3,1,chr19,+,ENSG00000075702.19:t:36073342-36073531_36068010-36073342,36068010,36073342,36071717,36073341,chr19:36068010-36073342,target,dox_ctrl,non-NMD rescued
DGKD,ENSG00000077044.11,ENSG00000077044.11:s:233437377-233437479,0.0013,4e-04,3,4,1,chr2,+,ENSG00000077044.11:s:233437377-233437479_233437479-233437554,233437479,233437554,,,chr2:233437479-233437554,source,dox_ctrl,NMD rescued
DGKD,ENSG00000077044.11,ENSG00000077044.11:s:233451964-233452060,7e-04,1e-04,4,3,1,chr2,+,ENSG00000077044.11:s:233451964-233452060_233452060-233454024,233452060,233454024,233452061,233454023,chr2:233452060-233454024,source,dox_ctrl,NMD rescued
DLGAP4,ENSG00000080845.19,ENSG00000080845.19:s:36306336-36306512,0.0194,0.0124,2,3,1,chr20,+,ENSG00000080845.19:s:36306336-36306512_36306512-36341972,36306512,36341972,,,chr20:36306512-36341972,source,dox_ctrl,non-NMD rescued
RAP1GAP,ENSG00000076864.21,ENSG00000076864.21:s:21599494-21599617,0.17,0.0479,3,3,1,chr1,-,ENSG00000076864.21:s:21599494-21599617_21598820-21599494,21598820,21599494,,,chr1:21598820-21599494,source,dox_ctrl,NMD rescued
RAP1GAP,ENSG00000076864.21,ENSG00000076864.21:t:21598400-21598502,0.2249,0.0524,3,3,1,chr1,-,ENSG00000076864.21:t:21598400-21598502_21598502-21598723,21598502,21598723,,,chr1:21598502-21598723,target,dox_ctrl,NMD rescued
CDC14B,ENSG00000081377.17,ENSG00000081377.17:s:96538975-96539140,0.0453,0.0242,3,4,1,chr9,-,ENSG00000081377.17:s:96538975-96539140_96537122-96539078,96537122,96539078,,,chr9:96537122-96539078,source,dox_ctrl,non-NMD rescued
MKNK1,ENSG00000079277.22,ENSG00000079277.22:t:46583228-46583329,0.0983,0.049,4,5,1,chr1,-,ENSG00000079277.22:t:46583228-46583329_46583329-46584458,46583329,46584458,,,chr1:46583329-46584458,target,dox_ctrl,NMD rescued
CHRNA3,ENSG00000080644.16,ENSG00000080644.16:t:78593548-78593628,0.0122,0.0079,3,3,1,chr15,-,ENSG00000080644.16:t:78593548-78593628_78593628-78601288,78593628,78601288,78593629,78593913,chr15:78593628-78601288,target,dox_ctrl,NMD rescued
IGSF9B,ENSG00000080854.16,ENSG00000080854.16:s:133916486-133916684,0.0181,0.0115,3,3,1,chr11,-,ENSG00000080854.16:s:133916486-133916684_133912386-133916486,133912386,133916486,133912387,133916485,chr11:133912386-133916486,source,dox_ctrl,non-NMD rescued
PGS1,ENSG00000087157.19,ENSG00000087157.19:t:78382664-78382785,0.0119,0.0132,3,3,1,chr17,+,ENSG00000087157.19:t:78382664-78382785_78379239-78382664,78379239,78382664,78381018,78382663,chr17:78379239-78382664,target,dox_ctrl,NMD rescued
PPP1R13B,ENSG00000088808.18,ENSG00000088808.18:s:103784795-103784914,0.0053,0.0034,3,3,1,chr14,-,ENSG00000088808.18:s:103784795-103784914_103780807-103784795,103780807,103784795,103778822,103784794,chr14:103780807-103784795,source,dox_ctrl,NMD rescued
ZNF264,ENSG00000083844.10,ENSG00000083844.10:s:57205397-57205492,0.0338,0.0203,3,3,1,chr19,+,ENSG00000083844.10:s:57205397-57205492_57205492-57231742,57205492,57231742,57205493,57211353,chr19:57205492-57231742,source,dox_ctrl,non-NMD rescued
UIMC1,ENSG00000087206.17,ENSG00000087206.17:s:176982469-176982623,0.1561,0.0292,3,3,1,chr5,-,ENSG00000087206.17:s:176982469-176982623_176980390-176982469,176980390,176982469,176980391,176982468,chr5:176980390-176982469,source,dox_ctrl,non-NMD rescued
ZNF343,ENSG00000088876.13,ENSG00000088876.13:s:2492699-2493030,0.0353,0.02,6,5,1,chr20,-,ENSG00000088876.13:s:2492699-2493030_2472570-2492699,2472570,2492699,,,chr20:2472570-2492699,source,dox_ctrl,NMD rescued
CHGB,ENSG00000089199.10,ENSG00000089199.10:s:5912563-5912706,0.0164,0.0102,3,3,1,chr20,+,ENSG00000089199.10:s:5912563-5912706_5912706-5914618,5912706,5914618,5912707,5914617,chr20:5912706-5914618,source,dox_ctrl,NMD rescued
CHGB,ENSG00000089199.10,ENSG00000089199.10:s:5912563-5912706,0.0805,0.0207,3,3,1,chr20,+,ENSG00000089199.10:s:5912563-5912706_5912706-5916326,5912706,5916326,5912707,5914617,chr20:5912706-5916326,source,dox_ctrl,non-NMD rescued
CHGB,ENSG00000089199.10,ENSG00000089199.10:t:5914618-5914713,0.013,0.007,4,3,1,chr20,+,ENSG00000089199.10:t:5914618-5914713_5912706-5914618,5912706,5914618,5912707,5914617,chr20:5912706-5914618,target,dox_ctrl,NMD rescued
GRAMD1A,ENSG00000089351.15,ENSG00000089351.15:s:35000323-35000486,0.3026,0.0211,4,5,1,chr19,+,ENSG00000089351.15:s:35000323-35000486_35000486-35001098,35000486,35001098,,,chr19:35000486-35001098,source,dox_ctrl,NMD rescued
NRCAM,ENSG00000091129.22,ENSG00000091129.22:s:108189645-108189746,0.0048,0,3,2,1,chr7,-,ENSG00000091129.22:s:108189645-108189746_108184686-108189645,108184686,108189645,108184687,108189644,chr7:108184686-108189645,source,dox_ctrl,NMD rescued
G2E3,ENSG00000092140.16,ENSG00000092140.16:s:30559158-30559272,0.0461,0.0182,4,5,1,chr14,+,ENSG00000092140.16:s:30559158-30559272_30559272-30563746,30559272,30563746,,,chr14:30559272-30563746,source,dox_ctrl,non-NMD rescued
USP48,ENSG00000090686.16,ENSG00000090686.16:t:21715124-21715457,0.0413,0.0246,3,3,1,chr1,-,ENSG00000090686.16:t:21715124-21715457_21715457-21717279,21715457,21717279,21715458,21721035,chr1:21715457-21717279,target,dox_ctrl,NMD rescued
NUP188,ENSG00000095319.14,ENSG00000095319.14:s:128952773-128952895,0.1089,0.0317,3,3,1,chr9,+,ENSG00000095319.14:s:128952773-128952895_128952846-128956141,128952846,128956141,128952896,128956140,chr9:128952846-128956141,source,dox_ctrl,NMD rescued
NUP188,ENSG00000095319.14,ENSG00000095319.14:t:128956350-128956434,0.1902,0.0388,3,3,1,chr9,+,ENSG00000095319.14:t:128956350-128956434_128956174-128956350,128956174,128956350,128956175,128956349,chr9:128956174-128956350,target,dox_ctrl,NMD rescued
AARS1,ENSG00000090861.17,ENSG00000090861.17:s:70276486-70276631,0.0927,0.0149,4,3,1,chr16,-,ENSG00000090861.17:s:70276486-70276631_70272882-70276486,70272882,70276486,70272883,70276485,chr16:70272882-70276486,source,dox_ctrl,non-NMD rescued
AARS1,ENSG00000090861.17,ENSG00000090861.17:t:70271781-70271972,0.1005,0.0152,4,3,1,chr16,-,ENSG00000090861.17:t:70271781-70271972_70271972-70272796,70271972,70272796,70271973,70272795,chr16:70271972-70272796,target,dox_ctrl,non-NMD rescued
PSMD5,ENSG00000095261.14,ENSG00000095261.14:s:120831331-120831459,0.0132,0.0101,4,4,1,chr9,-,ENSG00000095261.14:s:120831331-120831459_120824685-120831331,120824685,120831331,120829209,120831330,chr9:120824685-120831331,source,dox_ctrl,NMD rescued
BCL2L13,ENSG00000099968.18,ENSG00000099968.18:s:17702243-17703733,0.1045,0.0281,3,3,1,chr22,+,ENSG00000099968.18:s:17702243-17703733_17702386-17722274,17702386,17722274,17703734,17706709,chr22:17702386-17722274,source,dox_ctrl,non-NMD rescued
BCL2L13,ENSG00000099968.18,ENSG00000099968.18:t:17726677-17730855,0.0761,0.0248,7,7,1,chr22,+,ENSG00000099968.18:t:17726677-17730855_17722390-17726691,17722390,17726691,17722391,17726676,chr22:17722390-17726691,target,dox_ctrl,non-NMD rescued
PPP6R2,ENSG00000100239.16,ENSG00000100239.16:t:50419346-50419462,0.0164,0.0081,4,3,1,chr22,+,ENSG00000100239.16:t:50419346-50419462_50418989-50419349,50418989,50419349,,,chr22:50418989-50419349,target,dox_ctrl,non-NMD rescued
XYLB,ENSG00000093217.11,ENSG00000093217.11:s:38379246-38379342,0.0444,0.0393,3,2,1,chr3,+,ENSG00000093217.11:s:38379246-38379342_38379338-38395505,38379338,38395505,38379343,38395504,chr3:38379338-38395505,source,dox_ctrl,non-NMD rescued
PALM,ENSG00000099864.18,ENSG00000099864.18:s:734173-734194,0.1078,0.0173,2,3,1,chr19,+,ENSG00000099864.18:s:734173-734194_734194-746285,734194,746285,,,chr19:734194-746285,source,dox_ctrl,non-NMD rescued
PALM,ENSG00000099864.18,ENSG00000099864.18:t:746285-748329,0.1027,0.0161,5,4,1,chr19,+,ENSG00000099864.18:t:746285-748329_734194-746285,734194,746285,740484,746284,chr19:734194-746285,target,dox_ctrl,non-NMD rescued
AP1B1,ENSG00000100280.17,ENSG00000100280.17:t:29354650-29354871,6e-04,0,2,3,1,chr22,-,ENSG00000100280.17:t:29354650-29354871_29354871-29358726,29354871,29358726,,,chr22:29354871-29358726,target,dox_ctrl,NMD rescued
SUN2,ENSG00000100242.16,ENSG00000100242.16:t:38737330-38738265,0.0152,0.0117,2,3,1,chr22,-,ENSG00000100242.16:t:38737330-38738265_38738097-38748707,38738097,38748707,,,chr22:38738097-38748707,target,dox_ctrl,non-NMD rescued
GNPNAT1,ENSG00000100522.10,ENSG00000100522.10:t:52778375-52778458,0.0313,0.0149,3,3,1,chr14,-,ENSG00000100522.10:t:52778375-52778458_52778458-52778758,52778458,52778758,52778459,52780678,chr14:52778458-52778758,target,dox_ctrl,non-NMD rescued
IFT52,ENSG00000101052.13,ENSG00000101052.13:s:43596435-43596522,0.0475,0.0188,4,4,1,chr20,+,ENSG00000101052.13:s:43596435-43596522_43596522-43604183,43596522,43604183,43596523,43603759,chr20:43596522-43604183,source,dox_ctrl,non-NMD rescued
SMCHD1,ENSG00000101596.17,ENSG00000101596.17:t:2673281-2673363,0.0197,0.0116,3,3,1,chr18,+,ENSG00000101596.17:t:2673281-2673363_2673194-2673281,2673194,2673281,2673195,2673280,chr18:2673194-2673281,target,dox_ctrl,non-NMD rescued
RAB5IF,ENSG00000101084.19,ENSG00000101084.19:s:36607715-36607818,0.0087,3e-04,4,4,1,chr20,+,ENSG00000101084.19:s:36607715-36607818_36607818-36607869,36607818,36607869,,,chr20:36607818-36607869,source,dox_ctrl,non-NMD rescued
NINL,ENSG00000101004.15,ENSG00000101004.15:t:25491351-25491525,0.0907,0.0251,3,3,1,chr20,-,ENSG00000101004.15:t:25491351-25491525_25491525-25492952,25491525,25492952,25491526,25496662,chr20:25491525-25492952,target,dox_ctrl,non-NMD rescued
PORCN,ENSG00000102312.24,ENSG00000102312.24:s:48511892-48511935,0.0237,0.0188,3,4,1,chrX,+,ENSG00000102312.24:s:48511892-48511935_48511935-48514127,48511935,48514127,,,chrX:48511935-48514127,source,dox_ctrl,NMD rescued
PORCN,ENSG00000102312.24,ENSG00000102312.24:t:48514127-48514141,0.0289,0.0242,3,4,1,chrX,+,ENSG00000102312.24:t:48514127-48514141_48511935-48514127,48511935,48514127,,,chrX:48511935-48514127,target,dox_ctrl,NMD rescued
ARHGEF7,ENSG00000102606.20,ENSG00000102606.20:t:111280538-111281109,0.0275,0.0143,3,3,1,chr13,+,ENSG00000102606.20:t:111280538-111281109_111280440-111280538,111280440,111280538,,,chr13:111280440-111280538,target,dox_ctrl,NMD rescued
CDK5RAP1,ENSG00000101391.21,ENSG00000101391.21:s:33385650-33385770,0.0246,0.0136,8,6,1,chr20,-,ENSG00000101391.21:s:33385650-33385770_33384873-33385650,33384873,33385650,33384962,33385649,chr20:33384873-33385650,source,dox_ctrl,NMD rescued
PCSK1N,ENSG00000102109.9,ENSG00000102109.9:s:48835419-48835610,0.0382,0.0053,3,3,1,chrX,-,ENSG00000102109.9:s:48835419-48835610_48834590-48835419,48834590,48835419,,,chrX:48834590-48835419,source,dox_ctrl,NMD rescued
PCSK1N,ENSG00000102109.9,ENSG00000102109.9:t:48831869-48832341,0.0292,0.0106,3,3,1,chrX,-,ENSG00000102109.9:t:48831869-48832341_48832341-48834422,48832341,48834422,,,chrX:48832341-48834422,target,dox_ctrl,NMD rescued
VWA8,ENSG00000102763.18,ENSG00000102763.18:t:41777985-41778056,0.0131,0.0157,3,3,1,chr13,-,ENSG00000102763.18:t:41777985-41778056_41778056-41787437,41778056,41787437,41778057,41783794,chr13:41778056-41787437,target,dox_ctrl,non-NMD rescued
NUP93,ENSG00000102900.13,ENSG00000102900.13:t:56758538-56758655,0.0023,1e-04,4,3,1,chr16,+,ENSG00000102900.13:t:56758538-56758655_56748436-56758538,56748436,56758538,56748437,56758537,chr16:56748436-56758538,target,dox_ctrl,NMD rescued
NPRL3,ENSG00000103148.17,ENSG00000103148.17:s:124937-125073,0.0013,0.0013,6,5,1,chr16,-,ENSG00000103148.17:s:124937-125073_123851-124937,123851,124937,123922,124936,chr16:123851-124937,source,dox_ctrl,NMD rescued
