paste_into_igv_junction,not_path,path,gene,type,strand,n_invitro_observed,fraction_not_path,fraction_path
chr10:101827993-101828627,37,83,KCNIP2-AS1,none,-,1,0.0492021276595745,0.089247311827957
chr10:101829199-101831072,181,569,KCNIP2,annotated,-,4,0.240691489361702,0.611827956989247
chr10:101829897-101831072,197,659,KCNIP2,annotated,-,1,0.261968085106383,0.708602150537634
chr10:101831167-101839753,0,9,KCNIP2,novel_combo,-,5,0,0.00967741935483871
chr10:102033339-102056085,35,91,ARMH3,novel_exon_skip,-,2,0.0465425531914894,0.0978494623655914
chr10:102133842-102137850,109,286,PPRC1,novel_donor,+,1,0.144946808510638,0.30752688172043
chr10:102144307-102148372,275,904,PPRC1,annotated,+,1,0.365691489361702,0.972043010752688
chr10:102351951-102353600,79,171,GBF1,annotated,+,1,0.105053191489362,0.183870967741935
chr10:102363396-102365397,74,188,GBF1,annotated,+,1,0.0984042553191489,0.202150537634409
chr10:102368454-102369211,33,69,GBF1,annotated,+,1,0.0438829787234043,0.0741935483870968
chr10:102394600-102395888,150,474,NFKB2,annotated,+,1,0.199468085106383,0.509677419354839
chr10:102394774-102395888,7,18,NFKB2,annotated,+,1,0.00930851063829787,0.0193548387096774
chr10:102407266-102410374,44,174,PSD,novel_donor,-,1,0.0585106382978723,0.187096774193548
chr10:102417121-102417685,0,0,PSD,novel_donor,-,1,0,0
chr10:102417121-102417908,0,0,PSD,novel_donor,-,4,0,0
chr10:102417121-102417940,0,0,PSD,novel_donor,-,7,0,0
chr10:102418046-102418701,0,7,PSD,novel_acceptor,-,12,0,0.00752688172043011
chr10:102450330-102451399,109,382,C10orf95-AS1,annotated,+,1,0.144946808510638,0.410752688172043
chr10:102450330-102452090,20,60,C10orf95-AS1,novel_exon_skip,+,2,0.0265957446808511,0.0645161290322581
chr10:102465814-102472835,10,8,MFSD13A,none,-,3,0.0132978723404255,0.00860215053763441
chr10:102466825-102472835,0,0,MFSD13A,none,-,2,0,0
chr10:102472981-102474067,7,4,ACTR1A,novel_donor,-,1,0.00930851063829787,0.0043010752688172
chr10:102472981-102474067,7,4,MFSD13A,none,-,1,0.00930851063829787,0.0043010752688172
chr10:102472981-102480536,0,0,ACTR1A,novel_donor,-,1,0,0
chr10:102472997-102474067,2,0,ACTR1A,none,-,1,0.00265957446808511,0
chr10:102472997-102474067,2,0,MFSD13A,none,-,2,0.00265957446808511,0
chr10:102474257-102475838,1,1,MFSD13A,none,-,2,0.00132978723404255,0.0010752688172043
chr10:102475945-102480536,0,0,ACTR1A,none,-,2,0,0
chr10:102479201-102480536,2,7,ACTR1A,none,-,2,0.00265957446808511,0.00752688172043011
chr10:102509303-102512095,78,218,SUFU,novel_acceptor,+,2,0.103723404255319,0.234408602150538
chr10:102714681-102715223,10,29,SFXN2,annotated,+,1,0.0132978723404255,0.0311827956989247
chr10:102714681-102716589,4,23,SFXN2,annotated,+,1,0.00531914893617021,0.0247311827956989
chr10:102716329-102726612,1,3,SFXN2,annotated,+,1,0.00132978723404255,0.0032258064516129
chr10:102724996-102726612,2,7,SFXN2,annotated,+,3,0.00265957446808511,0.00752688172043011
chr10:102869593-102872448,50,201,AS3MT,ambig_gene,+,1,0.0664893617021277,0.216129032258065
chr10:102869845-102872448,83,303,AS3MT,ambig_gene,+,1,0.110372340425532,0.325806451612903
chr10:102869845-102872448,83,303,BORCS7-ASMT,ambig_gene,+,1,0.110372340425532,0.325806451612903
chr10:102920101-102921027,11,41,CNNM2,novel_acceptor,+,3,0.0146276595744681,0.0440860215053763
chr10:102920101-102927345,3,9,CNNM2,annotated,+,5,0.00398936170212766,0.00967741935483871
chr10:103027459-103049707,53,153,CNNM2,novel_donor,+,1,0.0704787234042553,0.164516129032258
chr10:103054727-103056795,222,733,CNNM2,novel_donor,+,1,0.295212765957447,0.788172043010753
chr10:103106706-103174858,184,610,NT5C2,annotated,-,1,0.24468085106383,0.655913978494624
chr10:103181328-103277154,6,8,NT5C2,annotated,-,1,0.00797872340425532,0.00860215053763441
chr10:103333952-103339502,12,30,PCGF6,annotated,-,1,0.0159574468085106,0.032258064516129
chr10:103398528-103399734,108,248,PDCD11,novel_acceptor,+,2,0.143617021276596,0.266666666666667
chr10:103558248-103570872,135,333,NEURL1,annotated,+,1,0.179521276595745,0.358064516129032
chr10:103897719-103898293,156,526,STN1,annotated,-,1,0.207446808510638,0.565591397849462
chr10:104018289-104019734,71,256,SLK,novel_exon_skip,+,1,0.0944148936170213,0.275268817204301
chr10:1053936-1054168,41,159,WDR37,none,-,1,0.0545212765957447,0.170967741935484
chr10:1056564-1072116,279,928,WDR37,annotated,+,1,0.371010638297872,0.997849462365591
chr10:106688334-106699214,244,752,SORCS1,novel_acceptor,-,1,0.324468085106383,0.808602150537634
chr10:1078003-1079556,45,203,WDR37,novel_acceptor,+,1,0.0598404255319149,0.218279569892473
chr10:1086357-1103602,59,186,WDR37,novel_exon_skip,+,1,0.0784574468085106,0.2
chr10:1093496-1095668,3,8,WDR37,novel_acceptor,+,2,0.00398936170212766,0.00860215053763441
chr10:1095829-1096170,1,12,WDR37,novel_donor,+,8,0.00132978723404255,0.0129032258064516
chr10:1096246-1103535,11,31,WDR37,novel_acceptor,+,1,0.0146276595744681,0.0333333333333333
chr10:110112915-110117342,96,322,ADD3,annotated,+,1,0.127659574468085,0.346236559139785
chr10:110297745-110298648,59,227,SMNDC1,annotated,-,1,0.0784574468085106,0.244086021505376
chr10:110298790-110300547,180,538,SMNDC1,annotated,-,1,0.23936170212766,0.578494623655914
chr10:110812801-110820072,1,1,RBM20,novel_donor,+,1,0.00132978723404255,0.0010752688172043
chr10:110812947-110816641,0,0,RBM20,novel_acceptor,+,1,0,0
chr10:110823614-110824365,0,0,RBM20,novel_acceptor,+,1,0,0
chr10:112433281-112433541,34,130,ZDHHC6,annotated,-,1,0.0452127659574468,0.139784946236559
chr10:112433616-112434297,10,43,ZDHHC6,novel_acceptor,-,1,0.0132978723404255,0.0462365591397849
chr10:112442259-112443515,95,372,ZDHHC6,annotated,-,1,0.126329787234043,0.4
chr10:113129372-113141184,3,5,TCF7L2,annotated,+,2,0.00398936170212766,0.00537634408602151
chr10:113159996-113165558,0,1,TCF7L2,none,+,1,0,0.0010752688172043
chr10:113692070-113697494,33,88,CASP7,annotated,+,1,0.0438829787234043,0.0946236559139785
chr10:11485911-11487803,0,2,USP6NL,novel_donor,-,2,0,0.0021505376344086
chr10:11487871-11489102,0,2,USP6NL,novel_acceptor,-,3,0,0.0021505376344086
chr10:115165645-115215697,238,774,ATRNL1,novel_exon_skip,+,1,0.316489361702128,0.832258064516129
chr10:115215880-115265193,273,914,ATRNL1,novel_exon_skip,+,2,0.363031914893617,0.982795698924731
chr10:115265277-115265556,219,730,ATRNL1,novel_acceptor,+,1,0.291223404255319,0.78494623655914
chr10:115268444-115286216,190,647,ATRNL1,novel_exon_skip,+,1,0.252659574468085,0.695698924731183
chr10:115315736-115394659,256,856,ATRNL1,annotated,+,1,0.340425531914894,0.920430107526882
chr10:116835022-116835198,202,624,HSPA12A,annotated,-,1,0.268617021276596,0.670967741935484
chr10:116886566-116889094,67,199,SHTN1,novel_donor,-,2,0.0890957446808511,0.213978494623656
chr10:116889279-116901765,1,7,SHTN1,novel_acceptor,-,3,0.00132978723404255,0.00752688172043011
chr10:11742905-11747349,5,31,ECHDC3,annotated,+,1,0.00664893617021277,0.0333333333333333
chr10:11755608-11756774,2,5,ECHDC3,novel_acceptor,+,1,0.00265957446808511,0.00537634408602151
chr10:118311313-118322305,207,716,FAM204A,annotated,-,1,0.275265957446809,0.76989247311828
chr10:118335213-118335554,124,468,FAM204A,annotated,-,1,0.164893617021277,0.503225806451613
chr10:11921307-11926922,1,1,UPF2,novel_donor,-,13,0.00132978723404255,0.0010752688172043
chr10:119805461-119807932,33,76,INPP5F,novel_exon_skip,+,1,0.0438829787234043,0.0817204301075269
chr10:120851527-120852524,171,570,WDR11,annotated,+,1,0.227393617021277,0.612903225806452
chr10:120866764-120871170,140,445,WDR11,annotated,+,1,0.186170212765957,0.478494623655914
chr10:120890009-120900029,255,835,WDR11,annotated,+,1,0.339095744680851,0.897849462365591
chr10:12091684-12091994,16,70,DHTKD1,novel_acceptor,+,1,0.0212765957446809,0.0752688172043011
chr10:12155405-12156907,10,13,SEC61A2,novel_donor,+,1,0.0132978723404255,0.0139784946236559
chr10:121962107-121963238,160,464,NSMCE4A,annotated,-,1,0.212765957446809,0.498924731182796
chr10:121971069-121973523,136,422,NSMCE4A,novel_donor,-,8,0.180851063829787,0.453763440860215
chr10:121973599-121974004,141,409,NSMCE4A,novel_acceptor,-,8,0.1875,0.439784946236559
chr10:121974081-121974390,223,707,NSMCE4A,annotated,-,1,0.296542553191489,0.760215053763441
chr10:122427031-122428276,280,930,PLEKHA1,annotated,+,1,0.372340425531915,1
chr10:122428346-122429624,217,767,PLEKHA1,novel_donor,+,1,0.288563829787234,0.824731182795699
chr10:122428420-122429624,150,482,PLEKHA1,annotated,+,1,0.199468085106383,0.518279569892473
chr10:122850520-122851230,3,12,FAM24B,novel_donor,-,1,0.00398936170212766,0.0129032258064516
chr10:122850520-122855645,8,25,FAM24B,annotated,-,1,0.0106382978723404,0.0268817204301075
chr10:122980695-122983272,76,226,PSTK,annotated,+,1,0.101063829787234,0.243010752688172
chr10:122990407-122997119,155,644,PSTK,annotated,+,1,0.206117021276596,0.69247311827957
chr10:122996176-122996579,21,47,IKZF5,novel_donor,-,1,0.0279255319148936,0.0505376344086022
chr10:122998658-123007026,222,791,IKZF5,annotated,-,1,0.295212765957447,0.850537634408602
chr10:124498128-124498328,47,148,LHPP,annotated,+,2,0.0625,0.159139784946237
chr10:124765608-124767224,144,559,EEF1AKMT2,ambig_gene,-,1,0.191489361702128,0.601075268817204
chr10:124765608-124767224,144,559,RP11-12J10.3,ambig_gene,-,1,0.191489361702128,0.601075268817204
chr10:124774782-124783640,6,51,EEF1AKMT2,ambig_gene,-,1,0.00797872340425532,0.0548387096774194
chr10:124774782-124783640,6,51,RP11-12J10.3,ambig_gene,-,1,0.00797872340425532,0.0548387096774194
chr10:124787732-124789039,12,38,RP11-12J10.3,novel_acceptor,-,1,0.0159574468085106,0.0408602150537634
chr10:125111093-125158635,208,738,CTBP2,annotated,-,1,0.276595744680851,0.793548387096774
chr10:125711588-125719422,101,305,EDRF1-DT,annotated,-,1,0.134308510638298,0.327956989247312
chr10:125730399-125731865,17,42,EDRF1,annotated,+,1,0.0226063829787234,0.0451612903225806
chr10:125743276-125745772,74,247,EDRF1,novel_acceptor,+,1,0.0984042553191489,0.265591397849462
chr10:125747694-125747858,41,88,EDRF1,novel_acceptor,+,1,0.0545212765957447,0.0946236559139785
chr10:125789005-125794022,16,59,UROS,annotated,-,1,0.0212765957446809,0.0634408602150538
chr10:125792744-125794022,1,7,UROS,annotated,-,1,0.00132978723404255,0.00752688172043011
chr10:127127764-127128418,5,9,DOCK1,novel_acceptor,+,3,0.00664893617021277,0.00967741935483871
chr10:127127764-127129487,130,352,DOCK1,novel_acceptor,+,3,0.172872340425532,0.378494623655914
chr10:127381368-127381953,3,17,DOCK1,novel_acceptor,+,7,0.00398936170212766,0.0182795698924731
chr10:127382041-127384790,0,30,DOCK1,novel_donor,+,7,0,0.032258064516129
chr10:129840442-129842116,0,0,EBF3,novel_exon_skip,-,1,0,0
chr10:130064383-130068486,29,109,C10orf143,novel_donor,-,1,0.038563829787234,0.117204301075269
chr10:13098477-13099506,48,184,CCDC3,novel_acceptor,-,1,0.0638297872340426,0.197849462365591
chr10:13100302-13108138,280,930,OPTN,annotated,+,2,0.372340425531915,1
chr10:13108289-13109112,280,928,OPTN,annotated,+,3,0.372340425531915,0.997849462365591
chr10:132164735-132167014,179,493,JAKMIP3,annotated,+,1,0.238031914893617,0.530107526881721
chr10:132245955-132249030,44,111,STK32C,annotated,-,1,0.0585106382978723,0.119354838709677
chr10:132245955-132331436,149,462,STK32C,annotated,-,2,0.19813829787234,0.496774193548387
chr10:132348356-132348963,240,782,LRRC27,annotated,+,1,0.319148936170213,0.840860215053763
chr10:132349057-132351607,235,710,LRRC27,annotated,+,1,0.3125,0.763440860215054
chr10:132351753-132352882,5,25,LRRC27,annotated,+,2,0.00664893617021277,0.0268817204301075
chr10:132351753-132352906,112,349,LRRC27,annotated,+,4,0.148936170212766,0.375268817204301
chr10:132351753-132353038,79,228,LRRC27,novel_acceptor,+,1,0.105053191489362,0.245161290322581
chr10:132406289-132409762,49,196,PWWP2B,novel_acceptor,+,1,0.0651595744680851,0.210752688172043
chr10:132749845-132777671,1,4,INPP5A,novel_exon_skip,+,2,0.00132978723404255,0.0043010752688172
chr10:133160569-133161067,28,72,KNDC1,novel_acceptor,+,4,0.0372340425531915,0.0774193548387097
chr10:133160569-133161085,45,191,KNDC1,novel_acceptor,+,4,0.0598404255319149,0.205376344086022
chr10:133160569-133161091,10,53,KNDC1,novel_acceptor,+,2,0.0132978723404255,0.056989247311828
chr10:133160569-133161153,42,152,KNDC1,annotated,+,1,0.0558510638297872,0.163440860215054
chr10:133166939-133167381,2,81,KNDC1,novel_donor,+,6,0.00265957446808511,0.0870967741935484
chr10:133168312-133173931,218,699,KNDC1,annotated,+,1,0.289893617021277,0.751612903225806
chr10:133174096-133183344,190,587,KNDC1,annotated,+,1,0.252659574468085,0.631182795698925
chr10:133198499-133199458,2,1,KNDC1,novel_exon_skip,+,1,0.00265957446808511,0.0010752688172043
chr10:133207351-133208723,0,0,KNDC1,novel_acceptor,+,4,0,0
chr10:133220112-133220928,5,9,KNDC1,novel_acceptor,+,1,0.00664893617021277,0.00967741935483871
chr10:133352113-133352247,6,10,PRAP1,annotated,+,1,0.00797872340425532,0.010752688172043
chr10:133357255-133357657,17,137,FUOM,annotated,-,1,0.0226063829787234,0.147311827956989
chr10:133381659-133383970,48,145,PAOX,ambig_gene,+,1,0.0638297872340426,0.155913978494624
chr10:133381659-133388956,241,704,PAOX,annotated,+,1,0.320478723404255,0.756989247311828
chr10:133381659-133388956,241,704,RP11-108K14.8,annotated,+,1,0.320478723404255,0.756989247311828
chr10:133389747-133390907,3,33,PAOX,ambig_gene,+,2,0.00398936170212766,0.0354838709677419
chr10:133391098-133391312,2,19,PAOX,ambig_gene,+,2,0.00265957446808511,0.0204301075268817
chr10:133467353-133491222,110,326,SCART1,annotated,+,1,0.146276595744681,0.350537634408602
chr10:13632825-13637997,3,4,RP11-295P9.3,annotated,+,1,0.00398936170212766,0.0043010752688172
chr10:1363917-1376116,0,0,ADARB2,novel_donor,-,4,0,0
chr10:13645074-13646615,4,18,RP11-295P9.3,annotated,+,1,0.00531914893617021,0.0193548387096774
chr10:13645136-13646615,7,17,RP11-295P9.3,annotated,+,1,0.00930851063829787,0.0182795698924731
chr10:13647276-13648085,148,468,ENSG00000239665,annotated,+,1,0.196808510638298,0.503225806451613
chr10:13684864-13693482,41,101,FRMD4A,annotated,-,1,0.0545212765957447,0.108602150537634
chr10:1376218-1379074,0,3,ADARB2,novel_acceptor,-,4,0,0.0032258064516129
chr10:14595680-14604240,6,13,FAM107B,novel_acceptor,-,1,0.00797872340425532,0.0139784946236559
chr10:14828272-14833302,0,0,CDNF,novel_donor,-,1,0,0
chr10:14866389-14867717,14,38,HSPA14,none,-,1,0.0186170212765957,0.0408602150537634
chr10:14909330-14911190,24,74,DCLRE1C,annotated,-,1,0.0319148936170213,0.0795698924731183
chr10:14942435-14945105,38,152,DCLRE1C,annotated,-,1,0.050531914893617,0.163440860215054
chr10:14945189-14945435,86,264,DCLRE1C,annotated,-,3,0.11436170212766,0.283870967741936
chr10:14945565-14949036,61,189,DCLRE1C,annotated,-,2,0.0811170212765958,0.203225806451613
chr10:14970546-14972513,5,29,MEIG1,annotated,+,1,0.00664893617021277,0.0311827956989247
chr10:15103683-15104937,5,11,NMT2,novel_donor,-,1,0.00664893617021277,0.0118279569892473
chr10:15782226-15789247,124,426,MINDY3,novel_exon_skip,-,1,0.164893617021277,0.458064516129032
chr10:1645966-1737051,0,1,ADARB2,novel_acceptor,-,4,0,0.0010752688172043
chr10:16990515-17018268,0,2,CUBN,novel_donor,-,1,0,0.0021505376344086
chr10:17594383-17599172,27,158,HACD1,novel_donor,-,1,0.0359042553191489,0.16989247311828
chr10:17594383-17603560,8,34,HACD1,annotated,-,1,0.0106382978723404,0.0365591397849462
chr10:17599411-17603726,4,3,HACD1,novel_exon_skip,-,1,0.00531914893617021,0.0032258064516129
chr10:18616293-18648490,118,280,NSUN6,novel_exon_skip,-,1,0.156914893617021,0.301075268817204
chr10:18642555-18643569,41,121,NSUN6,novel_donor,-,1,0.0545212765957447,0.13010752688172
chr10:18643640-18648490,48,141,NSUN6,novel_acceptor,-,1,0.0638297872340426,0.151612903225806
chr10:19817191-19818297,0,2,PLXDC2,novel_acceptor,+,3,0,0.0021505376344086
chr10:21713950-21723950,11,40,MLLT10,novel_acceptor,+,1,0.0146276595744681,0.0430107526881721
chr10:21724052-21726244,19,68,MLLT10,novel_donor,+,1,0.0252659574468085,0.0731182795698925
chr10:21733087-21733768,19,81,MLLT10,novel_exon_skip,+,1,0.0252659574468085,0.0870967741935484
chr10:21806099-21879744,17,22,DNAJC1,novel_donor,-,1,0.0226063829787234,0.0236559139784946
chr10:22318168-22318353,27,74,COMMD3,annotated,+,1,0.0359042553191489,0.0795698924731183
chr10:22345818-22391729,12,49,SPAG6,annotated,+,1,0.0159574468085106,0.0526881720430108
chr10:22401277-22416619,12,34,SPAG6,annotated,+,4,0.0159574468085106,0.0365591397849462
chr10:22573457-22607927,267,896,PIP4K2A,novel_exon_skip,-,1,0.355053191489362,0.963440860215054
chr10:24609531-24619473,124,298,ARHGAP21,novel_acceptor,-,1,0.164893617021277,0.320430107526882
chr10:26709768-26720135,196,627,PDSS1,annotated,+,1,0.26063829787234,0.674193548387097
chr10:27060540-27063988,97,306,ANKRD26,annotated,-,1,0.128989361702128,0.329032258064516
chr10:29686651-29735751,34,134,SVIL,annotated,-,1,0.0452127659574468,0.144086021505376
chr10:3069389-3082388,213,716,PFKP,annotated,+,5,0.283244680851064,0.76989247311828
chr10:3099352-3099557,56,235,PFKP,novel_acceptor,+,19,0.074468085106383,0.252688172043011
chr10:3099352-3099624,0,8,PFKP,novel_acceptor,+,2,0,0.00860215053763441
chr10:3099819-3101365,81,323,PFKP,novel_donor,+,21,0.107712765957447,0.347311827956989
chr10:3125249-3129819,27,127,PFKP,annotated,+,2,0.0359042553191489,0.136559139784946
chr10:31319292-31387124,229,786,ZEB1,novel_exon_skip,+,1,0.304521276595745,0.845161290322581
chr10:31355192-31373018,28,89,ZEB1,annotated,+,1,0.0372340425531915,0.0956989247311828
chr10:32272167-32273014,220,725,EPC1,annotated,-,1,0.292553191489362,0.779569892473118
chr10:32274038-32284698,181,649,EPC1,annotated,-,1,0.240691489361702,0.697849462365591
chr10:32889002-32908368,7,30,ITGB1,annotated,-,1,0.00930851063829787,0.032258064516129
chr10:33197709-33207572,44,156,NRP1,annotated,-,1,0.0585106382978723,0.167741935483871
chr10:341329-348641,0,2,DIP2C,novel_exon_skip,-,4,0,0.0021505376344086
chr10:34346449-34347965,176,585,PARD3,annotated,-,1,0.234042553191489,0.629032258064516
chr10:35137879-35148368,58,173,CREM,annotated,+,2,0.0771276595744681,0.186021505376344
chr10:35148491-35206895,259,881,CREM,annotated,+,1,0.344414893617021,0.947311827956989
chr10:35152380-35178889,8,19,CREM,novel_donor,+,1,0.0106382978723404,0.0204301075268817
chr10:35179276-35206895,239,845,CREM,annotated,+,1,0.31781914893617,0.908602150537634
chr10:35201486-35206895,109,326,CREM,annotated,+,1,0.144946808510638,0.350537634408602
chr10:35321670-35335809,1,5,CCNY,none,-,1,0.00132978723404255,0.00537634408602151
chr10:35321670-35335928,25,143,CCNY,none,-,1,0.0332446808510638,0.153763440860215
chr10:35335888-35336220,0,0,CCNY,none,-,1,0,0
chr10:37803943-37831232,105,381,ZNF248,novel_combo,-,1,0.139627659574468,0.409677419354839
chr10:37829688-37831232,13,36,ZNF248,novel_acceptor,-,1,0.0172872340425532,0.0387096774193548
chr10:37957546-37968754,28,93,ZNF25,novel_donor,-,1,0.0372340425531915,0.1
chr10:37970357-37971708,68,269,ZNF25,novel_acceptor,-,1,0.0904255319148936,0.289247311827957
chr10:37971807-37971915,211,692,ZNF25,novel_donor,-,1,0.280585106382979,0.744086021505376
chr10:37972021-37976506,183,579,ZNF25,novel_acceptor,-,1,0.243351063829787,0.62258064516129
chr10:417344-419065,18,55,DIP2C,novel_acceptor,-,1,0.023936170212766,0.0591397849462366
chr10:42594696-42614282,40,158,ZNF33B,novel_acceptor,-,1,0.0531914893617021,0.16989247311828
chr10:42632439-42638474,67,213,ZNF33B,annotated,-,1,0.0890957446808511,0.229032258064516
chr10:42820306-42820508,106,315,BMS1,novel_donor,+,1,0.140957446808511,0.338709677419355
chr10:43100722-43112099,4,8,RET,novel_exon_skip,+,2,0.00531914893617021,0.00860215053763441
chr10:43105193-43106158,0,1,RET,novel_acceptor,+,1,0,0.0010752688172043
chr10:43138567-43167004,28,116,CSGALNACT2,novel_exon_skip,+,1,0.0372340425531915,0.124731182795699
chr10:43160595-43162200,270,905,CSGALNACT2,novel_acceptor,+,1,0.359042553191489,0.973118279569892
chr10:43162360-43163866,227,792,CSGALNACT2,novel_donor,+,1,0.30186170212766,0.851612903225806
chr10:43558171-43567895,6,32,ZNF239,novel_donor,-,1,0.00797872340425532,0.0344086021505376
chr10:43558171-43574471,46,200,ZNF239,novel_donor,-,3,0.0611702127659575,0.21505376344086
chr10:43607074-43609255,0,0,ZNF485,novel_exon_skip,+,1,0,0
chr10:43646202-43647655,0,3,ZNF32-AS2,none,-,1,0,0.0032258064516129
chr10:44971848-44984022,186,602,RASSF4,novel_exon_skip,+,1,0.247340425531915,0.647311827956989
chr10:45593624-45594235,36,118,MARCHF8,annotated,-,1,0.0478723404255319,0.126881720430108
chr10:45618260-45620780,5,17,ZFAND4,annotated,-,2,0.00664893617021277,0.0182795698924731
chr10:45618260-45625951,157,530,ZFAND4,novel_exon_skip,-,1,0.208776595744681,0.56989247311828
chr10:45618260-45639816,77,256,ZFAND4,novel_exon_skip,-,1,0.102393617021277,0.275268817204301
chr10:45652033-45663542,267,883,ZFAND4,annotated,-,3,0.355053191489362,0.949462365591398
chr10:45653059-45672272,5,8,ZFAND4,novel_combo,-,1,0.00664893617021277,0.00860215053763441
chr10:45684520-45694748,0,0,AGAP10P,novel_exon_skip,+,1,0,0
chr10:45740246-45741980,56,171,WASHC2C,novel_acceptor,+,3,0.074468085106383,0.183870967741935
chr10:45847954-45848843,114,321,AGAP4,annotated,-,1,0.151595744680851,0.345161290322581
chr10:45854367-45887620,1,0,PARGP1,none,-,1,0.00132978723404255,0
chr10:45900426-45908887,196,662,PARGP1,novel_donor,-,3,0.26063829787234,0.711827956989247
chr10:46791041-46808996,23,64,BMS1P1,novel_exon_skip,+,2,0.0305851063829787,0.0688172043010753
chr10:46911501-46943918,203,730,PTPN20,annotated,+,1,0.269946808510638,0.78494623655914
chr10:48011852-48012276,3,4,AGAP12P,novel_acceptor,-,2,0.00398936170212766,0.0043010752688172
chr10:48016918-48018268,3,12,AGAP12P,novel_acceptor,-,3,0.00398936170212766,0.0129032258064516
chr10:4826979-4830675,23,25,AKR1E2,novel_donor,+,1,0.0305851063829787,0.0268817204301075
chr10:4835809-4842421,201,610,AKR1E2,annotated,+,1,0.267287234042553,0.655913978494624
chr10:4839826-4842421,109,360,AKR1E2,novel_exon_skip,+,1,0.144946808510638,0.387096774193548
chr10:48446619-48453304,11,28,ARHGAP22,novel_exon_skip,-,4,0.0146276595744681,0.0301075268817204
chr10:48451607-48453304,83,273,ARHGAP22,novel_acceptor,-,2,0.110372340425532,0.293548387096774
chr10:48452797-48453304,6,13,ARHGAP22,novel_acceptor,-,8,0.00797872340425532,0.0139784946236559
chr10:48459891-48469601,18,35,ARHGAP22,novel_donor,-,1,0.023936170212766,0.0376344086021505
chr10:48555550-48604763,66,241,ARHGAP22,annotated,-,2,0.0877659574468085,0.259139784946237
chr10:48555550-48652234,17,39,ARHGAP22,novel_exon_skip,-,1,0.0226063829787234,0.0419354838709678
chr10:48575658-48582953,163,532,ARHGAP22,annotated,-,1,0.216755319148936,0.572043010752688
chr10:48583152-48583378,1,32,ARHGAP22,novel_donor,-,11,0.00132978723404255,0.0344086021505376
chr10:48583510-48604763,0,29,ARHGAP22,novel_acceptor,-,11,0,0.0311827956989247
chr10:49386858-49388095,9,33,DRGX,novel_donor,-,1,0.011968085106383,0.0354838709677419
chr10:49386858-49388969,0,0,DRGX,novel_donor,-,2,0,0
chr10:49483516-49500538,56,194,ERCC6,annotated,-,1,0.074468085106383,0.208602150537634
chr10:49506012-49528417,118,287,ERCC6,novel_exon_skip,-,1,0.156914893617021,0.308602150537634
chr10:49736520-49737947,177,474,OGDHL,novel_exon_skip,-,1,0.235372340425532,0.509677419354839
chr10:49738262-49742828,79,223,OGDHL,novel_exon_skip,-,1,0.105053191489362,0.239784946236559
chr10:49885295-49908455,278,929,PARG,annotated,-,1,0.36968085106383,0.998924731182796
chr10:49908541-49915917,280,930,PARG,annotated,-,1,0.372340425531915,1
chr10:49958480-49970109,120,329,TIMM23B,ambig_gene,+,1,0.159574468085106,0.353763440860215
chr10:49973142-49989308,80,261,TIMM23B-AGAP6,ambig_gene,+,1,0.106382978723404,0.280645161290323
chr10:49987234-49988751,81,281,TIMM23B-AGAP6,annotated,+,1,0.107712765957447,0.302150537634409
chr10:49987234-49989308,44,109,TIMM23B-AGAP6,annotated,+,1,0.0585106382978723,0.117204301075269
