position,cryptic,controls,n_cry,n_ctrl,timing,repeat_cat,junc_type,exon_inclusion_type,pv,OR,adj.p,logOR,rows
18,4,1466,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.345092766397461,1.53560107664972,1,0,Early_LINE
19,4,1481,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.349650954911718,1.51882190329773,1,0,Early_LINE
20,4,1500,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.355530150603193,1.49805017388448,1,0,Early_LINE
21,4,1510,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.35866968572265,1.4873277000771,1,0,Early_LINE
22,4,1526,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.52612264193926,1.4704641070933,1,0,Early_LINE
23,4,1540,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.527718834926038,1.4559959596404,1,0,Early_LINE
24,4,1554,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.529404126356189,1.44178853159959,1,0,Early_LINE
25,4,1569,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.531305913983764,1.42684766337775,1,0,Early_LINE
26,4,1586,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.533577810005432,1.41025633838646,1,0,Early_LINE
27,4,1599,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.535396131482431,1.39780688977574,1,0,Early_LINE
28,4,1615,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.537727331598225,1.3827596140544,1,0,Early_LINE
29,4,1634,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.540624712781241,1.36527367860418,1,0,Early_LINE
30,4,1646,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.542524352338374,1.35443789398811,1,0,Early_LINE
31,5,1659,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.229303352934698,1.73102343954936,1,0,Early_LINE
32,5,1676,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.233437104970074,1.71188095208697,1,0,Early_LINE
33,5,1689,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.236669215967444,1.69750250640408,1,0,Early_LINE
34,5,1701,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.23970595429836,1.68442510692285,1,0,Early_LINE
35,5,1714,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.243052107743106,1.67046450870705,1,0,Early_LINE
36,5,1730,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.247248859598024,1.6535701923779,1,0,Early_LINE
37,5,1740,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.249914680303932,1.64316898924298,1,0,Early_LINE
38,5,1750,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.252612696268208,1.63288663574719,1,0,Early_LINE
39,5,1755,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.373105899850698,1.6277893937622,1,0,Early_LINE
40,5,1760,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.373643420112765,1.62272110933653,1,0,Early_LINE
41,5,1775,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.375329259736268,1.60768755849255,1,0,Early_LINE
42,5,1783,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.376272714457859,1.59977308315655,1,0,Early_LINE
43,5,1798,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.37812329101682,1.58512326059989,1,0,Early_LINE
44,5,1803,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.378763472754422,1.58029415343527,1,0,Early_LINE
45,6,1818,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.143937108718854,1.9398276133273,1,0,Early_LINE
46,6,1824,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.144932809213929,1.93281667613907,1,0,Early_LINE
47,6,1829,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.145772195337842,1.92700961721168,1,0,Early_LINE
48,6,1839,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.147477067927143,1.91549091159581,1,0,Early_LINE
49,6,1841,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.147822195299556,1.91320229518194,1,0,Early_LINE
50,6,1842,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.147995275872511,1.9120598641767,1,0,Early_LINE
51,8,1845,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0176911156883767,2.72013046789747,1,0,Early_LINE
52,8,1846,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0177439519016369,2.71850800020371,1,0,Early_LINE
53,8,1850,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0179564565525104,2.71203560042921,1,0,Early_LINE
54,8,1858,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.018387062143945,2.69917410214796,1,0,Early_LINE
55,8,1862,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0186051810516501,2.69278466117823,1,0,Early_LINE
56,9,1867,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00594059304455746,3.1283841445362,1,0,Early_LINE
57,9,1864,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00587881137025565,3.13391241361799,1,0,Early_LINE
58,9,1866,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00591994276152686,3.13022505038396,1,0,Early_LINE
59,9,1876,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00612900223664405,3.11189904519992,1,0,Early_LINE
60,9,1880,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00621422968497372,3.10462016254567,1,0,Early_LINE
61,9,1876,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00612900223664405,3.11189904519992,1,0,Early_LINE
62,9,1878,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00617150056453448,3.10825593477679,1,0,Early_LINE
63,9,1878,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00617150056453448,3.10825593477679,1,0,Early_LINE
64,9,1876,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00612900223664405,3.11189904519992,1,0,Early_LINE
65,9,1873,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00606568562096467,3.11737749429579,1,0,Early_LINE
66,9,1869,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00598206331320362,3.12470787846205,1,0,Early_LINE
67,9,1873,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00606568562096467,3.11737749429579,1,0,Early_LINE
68,9,1866,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00591994276152686,3.13022505038396,1,0,Early_LINE
69,9,1857,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00573661677501511,3.14687659311722,1,0,Early_LINE
70,9,1857,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00573661677501511,3.14687659311722,1,0,Early_LINE
71,9,1853,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00565658559193805,3.15433074061416,1,0,Early_LINE
72,9,1852,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0056367157104822,3.15620720895316,1,0,Early_LINE
73,9,1847,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00553818856310675,3.16562000628139,1,0,Early_LINE
74,9,1849,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00557743538755724,3.16184878317621,1,0,Early_LINE
75,9,1840,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00540253391998673,3.17888379453093,1,0,Early_LINE
76,9,1841,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0054217512010554,3.17698279768272,1,0,Early_LINE
77,9,1833,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00526951098167013,3.1922487931066,1,0,Early_LINE
78,9,1826,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00513908430986949,3.20571615026979,1,0,Early_LINE
79,9,1827,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00515755907451833,3.20378593132887,1,0,Early_LINE
80,9,1821,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0050474924187766,3.21539900331475,1,0,Early_LINE
81,9,1818,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00499315914885315,3.22123424531317,1,0,Early_LINE
82,9,1815,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00493928891125458,3.22708886453549,1,0,Early_LINE
83,9,1801,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00469393626664469,3.25466907724307,1,0,Early_LINE
84,9,1802,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00471113494620249,3.25268485187556,1,0,Early_LINE
85,9,1797,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0046256378308953,3.26262805954564,1,0,Early_LINE
86,9,1790,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00450801083608408,3.27664185980602,1,0,Early_LINE
87,9,1783,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00439276668279677,3.29076568147087,1,0,Early_LINE
88,9,1775,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00426393321716149,3.30704358217901,1,0,Early_LINE
89,10,1766,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00107602860806104,3.83159305413488,1,0,Early_LINE
90,10,1759,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00104370177907262,3.84828880550422,1,0,Early_LINE
91,10,1757,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00103461499307028,3.85308340909758,1,0,Early_LINE
92,10,1755,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00102559394941297,3.85788892130622,1,0,Early_LINE
93,10,1754,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00102110796564623,3.86029578000195,1,0,Early_LINE
94,10,1741,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000964256616760492,3.89183616057761,1,0,Early_LINE
95,10,1731,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000922336420983579,3.9164199434306,1,0,Early_LINE
96,10,1727,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000905998189029127,3.92633309198172,1,0,Early_LINE
97,10,1722,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000885914550150475,3.93878923904095,1,0,Early_LINE
98,10,1720,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000877985491788069,3.94379196133791,1,0,Early_LINE
99,10,1712,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000846857193132016,3.96391967446588,1,0,Early_LINE
100,10,1709,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00083542354916072,3.97151612988785,1,0,Early_LINE
101,10,1694,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000780165300216743,4.01088359214194,1,0,Early_LINE
102,10,1681,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000734771989521804,4.04472217894126,1,0,Early_LINE
103,10,1676,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000717910357712931,4.0578769112746,1,0,Early_LINE
104,10,1675,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.0007145770953485,4.06051729148167,1,0,Early_LINE
105,10,1671,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000701372944536179,4.07111044958205,1,0,Early_LINE
106,10,1665,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000681949111488738,4.08709573645853,1,0,Early_LINE
107,10,1660,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000666107777034445,4.10050520114299,1,0,Early_LINE
108,10,1653,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000644447448741834,4.11941494575606,1,0,Early_LINE
109,10,1650,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000635346442015628,4.12756832042662,1,0,Early_LINE
110,10,1641,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000608685782637465,4.15220764282694,1,0,Early_LINE
111,10,1627,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000569077495462452,4.19107842723891,1,0,Early_LINE
112,10,1617,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000542127439121802,4.2192563399215,1,0,Early_LINE
113,10,1607,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000516255426718783,4.24778586101945,1,0,Early_LINE
114,10,1584,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000460655301653585,4.31477480050381,1,0,Early_LINE
115,10,1574,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000438101051314596,4.3445129991053,1,0,Early_LINE
116,10,1565,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.00041860306748441,4.37160340182407,1,0,Early_LINE
117,10,1551,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000389725827449462,4.41437110528355,1,0,Early_LINE
118,10,1543,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000373991126270184,4.43915947016317,1,0,Early_LINE
119,10,1532,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000353232235022136,4.47366769586417,1,0,Early_LINE
120,10,1516,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000324776538328821,4.52475863098192,1,0,Early_LINE
121,10,1508,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000311290327829788,4.55071208929553,1,0,Early_LINE
122,10,1502,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000301488710441512,4.57035923829955,1,0,Early_LINE
123,10,1495,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000290384156884761,4.59348089987678,1,0,Early_LINE
124,10,1477,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000263404545834917,4.6539462015549,1,0,Early_LINE
125,10,1470,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000253501386228267,4.67786159653973,1,0,Early_LINE
126,10,1451,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000228195377049748,4.74394111566878,1,0,Early_LINE
127,10,1442,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000216976645474745,4.77585117835146,1,0,Early_LINE
128,10,1436,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000209760223998376,4.79734722629916,1,0,Early_LINE
129,10,1425,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000197058055213648,4.83722763890994,1,0,Early_LINE
130,10,1411,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000181840814623337,4.88888515175195,1,0,Early_LINE
131,10,1408,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000178713279250376,4.90008842419567,1,0,Early_LINE
132,10,1398,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000168615987859979,4.93778022949955,1,0,Early_LINE
133,10,1385,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000156217786311685,4.98787561085823,1,0,Early_LINE
134,10,1379,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000150762529391322,5.01161602817267,1,0,Early_LINE
135,10,1371,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000143741659088746,5.04191087658266,1,0,Early_LINE
136,10,1360,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000134543771085142,5.08601956131944,1,0,Early_LINE
137,10,1345,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000122812517547056,5.14681006731699,1,0,Early_LINE
138,10,1329,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000111271753568466,5.21255984853313,1,0,Early_LINE
139,10,1315,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,0.000101945723985647,5.27272681019791,1,0,Early_LINE
140,10,1297,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,9.09426056779888e-05,5.35096920999402,1,0,Early_LINE
141,10,1289,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,8.63884050159807e-05,5.38642608462046,1,0,Early_LINE
142,10,1267,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,7.48566054481382e-05,5.48614860048548,1,0,Early_LINE
143,10,1253,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,6.82267204559913e-05,5.55133187811515,1,0,Early_LINE
144,10,1242,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,6.33768139188239e-05,5.60350297162479,1,0,Early_LINE
145,10,1234,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,6.00381104540269e-05,5.64392183102757,1,0,Early_LINE
146,10,1223,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.5694469564e-05,5.69759882506526,1,0,Early_LINE
147,10,1210,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.09113811050474e-05,5.76233498103555,1,0,Early_LINE
148,10,1194,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.55125285326033e-05,5.84449767111397,1,0,Early_LINE
149,10,1180,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.11998358612664e-05,5.91821802076105,1,0,Early_LINE
150,11,1170,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.76588494053533e-06,6.8214321700849,0.556811508707497,0,Early_LINE
151,11,1152,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.97598960955778e-06,6.93446217346913,0.480949299722198,0,Early_LINE
152,11,1130,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.14089007607163e-06,7.07738477749209,0.400697369101147,0,Early_LINE
153,11,1119,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.77163451494503e-06,7.15088222531608,0.365214913351157,0,Early_LINE
154,11,1097,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.11899682905616e-06,7.30207660943436,0.302308767656268,0,Early_LINE
155,11,1072,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,2.49991382562581e-06,7.48507026727622,0.242561638672821,0,Early_LINE
156,11,1056,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,2.16311635200819e-06,7.60479998580963,0.210075370757979,0,Early_LINE
157,11,1045,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.95543694365629e-06,7.68925222998951,0.189964832765378,0,Early_LINE
158,11,1035,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.78211994316003e-06,7.76759418920419,0.173200673035837,0,Early_LINE
159,11,1028,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.66901074586076e-06,7.82360314473723,0.162242865594379,0,Early_LINE
160,11,1019,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.53292625090596e-06,7.896361743783,0.149044886449336,0,Early_LINE
161,11,1005,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.3406785470422e-06,8.01212250082756,0.130410483627889,0,Early_LINE
162,11,995,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.21672900516352e-06,8.09679676736308,0.118379215099374,0,Early_LINE
163,11,986,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.11395350836909e-06,8.17446804885023,0.108405499620446,0,Early_LINE
164,11,974,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,9.88892831283811e-07,8.28025748086236,0.0962647615541539,0,Early_LINE
165,12,961,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,9.44776306091231e-08,9.52657562880798,0.00927723093766284,2.2551344722604,Early_LINE
166,12,946,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,7.97406100296075e-08,9.68509887193844,0.00783260116076823,2.27162048688278,Early_LINE
167,12,938,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,7.27565386968601e-08,9.77172202955228,0.00714694755273127,2.28051554518839,Early_LINE
168,12,922,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,6.04122369478238e-08,9.94948815809987,0.00593616681473011,2.298525680527,Early_LINE
169,12,910,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.2426196612998e-08,10.0869244614492,0.00515302329128819,2.3122308687076,Early_LINE
170,12,891,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.17070295644486e-08,10.3121198075327,0.00410188635766352,2.3342891466668,Early_LINE
171,12,884,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.82846925296876e-08,10.3975316354828,0.00376625662760802,2.34252973976364,Early_LINE
172,12,867,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.1000294327089e-08,10.6107119932991,0.00305064596384584,2.36280605625007,Early_LINE
173,12,854,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,2.62991257631413e-08,10.779466357513,0.00258864924799176,2.37857032091196,Early_LINE
174,12,847,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,2.40430794805744e-08,10.8724815246545,0.00236692095946515,2.38715429673136,Early_LINE
175,12,828,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.8770518829379e-08,11.1311982420529,0.00184902749832563,2.41064979083799,Early_LINE
176,12,819,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.66575257625849e-08,11.260135606968,0.00164116606823292,2.42215636054079,Early_LINE
177,12,804,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.36075635216874e-08,11.4789948092929,0.00134129753633272,2.44138960407313,Early_LINE
178,12,779,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,9.62466673105532e-09,11.8643704888849,0.000949367501684566,2.47438233705323,Early_LINE
179,12,769,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,8.3514972780028e-09,12.023238097707,0.00082406729091237,2.48767266232143,Early_LINE
180,12,759,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,7.23226406110086e-09,12.1876405505622,0.000714077592072794,2.5012425355406,Early_LINE
181,12,744,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.80577529298314e-09,12.442192255871,0.000573477066114996,2.52189669221852,Early_LINE
182,12,731,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.78060630493418e-09,12.670752573948,0.000472261755045533,2.54008529850559,Early_LINE
183,12,717,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.86187632981947e-09,12.9253685206897,0.000381557243262494,2.5599653054285,Early_LINE
184,14,710,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.57266482915673e-11,16.5632559919348,1.55943871794352e-06,2.80779031134655,Early_LINE
185,14,689,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.06188081698392e-11,17.086867659521,1.05310968143563e-06,2.83889526892372,Early_LINE
186,14,672,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,7.6552919825739e-12,17.5308403078826,7.59297790583574e-07,2.86453189388557,Early_LINE
187,14,654,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,5.36201173203089e-12,18.0343050657172,5.3187402973534e-07,2.89283012617098,Early_LINE
188,14,644,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,4.38012803654876e-12,18.3234984988399,4.34513081353673e-07,2.90872990555141,Early_LINE
189,14,629,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,3.21381661370575e-12,18.7744911954542,3.18839532429134e-07,2.93303159297661,Early_LINE
190,14,613,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,2.29012187263913e-12,19.2798351757459,2.27223602081382e-07,2.95957828233712,Early_LINE
191,14,597,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.61676309358517e-12,19.8122362144829,1.60434635302644e-07,2.98680434869703,Early_LINE
192,14,584,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,1.20963765093846e-12,20.2662824869078,1.20042021203831e-07,3.0094518525957,Early_LINE
193,14,568,37,20039,Early,LINE,acceptor,_99___In_frame.fa_rm.bed,8.38566422657421e-13,20.8536438445464,8.32226860502131e-08,3.0380081152643,Early_LINE
