gene,paste_into_igv_junction,paste_into_igv_junction_annotated,strand,junc_cat,junc_in_ref,cryptic,junction_for_clustering,ID_exon,last_exon,dox0_sh,dox0125,dox0187,dox021,dox025,dox075,tdp43_sensitivity_sh,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,tdp43_sensitivity_be2,max_psi_be2,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,score_cryptic,score_ann,phastCons_alt,phastCons_unchanged,longest_ug_region,dist_nearest_ug_region,width
ACTL6B,chr7:100650643-100655019,chr7:100650135-100655019,-,acceptor,FALSE,yes,no,12,FALSE,0,0,0.236,0.382,0.538,0.96,Early,Top,0.01,0.01,0.01,0.574,0.7,0.868,0.908,0.904,Early,Top,,,,,,,,,,2.86,10.9,0.3715,0.989099991,32,138,4884
ACTL6B,chr7:100650135-100650575,chr7:100650135-100655019,-,donor,FALSE,yes,yes,12,FALSE,0.001,0.001,0.274,0.439,0.675,0.973,Early,Top,0.02,0.02,0.02,0.584,0.73,0.895,0.933,0.935,Early,Top,-4.244448591,2.251176312,3,1.055676124,5.635121514,4,-1.232977032,3.90547109,1,4.93,10.08,0.062599999,0.9935,40,126,4884
ACTN4,chr19:38710342-38714469,chr19:38710342-38714469,+,exon_skip,TRUE,no,yes,13,FALSE,,,,,,,,,0.582,0.582,0.582,0.582,0.582,0.807,0.807,0.79,Late,Bottom,,,,,,,,,,,,,,,,4127
ACVR1B,chr12:51960187-51975265,chr12:51951834-51975265,+,donor,TRUE,yes,yes,14,FALSE,0.003,0.18,0.18,0.18,0.137,0.306,Early,Medium,,,,,,,,,,,-2.46309271,-6.831085378,7,2.731619519,0.15860054,2,,,,,,0.030699999,0.867400008,16,102,23431
ADCY1,chr7:45622743-45625299,chr7:45622743-45648670,+,acceptor,FALSE,yes,yes,16,FALSE,0.001,0.001,0.217,0.262,0.554,0.615,Early,Top,0.001,0.001,0.001,0.503,0.57,0.645,0.728,0.724,Early,Top,-3.508126618,2.751961721,3,1.026827386,4.170743913,4,-1.272943443,3.184715858,1,7.01,11.81,0.262500004,0.990400004,20,126,25927
ADCY1,chr7:45625377-45648670,chr7:45622743-45648670,+,donor,FALSE,yes,no,16,FALSE,0,0,0.188,0.161,0.26,0.445,Early,Top,0,0,0,0.222,0.239,0.295,0.308,0.338,Early,Medium,,,,,,,,,,9.08,7.63,0.069400001,0.978899986,24,138,25927
ADCY1,chr7:45625430-45648670,chr7:45622743-45648670,+,donor,FALSE,yes,no,16,FALSE,,,,,,,Early,,0,0,0,0.218,0.3,0.267,0.333,0.308,Early,Medium,,,,,,,,,,2.34,7.63,0.2461,0.978899986,20,138,25927
ADCY7,chr16:50246203-50246881,chr16:50246203-50287912,+,acceptor,FALSE,yes,yes,17,FALSE,0.02,0.028,0.302,0.302,0.302,0.405,Early,Top,,,,,,,,,Early,,-6.863336215,-8.097569764,1,1.977087589,2.132403195,2,,,,8.65,9.6,0.518299997,0.003,0,,41709
ADCY7,chr16:50247109-50287912,chr16:50246203-50287912,+,donor,FALSE,no,no,17,FALSE,,,,,,,Early,,0.016,0.016,0.473,0.648,0.67,0.795,0.795,0.795,Early,Top,,,,,,,,,,8.48,12.32,0.0575,0.029100001,0,,41709
ADCYAP1R1,chr7:31100210-31103237,chr7:31092735-31103237,+,donor,TRUE,no,yes,19,FALSE,0.26,0.26,0.4,0.391,0.431,0.585,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.998300016,0.4855,16,134,10502
ADCYAP1R1,chr7:31078098-31084141,chr7:31078098-31084141,+,exon_skip,TRUE,no,yes,18,FALSE,0.469,0.469,0.716,0.816,0.816,0.857,Early,Top,,,,,,,,,,,,,,,,,,,,,,,,,,6043
ADGRB2,chr1:31728081-31728182,chr1:31727605-31728182,-,acceptor,TRUE,no,yes,20,FALSE,0.522,0.522,0.522,0.522,0.522,0.791,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.2213,0.985099995,16,10,577
ADGRB2,chr1:31727605-31728025,chr1:31727605-31728182,-,donor,TRUE,no,no,20,FALSE,0.479,0.479,0.479,0.479,0.479,0.725,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.0015,0.959499997,16,30,577
ADGRB3,chr6:69076038-69233290,chr6:69076038-69233289,+,donor,TRUE,no,yes,21,FALSE,0.125,0.125,0.282,0.299,0.375,0.647,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.999500006,1,16,10,157251
ADGRL2,chr1:81952142-81952987,chr1:81952142-81955877,+,acceptor,TRUE,no,no,23,FALSE,0.341,0.341,0.341,0.341,0.341,0.615,Late,Medium,,,,,,,,,,,,,,,,,,,,,,1,0.996000004,0,,3735
ADGRL2,chr1:81942045-81942969,chr1:81936837-81942969,+,donor,TRUE,no,yes,22,FALSE,0.062,0.062,0.062,0.062,0.062,0.28,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.999200004,0,,6132
ADGRL2,chr1:81953025-81955877,chr1:81952142-81955877,+,donor,TRUE,no,yes,23,FALSE,0.318,0.318,0.318,0.318,0.318,0.606,Late,Medium,,,,,,,,,,,,,,,,,,,,,,1,0.999000007,0,,3735
AGFG2,chr7:100555735-100556594,chr7:100555735-100562259,+,acceptor,TRUE,yes,yes,24,FALSE,,,,,,,,,0.03,0.03,0.03,0.373,0.373,0.373,0.373,0.373,Early,Medium,-1.000680223,9.26158922,9,,,,-0.280592789,0.775805848,4,,,0.997800004,0.335300002,0,,6524
AGPAT4,chr6:161153499-161166248,chr6:161153499-161166248,-,exon_skip,FALSE,yes,yes,25,FALSE,,,,,,,,,0.028,0.369,0.503,0.659,0.803,0.803,0.803,0.803,Early,Top,-2.257066745,9.167720816,9,,,,-1.033700424,5.543001286,1,,,,,,,12749
AGRN,chr1:1044440-1044887,chr1:1044439-1045161,+,acceptor,FALSE,yes,yes,26,FALSE,0.001,0.001,0.191,0.26,0.31,0.391,Early,Top,,,,,,,,,,,-6.726908179,-8.466302074,1,1.695959384,1.986410604,2,,,,,,0.004,0.869599998,20,54,722
AGRN,chr1:1044439-1044892,chr1:1044439-1045161,+,acceptor,FALSE,yes,no,469,FALSE,0.001,0.001,0.161,0.208,0.189,0.33,Early,Medium,,,,,,,,,,,,,,,,,,,,-3.29,8.7,0.012,0.900699997,24,46,722
AGRN,chr1:1044987-1045161,chr1:1044439-1045161,+,donor,FALSE,yes,yes,27,FALSE,0.001,0.001,0.159,0.21,0.233,0.4,Early,Top,,,,,,,,,,,-6.633501744,-8.570750143,1,1.450156475,1.139980512,2,,,,,,0.0017,0.3697,20,26,722
AGRN,chr1:1044988-1045160,chr1:1044439-1045161,+,donor,FALSE,yes,no,469,FALSE,0.001,0.001,0.201,0.272,0.32,0.365,Early,Medium,,,,,,,,,,,,,,,,,,,,-13.23,-22.24,0.0016,0.3972,24,26,722
AKAP13,chr15:85496974-85521428,chr15:85485753-85521428,+,donor,FALSE,no,yes,29,FALSE,0.024,0.024,0.024,0.024,0.186,0.225,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,0.141900001,0.980499995,0,,35675
AKT3,chr1:243523467-243545510,chr1:243512426-243545510,-,acceptor,FALSE,yes,no,30,FALSE,0.001,0.001,0.001,0.001,0.001,0.161,Late,Bottom,,,,,,,,,,,,,,,,,,,,11.26,10.57,0.0068,0.998500001,0,,33084
AKT3,chr1:243512426-243523309,chr1:243512426-243545510,-,donor,FALSE,yes,yes,30,FALSE,0.001,0.001,0.001,0.001,0.001,0.209,Late,Bottom,,,,,,,,,,,8.061210364,-3.331363489,2,-1.398180858,-5.067589323,1,,,,6.64,12.04,0.0028,0.985400003,60,2,33084
ALX1,chr12:85286981-85295668,chr12:85286981-85301155,+,acceptor,FALSE,yes,yes,31,FALSE,0.011,0.011,0.314,0.466,0.547,0.748,Early,Top,,,,,,,,,,,-6.487152823,-7.254260454,1,1.371761082,4.448722231,4,,,,,,0.0075,0.998500007,20,70,14174
AMZ2P1,chr17:64974641-64975560,chr17:64974641-64975560,-,exon_skip,TRUE,yes,yes,32,FALSE,0.007,0.007,0.415,0.415,0.415,0.556,Early,Top,,,,,,,,,,,-6.542242291,-7.415644774,1,1.647452068,3.849643794,4,,,,,,,,,,919
ANK2,chr4:113149205-113151080,chr4:113049812-113151080,+,donor,TRUE,yes,yes,33,FALSE,,,,,,,,,0.007,0.007,0.036,0.265,0.265,0.265,0.265,0.354,Early,Medium,-0.455971904,9.37104714,9,,,,0.259078753,-0.126606664,4,,,0.045400001,0.0168,20,74,101268
ANKRD36B,chr2:97549614-97551289,chr2:97549614-97551289,-,exon_skip,TRUE,no,yes,34,FALSE,,,,,,,,,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.897,Late,Medium,,,,,,,,,,,,,,,,1675
ANKRD36C,chr2:95908697-95910373,chr2:95904952-95910372,-,acceptor,TRUE,no,yes,36,FALSE,,,,,,,,,0.639,0.639,0.937,0.937,0.937,0.99,0.99,0.99,Early,Medium,,,,,,,,,,,,0.189900003,0.0104,0,,5420
ANKRD9,chr14:102508549-102508641,chr14:102508549-102509529,-,donor,TRUE,no,yes,37,FALSE,0.446,0.446,0.446,0.636,0.65,0.761,Intermediate,Medium,,,,,,,,,,,,,,,,,,,,,,0.163399997,0.0098,0,,980
AP1G1,chr16:71808150-71808505,chr16:71789482-71808505,-,acceptor,TRUE,no,yes,38,FALSE,,,,,,,,,0.192,0.192,0.192,0.477,0.477,0.477,0.477,0.7,Early,Top,,,,,,,,,,,,0.0174,0.0008,20,54,19023
AP1G2,chr14:23567319-23567597,chr14:23567319-23567597,-,donor,TRUE,yes,yes,39,FALSE,0.003,0.003,0.003,0.165,0.161,0.378,Intermediate,Medium,,,,,,,,,,,4.837445776,-4.390297648,2,-0.204909608,-1.051341497,5,,,,,,0.025,0.970899999,0,,278
ARHGAP22,chr10:48451628-48453300,chr10:48451140-48453303,-,acceptor,FALSE,yes,yes,40,FALSE,,,,,,,,,0.023,0.023,0.023,0.131,0.159,0.172,0.15,0.204,Intermediate,Bottom,0.293931563,9.582939517,9,,,,1.555403555,-1.844000902,3,,,0.120899999,0.952700007,24,2,2163
ARHGAP22,chr10:48583510-48604763,chr10:48583152-48604763,-,acceptor,FALSE,no,yes,41,FALSE,,,,,,,,,0.048,0.118,0.384,0.501,0.501,0.501,0.501,0.501,Early,Top,-1.576694139,9.034939314,9,,,,-0.225662801,1.711040902,4,1.63,9.65,0.0088,0.998100019,0,,21611
ARHGAP22,chr10:48583152-48583378,chr10:48583152-48604763,-,donor,FALSE,yes,yes,41,FALSE,,,,,,,,,0.041,0.328,0.725,0.869,0.953,0.918,0.895,0.974,Early,Top,-2.241001124,9.204942669,9,,,,-1.254423433,5.728287842,1,8.07,8.78,0.0048,0.990700001,0,,21611
ARHGAP22,chr10:48555550-48604763,chr10:48583152-48604763,-,donor,TRUE,no,no,41,FALSE,,,,,,,,,0.094,0.375,0.692,0.692,0.711,0.702,0.683,0.683,Early,Top,,,,,,,,,,,,0.998100019,0.999800003,0,,21611
ARHGAP26,chr5:143214088-143216187,chr5:143214088-143222358,+,acceptor,TRUE,yes,yes,42,TRUE,,,,,,,,,0.015,0.015,0.015,0.157,0.173,0.183,0.162,0.174,Intermediate,Bottom,0.32116623,9.603437757,9,,,,1.509244721,-1.78286644,3,,,0.0143,0.9991,0,,8270
ARHGAP32,chr11:128992046-128998319,chr11:128988125-128998319,-,acceptor,FALSE,yes,yes,43,TRUE,0.015,0.267,0.75,0.75,0.765,0.857,Early,Top,0.032,0.284,0.617,0.775,0.857,0.899,0.863,0.863,Early,Top,-4.973170287,2.37934582,3,0.881407349,7.02755281,3,-1.366616418,5.563397722,1,,,0.013,0.999800003,0,,10194
ARL15,chr5:54171928-54242070,chr5:54171928-54310432,-,donor,FALSE,yes,no,44,FALSE,,,,,,,,,0.005,0.016,0.005,0.005,0.005,0.005,0.354,0.415,Late,Medium,,,,,,,,,,11.08,9.36,0.0056,0.996500003,40,34,138504
ASAP2,chr2:9335179-9336036,chr2:9335179-9344532,+,acceptor,TRUE,no,yes,45,FALSE,0.373,0.373,0.373,0.373,0.373,0.637,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,1,0,,9353
ASAP2,chr2:9336044-9344532,chr2:9335179-9344532,+,donor,TRUE,no,no,45,FALSE,0.41,0.41,0.41,0.41,0.41,0.658,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,1,0.98919999,0,,9353
ASIC4,chr2:219532939-219535171,chr2:219532939-219535171,+,exon_skip,TRUE,no,yes,46,FALSE,,,,,,,,,0.224,0.224,0.224,0.224,0.469,0.512,0.512,0.547,Intermediate,Medium,,,,,,,,,,,,,,,,2232
ATG4B,chr2:241668685-241668875,chr2:241668685-241670726,+,acceptor,FALSE,yes,no,47,FALSE,0.001,0.001,0.068,0.102,0.14,0.227,Early,Bottom,,,,,,,,,Early,,,,,,,,,,,10.45,8.61,0.298599999,0.758799994,16,110,2041
ATG4B,chr2:241651335-241653307,chr2:241651335-241653512,+,acceptor,TRUE,no,no,48,FALSE,0.105,0.105,0.272,0.23,0.315,0.499,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.004,0.994800001,20,106,2177
ATG4B,chr2:241668985-241670726,chr2:241668685-241670726,+,donor,FALSE,yes,yes,47,FALSE,0.001,0.001,0.192,0.209,0.402,0.45,Early,Top,0.001,0.001,0.135,0.213,0.32,0.283,0.233,0.371,Early,Medium,-2.817424915,3.616516178,4,1.532940677,2.501451271,2,0.414144395,0.417495277,4,10.13,8.4,0.0049,0.992800009,16,2,2041
ATG4B,chr2:241653369-241653512,chr2:241651335-241653512,+,donor,TRUE,no,yes,48,FALSE,0.094,0.094,0.094,0.276,0.311,0.547,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.0032,0.988199997,20,86,2177
ATP2B2,chr3:10385327-10388277,chr3:10385327-10388277,-,exon_skip,TRUE,yes,yes,49,FALSE,,,,,,,,,0.016,0.016,0.016,0.259,0.307,0.307,0.273,0.267,Early,Bottom,-0.410971602,9.342817733,9,,,,0.190402804,0.09954018,4,,,,,,,2950
ATP9B,chr18:79277196-79303604,chr18:79277196-79303604,+,donor,TRUE,no,yes,51,FALSE,0.558,0.558,0.735,0.747,0.796,0.988,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.995400006,0.913700002,0,,26408
AUTS2,chr7:70766355-70768024,chr7:70766355-70768023,+,acceptor,TRUE,no,yes,53,FALSE,0.729,0.729,0.877,0.877,0.877,0.981,Intermediate,Bottom,,,,,,,,,,,,,,,,,,,,,,1,1,0,,1668
AUTS2,chr7:70435781-70698569,chr7:70695045-70698569,+,donor,TRUE,no,yes,52,FALSE,0.191,0.191,0.191,0.191,0.191,0.46,Late,Bottom,,,,,,,,,,,,,,,,,,,,,,0.999600005,0.913199991,0,,3524
BACH1,chr21:29194260-29218861,chr21:29194260-29287984,+,acceptor,TRUE,no,yes,54,FALSE,,,,,,,,,0.22,0.22,0.22,0.51,0.523,0.538,0.499,0.685,Early,Top,,,,,,,,,,,,0.0049,0.107199999,24,50,93724
BCL2L13,chr22:17702386-17722274,chr22:17702386-17726677,+,acceptor,FALSE,yes,yes,56,FALSE,0.013,0.013,0.013,0.013,0.013,0.185,Late,Bottom,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.211,Late,Bottom,1.576757626,1.794099987,5,-1.410132415,-5.431678019,1,3.702904795,-5.153628807,5,,,0.106400002,0.997100008,48,102,24291
BCL9L,chr11:118910015-118918826,chr11:118908655-118918826,-,acceptor,TRUE,no,yes,57,FALSE,0.328,0.328,0.58,0.593,0.634,0.977,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.9958,0.934799999,28,122,10171
BICC1,chr10:58798560-58800194,chr10:58798560-58800194,+,exon_skip,FALSE,yes,yes,58,FALSE,0.002,0.002,0.188,0.397,0.383,0.383,Early,Top,0.002,0.002,0.002,0.002,0.3,0.256,0.338,0.337,Intermediate,Medium,-2.423390996,3.791209672,4,1.861661719,2.398743674,2,-1.519608683,-1.193362022,2,,,,,,,1634
BPTF,chr17:67875020-67886128,chr17:67875020-67886128,+,exon_skip,TRUE,no,yes,60,FALSE,,,,,,,,,0.571,0.571,0.571,0.688,0.678,0.759,0.797,0.846,Intermediate,Bottom,,,,,,,,,,,,,,,,11108
BRD2,chr6:32974765-32975021,chr6:32974765-32975384,+,acceptor,TRUE,no,no,61,FALSE,,,,,,,Late,,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.376,Late,Bottom,,,,,,,,,,,,0.970700008,0.998199999,0,,619
BRD2,chr6:32975112-32975384,chr6:32974765-32975384,+,donor,TRUE,no,yes,61,FALSE,0.143,0.143,0.143,0.143,0.143,0.347,Late,Bottom,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.424,Late,Bottom,,,,,,,,,,,,0.999900001,0.9972,0,,619
BRD8,chr5:138159599-138160069,chr5:138157267-138160069,-,acceptor,TRUE,no,yes,62,FALSE,0.566,0.566,0.851,0.807,0.858,0.942,Early,Medium,0.694,0.694,0.912,0.912,0.919,0.898,0.898,0.937,Early,Bottom,,,,,,,,,,,,1,0.999600005,28,6,2802
BRD8,chr5:138157267-138159555,chr5:138157267-138159555,-,exon_skip,TRUE,no,no,62,FALSE,0.551,0.551,0.817,0.833,0.815,0.868,Early,Medium,0.677,0.677,0.677,0.677,0.893,0.893,0.893,0.912,Early,Bottom,,,,,,,,,,,,,,,,2288
C15orf39,chr15:75208876-75210749,chr15:75208824-75210749,+,donor,TRUE,no,yes,63,FALSE,0.543,0.543,0.957,0.957,0.911,0.96,Early,Top,0.567,0.567,0.872,0.851,0.929,0.949,0.949,0.995,Early,Top,,,,,,,,,,,,0.256899999,0.9352,28,2,1925
C1orf53,chr1:197903119-197905796,chr1:197902913-197905796,+,donor,FALSE,no,yes,64,FALSE,0.163,0.163,0.342,0.372,0.423,0.604,Early,Top,,,,,,,,,,,,,,,,,,,,,,0.0052,0.998200005,28,78,2883
C4orf36,chr4:86890158-86891456,chr4:86888275-86891456,-,acceptor,TRUE,yes,no,65,FALSE,,,,,,,,,0.008,0.376,0.376,0.376,0.376,0.376,0.376,0.376,Early,Medium,,,,,,,,,,12.49,7.65,0.0183,0.986099994,16,22,3181
C4orf36,chr4:86888275-86890048,chr4:86888275-86891456,-,donor,TRUE,yes,yes,65,FALSE,,,,,,,,,0.05,0.355,0.355,0.355,0.393,0.393,0.425,0.425,Early,Medium,-0.896862237,9.005088893,9,,,,0.309409816,1.204943981,4,10.9,6.74,0.110700001,0.988999999,0,,3181
C5orf63,chr5:127051947-127052613,chr5:127047915-127052613,-,acceptor,TRUE,no,yes,66,FALSE,0.216,0.216,0.216,0.216,0.216,0.689,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.997600007,0.907799989,0,,4698
C6orf52,chr6:10683232-10684849,chr6:10683232-10686966,-,donor,TRUE,no,yes,67,FALSE,0.091,0.091,0.091,0.091,0.091,0.482,Late,Top,,,,,,,,,,,,,,,,,,,,,,0.0063,0.165800001,16,106,3734
CACNA1B,chr9:138059737-138069758,chr9:138059737-138073488,+,acceptor,TRUE,no,no,68,FALSE,,,,,,,,,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.653,Late,Medium,,,,,,,,,,,,1,1,16,110,13751
CACNA1B,chr9:138069763-138073488,chr9:138059737-138073488,+,donor,TRUE,no,yes,68,FALSE,,,,,,,,,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.705,Late,Medium,,,,,,,,,,,,0.999400002,0.998300004,0,,13751
CACNA2D1,chr7:81983334-81984635,chr7:81982627-81984635,-,acceptor,TRUE,no,no,69,FALSE,0.496,0.496,0.496,0.496,0.496,0.808,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.997200006,1,0,,2008
CACNA2D1,chr7:81982627-81983314,chr7:81982627-81984635,-,donor,TRUE,no,yes,69,FALSE,0.471,0.471,0.471,0.471,0.471,0.801,Late,Medium,,,,,,,,,,,,,,,,,,,,,,0.997600001,0.991700011,0,,2008
CACNA2D2,chr3:50373085-50374737,chr3:50370380-50374737,-,acceptor,TRUE,no,no,70,FALSE,0.212,0.212,0.212,0.212,0.324,0.545,Intermediate,Medium,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.393,Late,Bottom,,,,,,,,,,,,0.988599998,1,16,38,4357
CACNA2D2,chr3:50370380-50373065,chr3:50370380-50374737,-,donor,TRUE,no,yes,70,FALSE,0.237,0.237,0.237,0.237,0.356,0.577,Intermediate,Medium,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.38,Late,Bottom,,,,,,,,,,,,0.956799996,1,16,58,4357
CADM2,chr3:85961647-85979164,chr3:85961647-86065605,+,acceptor,TRUE,no,no,71,FALSE,,,,,,,,,0.375,0.375,0.733,0.829,0.824,0.84,0.851,0.894,Early,Top,,,,,,,,,,,,0.999900001,0.99230001,0,,103958
CADM2,chr3:85979283-86065605,chr3:85961647-86065605,+,donor,TRUE,no,yes,71,FALSE,,,,,,,,,0.259,0.259,0.646,0.762,0.76,0.779,0.786,0.843,Early,Top,,,,,,,,,,,,0.939999992,0.984000009,0,,103958
CAMK2B,chr7:44220901-44222117,chr7:44220901-44231006,-,donor,FALSE,yes,yes,72,FALSE,,,,,,,,,0.002,0.002,0.002,0.002,0.355,0.334,0.403,0.391,Intermediate,Medium,-0.84186801,9.59307128,9,,,,-1.958591726,-1.132272146,2,,,0.1513,0.988100004,36,10,10105
CAMKK2,chr12:121240869-121244573,chr12:121240869-121245140,-,donor,TRUE,yes,yes,73,FALSE,0.039,0.039,0.039,0.194,0.17,0.268,Intermediate,Bottom,,,,,,,,,,,0.657830763,-5.542760056,8,0.666885502,-1.0547298,5,,,,,,0.986000001,0.999900001,0,,4271
CARD8,chr19:48241063-48246075,chr19:48241063-48249523,-,donor,TRUE,yes,yes,74,FALSE,,,,,,,,,0.012,0.012,0.012,0.064,0.064,0.166,0.166,0.228,Late,Bottom,0.786891824,3.064243654,5,,,,2.070442139,-2.896513741,3,,,0.064900001,0.005,0,,8460
