paste_into_igv_junction,color_gene_name,Control_Control,Cycloheximide_Control,Control_TDP43KD,Cycloheximide_TDP43KD,normal_cryptic_chx,chx_cryptic,chx_effect,gene_name,gene_id,ensgene
chr13:112875941-112881876,non-NMD rescued,0.0062,0.0272,0.0949,0.186,FALSE,TRUE,Dark cryptic,ATP11A,ENSG00000068650.19,ENSG00000068650
chr14:56617882-56618594,NMD rescued,0.0256,0.0114,0.0071,0.1369,FALSE,TRUE,Dark cryptic,TMEM260,ENSG00000070269.14,ENSG00000070269
chr9:105299309-105335563,non-NMD rescued,0.0215,0.0051,0.0335,0.1036,FALSE,TRUE,Dark cryptic,SLC44A1,ENSG00000070214.16,ENSG00000070214
chr17:2292977-2298906,NMD rescued,0.0104,0.0382,0.0166,0.22,FALSE,TRUE,Dark cryptic,SMG6,ENSG00000070366.14,ENSG00000070366
chr5:150521767-150527495,non-NMD rescued,0.0084,0.0234,0.0179,0.1015,FALSE,TRUE,Dark cryptic,NDST1,ENSG00000070614.15,ENSG00000070614
chr14:76774716-76775891,NMD rescued,0.0381,0.0234,0.0024,0.1515,FALSE,TRUE,Dark cryptic,VASH1,ENSG00000071246.11,ENSG00000071246
chr19:14176669-14177531,non-NMD rescued,0.0054,0.0013,0.1788,0.1177,TRUE,TRUE,non-NMD rescued,ADGRL1,ENSG00000072071.16,ENSG00000072071
chr4:5842976-5843092,non-NMD rescued,0.0054,0.0103,0.0661,0.1441,FALSE,TRUE,Dark cryptic,CRMP1,ENSG00000072832.15,ENSG00000072832
chr4:5841428-5842694,non-NMD rescued,2e-04,1e-04,0.0254,0.116,FALSE,TRUE,Dark cryptic,CRMP1,ENSG00000072832.15,ENSG00000072832
chr4:5841526-5842693,non-NMD rescued,0.0054,0.0103,0.0638,0.1184,FALSE,TRUE,Dark cryptic,CRMP1,ENSG00000072832.15,ENSG00000072832
chr5:176592187-176592333,NMD rescued,0.0029,0.002,5e-04,0.1168,FALSE,TRUE,Dark cryptic,CDHR2,ENSG00000074276.10,ENSG00000074276
chr5:176592187-176592268,NMD rescued,0.0044,0.003,6e-04,0.1191,FALSE,TRUE,Dark cryptic,CDHR2,ENSG00000074276.10,ENSG00000074276
chr5:176592478-176592544,NMD rescued,0.0012,0.0012,2e-04,0.148,FALSE,TRUE,Dark cryptic,CDHR2,ENSG00000074276.10,ENSG00000074276
chr20:63439708-63444659,non-NMD rescued,0.0015,0.0027,0.2355,0.2146,TRUE,TRUE,non-NMD rescued,KCNQ2,ENSG00000075043.20,ENSG00000075043
chr1:21050994-21176722,non-NMD rescued,0.0365,0.0326,0.1204,0.109,TRUE,TRUE,non-NMD rescued,EIF4G3,ENSG00000075151.23,ENSG00000075151
chr7:107613732-107616261,non-NMD rescued,0.0202,0.0463,0.019,0.1086,FALSE,TRUE,Dark cryptic,BCAP29,ENSG00000075790.12,ENSG00000075790
chr12:56589014-56589140,non-NMD rescued,0.0182,0.0249,0.0336,0.1295,FALSE,TRUE,Dark cryptic,RBMS2,ENSG00000076067.13,ENSG00000076067
chr7:100650663-100655019,NMD rescued,0.0011,3e-04,0.0086,0.1149,FALSE,TRUE,Dark cryptic,ACTL6B,ENSG00000077080.10,ENSG00000077080
chr7:100650643-100655019,non-NMD rescued,0.0011,3e-04,0.924,0.7954,TRUE,TRUE,non-NMD rescued,ACTL6B,ENSG00000077080.10,ENSG00000077080
chr7:100650135-100650575,non-NMD rescued,0.001,3e-04,0.9509,0.9275,TRUE,TRUE,PSI > 95% at baseline,ACTL6B,ENSG00000077080.10,ENSG00000077080
chr2:209697051-209697226,NMD rescued,0.0025,0.0069,5e-04,0.1336,FALSE,TRUE,Dark cryptic,MAP2,ENSG00000078018.21,ENSG00000078018
chr1:21598820-21599494,non-NMD rescued,0.0077,0.0047,0.6158,0.6151,TRUE,TRUE,non-NMD rescued,RAP1GAP,ENSG00000076864.20,ENSG00000076864
chr2:233462735-233463848,NMD rescued,0.0132,0.0416,0.0245,0.1394,FALSE,TRUE,Dark cryptic,DGKD,ENSG00000077044.11,ENSG00000077044
chr7:31085442-31086273,NMD rescued,0.0081,0.0146,0.0014,0.134,FALSE,TRUE,Dark cryptic,ADCYAP1R1,ENSG00000078549.15,ENSG00000078549
chrX:47564157-47564797,non-NMD rescued,0.0107,0.0307,0.0276,0.1012,FALSE,TRUE,Dark cryptic,ARAF,ENSG00000078061.14,ENSG00000078061
chr20:33490301-33524600,non-NMD rescued,0.0075,0.049,0.092,0.1428,FALSE,TRUE,Dark cryptic,CBFA2T2,ENSG00000078699.22,ENSG00000078699
chr20:46358958-46364015,non-NMD rescued,0.0078,0.0366,0.1663,0.2592,TRUE,TRUE,NMD rescued,SLC35C2,ENSG00000080189.15,ENSG00000080189
chr3:96866889-96948656,NMD rescued,0.0394,0.0355,0.0546,0.2313,FALSE,TRUE,Dark cryptic,EPHA6,ENSG00000080224.17,ENSG00000080224
chr9:3277461-3293077,NMD rescued,0.0128,0.0401,0.0127,0.1188,FALSE,TRUE,Dark cryptic,RFX3,ENSG00000080298.16,ENSG00000080298
chr5:141934586-141936854,non-NMD rescued,0.011,0.0339,0.0747,0.1187,FALSE,TRUE,non-NMD rescued,DELE1,ENSG00000081791.9,ENSG00000081791
chr5:141936878-141937198,non-NMD rescued,0.0029,0.0296,0.0571,0.1218,FALSE,TRUE,Dark cryptic,DELE1,ENSG00000081791.9,ENSG00000081791
chr2:164678883-164692221,NMD rescued,0.0208,0.0438,0.0642,0.2551,FALSE,TRUE,Dark cryptic,COBLL1,ENSG00000082438.18,ENSG00000082438
chr2:164699499-164704444,NMD rescued,0.017,0.0152,0.0218,0.1563,FALSE,TRUE,Dark cryptic,COBLL1,ENSG00000082438.18,ENSG00000082438
chr1:211365468-211366391,NMD rescued,0.003,0.044,0.0105,0.1965,FALSE,TRUE,Dark cryptic,TRAF5,ENSG00000082512.15,ENSG00000082512
chr12:108823361-108857428,non-NMD rescued,0.0217,0.035,0.0366,0.1154,FALSE,TRUE,Dark cryptic,SSH1,ENSG00000084112.15,ENSG00000084112
chr2:25131907-25132903,NMD rescued,0.0099,0.0189,0.0035,0.1053,FALSE,TRUE,Dark cryptic,EFR3B,ENSG00000084710.14,ENSG00000084710
chr8:38260147-38270820,NMD rescued,0.0028,0.014,5e-04,0.1299,FALSE,TRUE,Dark cryptic,DDHD2,ENSG00000085788.14,ENSG00000085788
chr5:176980390-176982469,NMD rescued,0.0036,0.0468,0.0425,0.1942,FALSE,TRUE,Dark cryptic,UIMC1,ENSG00000087206.17,ENSG00000087206
chr1:23441845-23442186,NMD rescued,0.0106,0.0101,0.0028,0.1146,FALSE,TRUE,Dark cryptic,ASAP3,ENSG00000088280.19,ENSG00000088280
chr13:98826887-98829643,NMD rescued,0.0385,0.0326,0.0045,0.16,FALSE,TRUE,Dark cryptic,DOCK9,ENSG00000088387.20,ENSG00000088387
chr20:3344699-3348525,NMD rescued,0.0139,0.0012,0.0547,0.382,FALSE,TRUE,Dark cryptic,C20orf194,ENSG00000088854.13,ENSG00000088854
chr20:3343731-3344641,NMD rescued,0.0139,0.0012,0.0446,0.3032,FALSE,TRUE,Dark cryptic,C20orf194,ENSG00000088854.13,ENSG00000088854
chr20:21136552-21138955,non-NMD rescued,0.0498,0.0219,0.1124,0.105,TRUE,TRUE,non-NMD rescued,KIZ,ENSG00000088970.16,ENSG00000088970
chr12:121444280-121444449,non-NMD rescued,0.0081,0.0158,0.0653,0.1365,FALSE,TRUE,Dark cryptic,KDM2B,ENSG00000089094.19,ENSG00000089094
chr20:5912706-5914618,NMD rescued,0.0086,0.004,0.0619,0.4687,FALSE,TRUE,Dark cryptic,CHGB,ENSG00000089199.10,ENSG00000089199
chr20:5911682-5912563,NMD rescued,0.0086,0.0042,0.3634,0.6184,TRUE,TRUE,NMD rescued,CHGB,ENSG00000089199.10,ENSG00000089199
chr12:120162989-120163070,non-NMD rescued,0.042,0.0464,0.0483,0.1011,FALSE,TRUE,Dark cryptic,GCN1,ENSG00000089154.11,ENSG00000089154
chr19:35000486-35001098,non-NMD rescued,0.0155,0.0063,0.2641,0.1369,TRUE,TRUE,non-NMD rescued,GRAMD1A,ENSG00000089351.15,ENSG00000089351
chr16:70272882-70276486,non-NMD rescued,0.0014,6e-04,0.2293,0.2332,TRUE,TRUE,non-NMD rescued,AARS1,ENSG00000090861.17,ENSG00000090861
chr16:70271972-70272796,non-NMD rescued,0.0014,6e-04,0.2877,0.321,TRUE,TRUE,non-NMD rescued,AARS1,ENSG00000090861.17,ENSG00000090861
chr7:108184686-108189645,NMD rescued,0.0015,0.0431,0.0113,0.2068,FALSE,TRUE,Dark cryptic,NRCAM,ENSG00000091129.21,ENSG00000091129
chr4:55892711-55896717,non-NMD rescued,0.0052,0.0391,0.0217,0.1021,FALSE,TRUE,Dark cryptic,EXOC1,ENSG00000090989.18,ENSG00000090989
chr14:31163255-31168298,non-NMD rescued,0.0089,0.0011,0.1158,0.1439,TRUE,TRUE,non-NMD rescued,HECTD1,ENSG00000092148.13,ENSG00000092148
chr9:128952846-128956141,non-NMD rescued,0.0044,5e-04,0.9683,0.9726,TRUE,TRUE,PSI > 95% at baseline,NUP188,ENSG00000095319.14,ENSG00000095319
chr9:128952846-128956141,non-NMD rescued,0.0044,5e-04,0.9683,0.9726,TRUE,TRUE,PSI > 95% at baseline,RP11-101E3.5,ENSG00000251184.1,ENSG00000251184
chr9:128985014-128987589,NMD rescued,0.0023,0.003,0.0082,0.1422,FALSE,TRUE,Dark cryptic,NUP188,ENSG00000095319.14,ENSG00000095319
chr9:128956174-128956350,non-NMD rescued,0.0029,4e-04,0.8541,0.9537,TRUE,TRUE,NMD rescued,NUP188,ENSG00000095319.14,ENSG00000095319
chr9:128956174-128956350,non-NMD rescued,0.0029,4e-04,0.8541,0.9537,TRUE,TRUE,NMD rescued,RP11-101E3.5,ENSG00000251184.1,ENSG00000251184
chr1:172570730-172571426,NMD rescued,0.0227,0.033,0.0233,0.1975,FALSE,TRUE,Dark cryptic,SUCO,ENSG00000094975.14,ENSG00000094975
chr9:27054574-27055609,non-NMD rescued,0.0249,0.0265,0.0362,0.1002,FALSE,TRUE,Dark cryptic,IFT74,ENSG00000096872.17,ENSG00000096872
chr16:1784066-1785727,NMD rescued,0.0106,0.033,0.0089,0.1656,FALSE,TRUE,Dark cryptic,NUBP2,ENSG00000095906.17,ENSG00000095906
chr10:69451690-69495594,non-NMD rescued,0.0471,0.048,0.1274,0.1333,TRUE,TRUE,non-NMD rescued,TSPAN15,ENSG00000099282.10,ENSG00000099282
chr19:734194-746285,non-NMD rescued,0.0332,0.0162,0.0861,0.1502,FALSE,TRUE,Dark cryptic,PALM,ENSG00000099864.18,ENSG00000099864
chr22:17702386-17722274,NMD rescued,0.0037,0.0036,0.1777,0.2871,TRUE,TRUE,NMD rescued,BCL2L13,ENSG00000099968.18,ENSG00000099968
chr22:17722390-17726691,non-NMD rescued,0.0019,0.0024,0.1786,0.1575,TRUE,TRUE,non-NMD rescued,BCL2L13,ENSG00000099968.18,ENSG00000099968
chr22:23971623-23974307,non-NMD rescued,0.0488,0.0439,0.0478,0.111,FALSE,TRUE,Dark cryptic,DDT,ENSG00000099977.15,ENSG00000099977
chr22:23971623-23974307,non-NMD rescued,0.0488,0.0439,0.0478,0.111,FALSE,TRUE,Dark cryptic,CH17-476P10.1,ENSG00000285762.1,ENSG00000285762
chr22:29801110-29804638,NMD rescued,0.0144,0.0432,0.0221,0.1224,FALSE,TRUE,Dark cryptic,ASCC2,ENSG00000100325.15,ENSG00000100325
chr22:29801110-29804638,non-NMD rescued,0.0098,0.0342,0.0232,0.1076,FALSE,TRUE,Dark cryptic,ASCC2,ENSG00000100325.15,ENSG00000100325
chr22:29366924-29367207,NMD rescued,0.0022,0.0062,0.068,0.1934,FALSE,TRUE,Dark cryptic,AP1B1,ENSG00000100280.17,ENSG00000100280
chr22:29363106-29366144,NMD rescued,0.0015,0.0058,0.0488,0.1632,FALSE,TRUE,Dark cryptic,AP1B1,ENSG00000100280.17,ENSG00000100280
chr22:43176396-43179841,NMD rescued,0.0055,0.0382,0.0012,0.118,FALSE,TRUE,Dark cryptic,TTLL12,ENSG00000100304.13,ENSG00000100304
chr22:29988927-29991504,NMD rescued,0.0222,0.0011,0.0698,0.2871,FALSE,TRUE,Dark cryptic,MTMR3,ENSG00000100330.16,ENSG00000100330
chr14:21421223-21426128,non-NMD rescued,0.0025,0.0233,0.0081,0.106,FALSE,TRUE,Dark cryptic,CHD8,ENSG00000100888.15,ENSG00000100888
chr20:57374801-57376179,non-NMD rescued,0.0272,0.0472,0.0899,0.1223,FALSE,TRUE,non-NMD rescued,RAE1,ENSG00000101146.13,ENSG00000101146
chr20:62852722-62854016,non-NMD rescued,0.0417,0.0054,0.1623,0.1209,TRUE,TRUE,non-NMD rescued,TCFL5,ENSG00000101190.13,ENSG00000101190
chr20:38037534-38040435,NMD rescued,0.0473,0.0341,0.0238,0.124,FALSE,TRUE,Dark cryptic,RPRD1B,ENSG00000101413.12,ENSG00000101413
chr18:80037506-80038471,NMD rescued,0.0041,0.0457,8e-04,0.1212,FALSE,TRUE,Dark cryptic,RBFA,ENSG00000101546.13,ENSG00000101546
chr18:37283711-37321833,NMD rescued,0.002,4e-04,0.0125,0.139,FALSE,TRUE,Dark cryptic,CELF4,ENSG00000101489.20,ENSG00000101489
chr18:37259264-37266533,non-NMD rescued,0.0145,0.0234,0.147,0.1198,TRUE,TRUE,non-NMD rescued,CELF4,ENSG00000101489.20,ENSG00000101489
chr18:80132377-80133103,NMD rescued,0.0142,0.0389,0.0359,0.1686,FALSE,TRUE,Dark cryptic,ADNP2,ENSG00000101544.9,ENSG00000101544
chr18:2956200-2960649,non-NMD rescued,0.026,0.0359,0.0243,0.1029,FALSE,TRUE,Dark cryptic,LPIN2,ENSG00000101577.10,ENSG00000101577
chrX:9689246-9691579,NMD rescued,0.0107,0.0069,0.0863,0.2345,FALSE,TRUE,Dark cryptic,TBL1X,ENSG00000101849.18,ENSG00000101849
chrX:111743884-111744668,NMD rescued,0.0193,0.0248,0.0227,0.1501,FALSE,TRUE,Dark cryptic,ALG13,ENSG00000101901.12,ENSG00000101901
chrX:153740237-153740305,non-NMD rescued,0.0064,0.0065,0.1319,0.2059,TRUE,TRUE,NMD rescued,ABCD1,ENSG00000101986.12,ENSG00000101986
chrX:153736911-153737157,non-NMD rescued,0.0079,0.0272,0.0786,0.1291,FALSE,TRUE,Dark cryptic,ABCD1,ENSG00000101986.12,ENSG00000101986
chrX:153740439-153740574,non-NMD rescued,0.0064,0.0065,0.1269,0.1491,TRUE,TRUE,non-NMD rescued,ABCD1,ENSG00000101986.12,ENSG00000101986
chrX:48511935-48514127,non-NMD rescued,0.0064,0.009,0.0731,0.1435,FALSE,TRUE,Dark cryptic,PORCN,ENSG00000102312.24,ENSG00000102312
chrX:48511935-48514127,NMD rescued,0.0057,0.0082,0.1008,0.2102,TRUE,TRUE,Dark cryptic,PORCN,ENSG00000102312.24,ENSG00000102312
chr13:42048965-42065462,NMD rescued,0.0239,0.0268,0.0043,0.109,FALSE,TRUE,Dark cryptic,DGKH,ENSG00000102780.17,ENSG00000102780
chr13:41727313-41732080,NMD rescued,0.02,0.0286,0.0121,0.1563,FALSE,TRUE,Dark cryptic,VWA8,ENSG00000102763.18,ENSG00000102763
chr16:49638874-49640443,non-NMD rescued,0.0015,5e-04,0.178,0.1183,TRUE,TRUE,non-NMD rescued,ZNF423,ENSG00000102935.12,ENSG00000102935
chr16:308625-309973,non-NMD rescued,0.0048,0.0332,0.0433,0.1225,FALSE,TRUE,Dark cryptic,AXIN1,ENSG00000103126.15,ENSG00000103126
chr16:84123200-84129548,NMD rescued,0.0115,0.0049,0.1167,0.4157,TRUE,TRUE,NMD rescued,HSDL1,ENSG00000103160.12,ENSG00000103160
chr16:84733503-84735056,non-NMD rescued,0.0168,0.0207,0.1428,0.1959,TRUE,TRUE,NMD rescued,USP10,ENSG00000103194.16,ENSG00000103194
chr16:84735173-84740309,non-NMD rescued,0.0219,0.0076,0.1866,0.2278,TRUE,TRUE,non-NMD rescued,USP10,ENSG00000103194.16,ENSG00000103194
chr16:16033170-16033289,non-NMD rescued,0.0041,0.0013,0.0342,0.1012,FALSE,TRUE,Dark cryptic,ABCC1,ENSG00000103222.20,ENSG00000103222
chr16:16033481-16036472,non-NMD rescued,0.0041,0.0013,0.0376,0.1149,FALSE,TRUE,Dark cryptic,ABCC1,ENSG00000103222.20,ENSG00000103222
chr16:733159-733466,non-NMD rescued,0.0455,0.0358,0.0173,0.1161,FALSE,TRUE,Dark cryptic,CIAO3,ENSG00000103245.14,ENSG00000103245
chr16:4367442-4387986,NMD rescued,0.0143,0.0334,0.188,0.4691,TRUE,TRUE,NMD rescued,CORO7-PAM16,ENSG00000103426.12,ENSG00000103426
chr16:4367442-4387986,NMD rescued,0.0143,0.0334,0.188,0.4691,TRUE,TRUE,NMD rescued,CORO7,ENSG00000262246.6,ENSG00000262246
