dox0_sh,paste_into_igv_junction,dox0125,dox0187,dox021,dox025,dox075,timing_shsy5y,max_psi_sh,dox0_be2,dox002,dox003,dox004,dox005,dox0075,dox01,dox1,timing_be2,max_psi_be2,junction_for_clustering,gene,strand,junction_cat,cryptic,ID_exon,UMAP_1_together,UMAP_2_together,cluster_together,UMAP_1_sh,UMAP_2_sh,cluster_sh,UMAP_1_be2,UMAP_2_be2,cluster_be2,last_exon
NA,chr12:111690553-111691059,NA,NA,NA,NA,NA,NA,NA,0.038,0.366,0.342,0.342,0.342,0.341,0.341,0.32,Early,Medium,yes,ACAD10,+,annotated,yes,7,-0.867285105,9.00698053,9,NA,NA,NA,0.346920289,1.179794409,4,FALSE
0.262,chr3:195320813-195325444,0.262,0.262,0.262,0.262,0.629,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ACAP2,-,donor,no,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:54599415-54600963,NA,NA,NA,NA,NA,NA,NA,0.05,0.6,0.984,0.984,0.955,0.958,0.985,0.956,Earli,Top,yes,ACOT11,+,novel_acceptor,yes,9,-2.220949584,9.181535405,9,NA,NA,NA,-1.48308175,5.771341135,1,FALSE
NA,chrX:23733217-23734341,NA,NA,NA,NA,NA,NA,NA,0.067,0.067,0.067,0.067,0.067,0.067,0.067,0.316,Late,Bottom,yes,ACOT9,-,annotated,no,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chrX:23734367-23735919,NA,NA,NA,NA,NA,NA,NA,0.055,0.055,0.055,0.055,0.055,0.055,0.055,0.286,Late,Bottom,no,ACOT9,-,annotated,no,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr17:50461885-50462184,0.003,0.209,0.184,0.5,0.944,Early,Top,0.009,0.009,0.009,0.009,0.271,0.545,0.545,0.841,Intermediate,Top,yes,ACSF2,+,novel_donor,yes,11,-2.310012699,3.443531312,4,1.101337595,5.248382923,4,-2.235268995,-0.435866961,2,FALSE
0.003,chr17:50461686-50461820,0.003,0.157,0.157,0.426,0.919,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,Intermediate,NA,no,ACSF2,+,acceptor,yes,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr7:100650135-100650575,0.001,0.274,0.439,0.675,0.973,Early,Top,0.02,0.02,0.02,0.584,0.73,0.895,0.933,0.935,Early,Top,yes,ACTL6B,-,novel_donor,yes,12,-4.244448591,2.251176312,3,1.055676124,5.635121514,4,-1.232977032,3.90547109,1,FALSE
0,chr7:100650643-100655019,0,0.236,0.382,0.538,0.96,Early,Top,0.01,0.01,0.01,0.574,0.7,0.868,0.908,0.904,Early,Top,no,ACTL6B,-,novel_acceptor,yes,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr19:38710342-38714469,NA,NA,NA,NA,NA,NA,NA,0.582,0.582,0.582,0.582,0.582,0.807,0.807,0.79,Late,Bottom,yes,ACTN4,+,skip,no,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr12:51960187-51975265,0.18,0.18,0.18,0.137,0.306,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ACVR1B,+,donor,yes,14,-2.46309271,-6.831085378,7,2.731619519,0.15860054,2,NA,NA,NA,FALSE
0.657,chr1:154601889-154601965,0.657,0.75,0.877,0.877,0.915,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADAR,-,donor,no,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr7:45622743-45625299,0.001,0.217,0.262,0.554,0.615,Early,Top,0.001,0.001,0.001,0.503,0.57,0.645,0.728,0.724,Early,Top,yes,ADCY1,+,novel_acceptor,yes,16,-3.508126618,2.751961721,3,1.026827386,4.170743913,4,-1.272943443,3.184715858,1,FALSE
0,chr7:45625377-45648670,0,0.188,0.161,0.26,0.445,Early,Top,0,0,0,0.222,0.239,0.295,0.308,0.338,Early,Medium,no,ADCY1,+,novel_donor,yes,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr7:45625430-45648670,NA,NA,NA,NA,NA,Early,NA,0,0,0,0.218,0.3,0.267,0.333,0.308,Early,Medium,no,ADCY1,+,novel_donor,yes,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.02,chr16:50246203-50246881,0.028,0.302,0.302,0.302,0.405,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,Earli,NA,yes,ADCY7,+,acceptor,yes,17,-6.863336215,-8.097569764,1,1.977087589,2.132403195,2,NA,NA,NA,FALSE
NA,chr16:50247109-50287912,NA,NA,NA,NA,NA,Early,NA,0.016,0.016,0.473,0.648,0.67,0.795,0.795,0.795,Earli,Top,no,ADCY7,+,novel_donor,no,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.469,chr7:31078098-31084141,0.469,0.716,0.816,0.816,0.857,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADCYAP1R1,+,skip,no,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.26,chr7:31100210-31103237,0.26,0.4,0.391,0.431,0.585,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADCYAP1R1,+,donor,no,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.522,chr1:31728081-31728182,0.522,0.522,0.522,0.522,0.791,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADGRB2,-,acceptor,no,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.479,chr1:31727605-31728025,0.479,0.479,0.479,0.479,0.725,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ADGRB2,-,donor,no,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.125,chr6:69076038-69233290,0.125,0.282,0.299,0.375,0.647,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADGRB3,+,donor,no,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.062,chr1:81942045-81942969,0.062,0.062,0.062,0.062,0.28,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADGRL2,+,donor,no,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.318,chr1:81953025-81955877,0.318,0.318,0.318,0.318,0.606,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ADGRL2,+,donor,no,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.341,chr1:81952142-81952987,0.341,0.341,0.341,0.341,0.615,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ADGRL2,+,acceptor,no,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr7:100555735-100556594,NA,NA,NA,NA,NA,NA,NA,0.03,0.03,0.03,0.373,0.373,0.373,0.373,0.373,Early,Medium,yes,AGFG2,+,annotated,yes,24,-1.000680223,9.26158922,9,NA,NA,NA,-0.280592789,0.775805848,4,FALSE
NA,chr6:161153499-161166248,NA,NA,NA,NA,NA,NA,NA,0.028,0.369,0.503,0.659,0.803,0.803,0.803,0.803,Earli,Top,yes,AGPAT4,-,novel_exon_skip,yes,25,-2.257066745,9.167720816,9,NA,NA,NA,-1.033700424,5.543001286,1,FALSE
0.001,chr1:1044440-1044887,0.001,0.191,0.26,0.31,0.391,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AGRN,+,acceptor,yes,26,-6.726908179,-8.466302074,1,1.695959384,1.986410604,2,NA,NA,NA,FALSE
0.001,chr1:1044987-1045161,0.001,0.159,0.21,0.233,0.4,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AGRN,+,donor,yes,27,-6.633501744,-8.570750143,1,1.450156475,1.139980512,2,NA,NA,NA,FALSE
0.001,chr1:1044439-1044892,0.001,0.161,0.208,0.189,0.33,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,AGRN,+,acceptor,yes,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr1:1044988-1045160,0.001,0.201,0.272,0.32,0.365,Early,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,AGRN,+,donor,yes,469,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr1:33010833-33013207,NA,NA,NA,NA,NA,NA,NA,0.463,0.463,0.463,0.463,0.463,0.719,0.676,0.716,Late,Bottom,yes,AK2,-,annotated,no,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.024,chr15:85496974-85521428,0.024,0.024,0.024,0.186,0.225,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AKAP13,+,donor,no,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr1:243512426-243523309,0.001,0.001,0.001,0.001,0.209,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AKT3,-,donor,yes,30,8.061210364,-3.331363489,2,-1.398180858,-5.067589323,1,NA,NA,NA,FALSE
0.001,chr1:243523467-243545510,0.001,0.001,0.001,0.001,0.161,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,AKT3,-,acceptor,yes,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.011,chr12:85286981-85295668,0.011,0.314,0.466,0.547,0.748,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ALX1,+,acceptor,yes,31,-6.487152823,-7.254260454,1,1.371761082,4.448722231,4,NA,NA,NA,FALSE
0.007,chr17:64974641-64975560,0.007,0.415,0.415,0.415,0.556,Earli,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AMZ2P1,-,skip,yes,32,-6.542242291,-7.415644774,1,1.647452068,3.849643794,4,NA,NA,NA,FALSE
NA,chr4:113149205-113151080,NA,NA,NA,NA,NA,NA,NA,0.007,0.007,0.036,0.265,0.265,0.265,0.265,0.354,Early,Medium,yes,ANK2,+,annotated,yes,33,-0.455971904,9.37104714,9,NA,NA,NA,0.259078753,-0.126606664,4,FALSE
NA,chr2:97549614-97551289,NA,NA,NA,NA,NA,NA,NA,0.542,0.542,0.542,0.542,0.542,0.542,0.542,0.897,Late,Medium,yes,ANKRD36B,-,skip,no,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:95901206-95902886,NA,NA,NA,NA,NA,NA,NA,0.031,0.031,0.031,0.311,0.349,0.343,0.343,0.323,Early,Medium,yes,ANKRD36C,-,annotated,yes,35,-0.74713211,9.239568231,9,NA,NA,NA,-0.086696663,0.561305896,4,FALSE
NA,chr2:95908697-95910373,NA,NA,NA,NA,NA,NA,NA,0.639,0.639,0.937,0.937,0.937,0.99,0.99,0.99,Early,Medium,yes,ANKRD36C,-,annotated,no,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.446,chr14:102508549-102508641,0.446,0.446,0.636,0.65,0.761,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ANKRD9,-,donor,no,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr16:71808150-71808505,NA,NA,NA,NA,NA,NA,NA,0.192,0.192,0.192,0.477,0.477,0.477,0.477,0.7,Early,Top,yes,AP1G1,-,annotated,no,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.003,chr14:23567319-23567597,0.003,0.003,0.165,0.161,0.378,Intermediate,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AP1G2,-,donor,yes,39,4.837445776,-4.390297648,2,-0.204909608,-1.051341497,5,NA,NA,NA,FALSE
NA,chr10:48451628-48453300,NA,NA,NA,NA,NA,NA,NA,0.023,0.023,0.023,0.131,0.159,0.172,0.15,0.204,Intermediate,Bottom,yes,ARHGAP22,-,novel_combo,yes,40,0.293931563,9.582939517,9,NA,NA,NA,1.555403555,-1.844000902,3,FALSE
NA,chr10:48583152-48583378,NA,NA,NA,NA,NA,NA,NA,0.041,0.328,0.725,0.869,0.953,0.918,0.895,0.974,Earli,Top,yes,ARHGAP22,-,novel_donor,yes,41,-2.241001124,9.204942669,9,NA,NA,NA,-1.254423433,5.728287842,1,FALSE
NA,chr10:48583510-48604763,NA,NA,NA,NA,NA,NA,NA,0.048,0.118,0.384,0.501,0.501,0.501,0.501,0.501,Earli,Top,yes,ARHGAP22,-,novel_acceptor,no,41,-1.576694139,9.034939314,9,NA,NA,NA,-0.225662801,1.711040902,4,FALSE
NA,chr10:48555550-48604763,NA,NA,NA,NA,NA,NA,NA,0.094,0.375,0.692,0.692,0.711,0.702,0.683,0.683,Earli,Top,no,ARHGAP22,-,annotated,no,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr5:143214088-143216187,NA,NA,NA,NA,NA,NA,NA,0.015,0.015,0.015,0.157,0.173,0.183,0.162,0.174,Intermediate,Bottom,yes,ARHGAP26,+,annotated,yes,42,0.32116623,9.603437757,9,NA,NA,NA,1.509244721,-1.78286644,3,TRUE
0.015,chr11:128992046-128998319,0.267,0.75,0.75,0.765,0.857,Earli,Top,0.032,0.284,0.617,0.775,0.857,0.899,0.863,0.863,Earli,Top,yes,ARHGAP32,-,novel_acceptor,yes,43,-4.973170287,2.37934582,3,0.881407349,7.02755281,3,-1.366616418,5.563397722,1,TRUE
NA,chr5:54242150-54282271,NA,NA,NA,NA,NA,NA,NA,0.036,0.036,0.036,0.036,0.036,0.036,0.356,0.731,Late,Top,yes,ARL15,-,none,yes,44,-0.57052273,3.426647712,4,NA,NA,NA,-1.903024699,-2.063653902,2,FALSE
NA,chr5:54171928-54242070,NA,NA,NA,NA,NA,NA,NA,0.005,0.016,0.005,0.005,0.005,0.005,0.354,0.415,Late,Medium,no,ARL15,-,novel_donor,yes,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.373,chr2:9335179-9336036,0.373,0.373,0.373,0.373,0.637,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ASAP2,+,acceptor,no,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.41,chr2:9336044-9344532,0.41,0.41,0.41,0.41,0.658,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ASAP2,+,donor,no,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr2:219532939-219535171,NA,NA,NA,NA,NA,NA,NA,0.224,0.224,0.224,0.224,0.469,0.512,0.512,0.547,Intermediate,Medium,yes,ASIC4,+,skip,no,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.001,chr2:241668985-241670726,0.001,0.192,0.209,0.402,0.45,Early,Top,0.001,0.001,0.135,0.213,0.32,0.283,0.233,0.371,Early,Medium,yes,ATG4B,+,novel_donor,yes,47,-2.817424915,3.616516178,4,1.532940677,2.501451271,2,0.414144395,0.417495277,4,FALSE
0.001,chr2:241668685-241668875,0.001,0.068,0.102,0.14,0.227,Early,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,Early,NA,no,ATG4B,+,acceptor,yes,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.094,chr2:241653369-241653512,0.094,0.094,0.276,0.311,0.547,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ATG4B,+,donor,no,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.105,chr2:241651335-241653307,0.105,0.272,0.23,0.315,0.499,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,ATG4B,+,acceptor,no,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr3:10385327-10388277,NA,NA,NA,NA,NA,NA,NA,0.016,0.016,0.016,0.259,0.307,0.307,0.273,0.267,Early,Bottom,yes,ATP2B2,-,skip,yes,49,-0.410971602,9.342817733,9,NA,NA,NA,0.190402804,0.09954018,4,FALSE
NA,chr17:42516897-42521027,NA,NA,NA,NA,NA,NA,NA,0.033,0.033,0.033,0.033,0.033,0.252,0.252,0.298,Late,Bottom,yes,ATP6V0A1,+,novel_donor,no,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.558,chr18:79277196-79303604,0.558,0.735,0.747,0.796,0.988,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,ATP9B,+,donor,no,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.191,chr7:70435781-70698569,0.191,0.191,0.191,0.191,0.46,Late,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AUTS2,+,donor,no,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.729,chr7:70766355-70768024,0.729,0.877,0.877,0.877,0.981,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,AUTS2,+,acceptor,no,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr21:29194260-29218861,NA,NA,NA,NA,NA,NA,NA,0.22,0.22,0.22,0.51,0.523,0.538,0.499,0.685,Early,Top,yes,BACH1,+,annotated,no,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.058,chr2:111123869-111150044,0.058,0.347,0.395,0.456,0.456,Early,Top,0.158,0.158,0.497,0.649,0.658,0.642,0.664,0.679,Earli,Top,yes,BCL2L11,+,annotated,no,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.013,chr22:17702386-17722274,0.013,0.013,0.013,0.013,0.185,Late,Bottom,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.211,Late,Bottom,yes,BCL2L13,+,novel_acceptor,yes,56,1.576757626,1.794099987,5,-1.410132415,-5.431678019,1,3.702904795,-5.153628807,5,FALSE
0.328,chr11:118910015-118918826,0.328,0.58,0.593,0.634,0.977,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,BCL9L,-,acceptor,no,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.002,chr10:58798560-58800194,0.002,0.188,0.397,0.383,0.383,Early,Top,0.002,0.002,0.002,0.002,0.3,0.256,0.338,0.337,Intermediate,Medium,yes,BICC1,+,novel_exon_skip,yes,58,-2.423390996,3.791209672,4,1.861661719,2.398743674,2,-1.519608683,-1.193362022,2,FALSE
NA,chr2:127051243-127057473,NA,NA,NA,NA,NA,NA,NA,0.488,0.488,0.676,0.757,0.765,0.76,0.768,0.806,Early,Medium,yes,BIN1,-,annotated,no,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr17:67875020-67886128,NA,NA,NA,NA,NA,NA,NA,0.571,0.571,0.571,0.688,0.678,0.759,0.797,0.846,Intermediate,Bottom,yes,BPTF,+,skip,no,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.143,chr6:32975112-32975384,0.143,0.143,0.143,0.143,0.347,Late,Bottom,0.217,0.217,0.217,0.217,0.217,0.217,0.217,0.424,Late,Bottom,yes,BRD2,+,annotated,no,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr6:32974765-32975021,NA,NA,NA,NA,NA,Late,NA,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.376,Late,Bottom,no,BRD2,+,annotated,no,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.566,chr5:138159599-138160069,0.566,0.851,0.807,0.858,0.942,Early,Medium,0.694,0.694,0.912,0.912,0.919,0.898,0.898,0.937,Early,Bottom,yes,BRD8,-,annotated,no,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.551,chr5:138157267-138159555,0.551,0.817,0.833,0.815,0.868,Early,Medium,0.677,0.677,0.677,0.677,0.893,0.893,0.893,0.912,Early,Bottom,no,BRD8,-,skip,no,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.543,chr15:75208876-75210749,0.543,0.957,0.957,0.911,0.96,Early,Top,0.567,0.567,0.872,0.851,0.929,0.949,0.949,0.995,Earli,Top,yes,C15orf39,+,annotated,no,63,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.163,chr1:197903119-197905796,0.163,0.342,0.372,0.423,0.604,Early,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,C1orf53,+,donor,no,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr4:86888275-86890048,NA,NA,NA,NA,NA,NA,NA,0.05,0.355,0.355,0.355,0.393,0.393,0.425,0.425,Early,Medium,yes,C4orf36,-,annotated,yes,65,-0.896862237,9.005088893,9,NA,NA,NA,0.309409816,1.204943981,4,FALSE
NA,chr4:86890158-86891456,NA,NA,NA,NA,NA,NA,NA,0.008,0.376,0.376,0.376,0.376,0.376,0.376,0.376,Early,Medium,no,C4orf36,-,annotated,yes,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.216,chr5:127051947-127052613,0.216,0.216,0.216,0.216,0.689,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,C5orf63,-,acceptor,no,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.091,chr6:10683232-10684849,0.091,0.091,0.091,0.091,0.482,Late,Top,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,C6orf52,-,donor,no,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr9:138069763-138073488,NA,NA,NA,NA,NA,NA,NA,0.339,0.339,0.339,0.339,0.339,0.339,0.339,0.705,Late,Medium,yes,CACNA1B,+,annotated,no,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr9:138059737-138069758,NA,NA,NA,NA,NA,NA,NA,0.307,0.307,0.307,0.307,0.307,0.307,0.307,0.653,Late,Medium,no,CACNA1B,+,annotated,no,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.471,chr7:81982627-81983314,0.471,0.471,0.471,0.471,0.801,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CACNA2D1,-,donor,no,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.496,chr7:81983334-81984635,0.496,0.496,0.496,0.496,0.808,Late,Medium,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no,CACNA2D1,-,acceptor,no,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.237,chr3:50370380-50373065,0.237,0.237,0.237,0.356,0.577,Intermediate,Medium,0.185,0.185,0.185,0.185,0.185,0.185,0.185,0.38,Late,Bottom,yes,CACNA2D2,-,annotated,no,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
0.212,chr3:50373085-50374737,0.212,0.212,0.212,0.324,0.545,Intermediate,Medium,0.188,0.188,0.188,0.188,0.188,0.188,0.188,0.393,Late,Bottom,no,CACNA2D2,-,annotated,no,70,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr3:85979283-86065605,NA,NA,NA,NA,NA,NA,NA,0.259,0.259,0.646,0.762,0.76,0.779,0.786,0.843,Earli,Top,yes,CADM2,+,annotated,no,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr3:85961647-85979164,NA,NA,NA,NA,NA,NA,NA,0.375,0.375,0.733,0.829,0.824,0.84,0.851,0.894,Earli,Top,no,CADM2,+,annotated,no,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
NA,chr7:44220901-44222117,NA,NA,NA,NA,NA,NA,NA,0.002,0.002,0.002,0.002,0.355,0.334,0.403,0.391,Intermediate,Medium,yes,CAMK2B,-,novel_donor,yes,72,-0.84186801,9.59307128,9,NA,NA,NA,-1.958591726,-1.132272146,2,FALSE
0.039,chr12:121240869-121244573,0.039,0.039,0.194,0.17,0.268,Intermediate,Bottom,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,CAMKK2,-,donor,yes,73,0.657830763,-5.542760056,8,0.666885502,-1.0547298,5,NA,NA,NA,FALSE
NA,chr19:48241063-48246075,NA,NA,NA,NA,NA,NA,NA,0.012,0.012,0.012,0.064,0.064,0.166,0.166,0.228,Late,Bottom,yes,CARD8,-,annotated,yes,74,0.786891824,3.064243654,5,NA,NA,NA,2.070442139,-2.896513741,3,FALSE
