gene_name,paste_into_igv_junction,group,auc,fpr_value,tpr_value,value_not_path,value_tdp_path,frac_ob_not_path,frac_ob_tdp_path,n_samples_not_path,n_samples_tdp_path,true_dark,strand,datasets_detected,new_cate,tdp43_sensitivity_be2,tdp43_sensitivity_sh,chx_effect,upf1_effect,smg1_effect
ATF7IP2,chr16:10457529-10473479,FTD frontal/temporal,0.503516483516483,0.576923076923077,0.571428571428571,40,11,0.307692307692308,0.157142857142857,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ATF7IP2,chr16:10457529-10473479,Motor Cortex,0.483840424188865,0.449438202247191,0.420224719101124,26,104,0.292134831460674,0.233707865168539,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
ATF7IP2,chr16:10457529-10473479,RiMOD,0.637962962962963,0.481481481481482,0.8,13,6,0.481481481481482,0.3,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
HINFP,chr11:119125799-119126935,Cord,0.512825868983957,0.254901960784314,0.289772727272727,18,50,0.117647058823529,0.0710227272727273,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
HINFP,chr11:119125799-119126935,FTD frontal/temporal,0.526373626373626,0.269230769230769,0.3,12,7,0.0923076923076923,0.1,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
HINFP,chr11:119125799-119126935,Motor Cortex,0.491566721373564,0.269662921348315,0.251685393258427,7,26,0.0786516853932584,0.0584269662921348,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
HINFP,chr11:119125799-119126935,RiMOD,0.473148148148148,0.296296296296296,0.2,5,3,0.185185185185185,0.15,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
GOLT1A,chr1:204198496-204213882,RiMOD,0.55,0,0.1,0,1,0,0.05,27,20,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
C14orf28,chr14:44904493-44905367,Cord,0.533835598633393,0.274509803921569,0.349431818181818,12,90,0.0784313725490196,0.127840909090909,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
C14orf28,chr14:44904493-44905367,FTD frontal/temporal,0.401483516483516,0.423076923076923,0.228571428571429,20,4,0.153846153846154,0.0571428571428571,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
C14orf28,chr14:44904493-44905367,Motor Cortex,0.507915667213736,0.370786516853933,0.375280898876405,14,89,0.157303370786517,0.2,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
C14orf28,chr14:44904493-44905367,RiMOD,0.550925925925926,0.592592592592593,0.7,8,7,0.296296296296296,0.35,27,20,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
GPC6,chr13:94310567-94317384,Cord,0.502840909090909,0,0.00568181818181818,0,2,0,0.00284090909090909,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
GPC6,chr13:94310567-94317384,FTD frontal/temporal,0.503351648351648,0.00769230769230767,0.0142857142857143,0,0,0,0,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
GPC6,chr13:94310567-94317384,Motor Cortex,0.503370786516854,0,0.00674157303370787,0,0,0,0,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-313J2.1,chr10:42338240-42367506,Cord,0.485113079322638,0.111111111111111,0.0823863636363636,6,13,0.0392156862745098,0.0184659090909091,153,704,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-313J2.1,chr10:42338240-42367506,FTD frontal/temporal,0.442142857142857,0.130769230769231,0.0142857142857143,2,0,0.0153846153846154,0,130,70,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-313J2.1,chr10:42338240-42367506,Motor Cortex,0.481845726549678,0.112359550561798,0.0808988764044944,2,3,0.0224719101123596,0.00674157303370787,89,445,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
RP11-313J2.1,chr10:42338240-42367506,RiMOD,0.462962962962963,0.185185185185185,0.1,1,0,0.037037037037037,0,27,20,TRUE,-,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NUTM2E,chr10:79828339-79838780,Cord,0.501420454545455,0,0.00284090909090909,0,0,0,0,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NUTM2E,chr10:79828339-79838780,FTD frontal/temporal,0.507142857142857,0,0.0142857142857143,0,0,0,0,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
NUTM2E,chr10:79828339-79838780,Motor Cortex,0.497714934982957,0.0112359550561798,0.00674157303370787,0,0,0,0,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
MDC1-AS1,chr6:30704546-30704916,Cord,0.494865938799762,0.0130718954248366,0.00284090909090909,2,0,0.0130718954248366,0,153,704,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
MDC1-AS1,chr6:30704546-30704916,FTD frontal/temporal,0.507142857142857,0,0.0142857142857143,0,0,0,0,130,70,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
MDC1-AS1,chr6:30704546-30704916,Motor Cortex,0.502247191011236,0,0.00449438202247191,0,0,0,0,89,445,TRUE,+,UPF1 - i3Cortical,"","","","",Dark cryptic,""
MAD1L1,chr7:1898390-1957629,Cord,0.494958778966132,0.065359477124183,0.0553977272727273,2,6,0.0130718954248366,0.00852272727272727,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MAD1L1,chr7:1898390-1957629,FTD frontal/temporal,0.516538461538462,0.0538461538461539,0.0857142857142857,0,0,0,0,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MAD1L1,chr7:1898390-1957629,Motor Cortex,0.489104910996086,0.0561797752808989,0.0337078651685393,1,3,0.0112359550561798,0.00674157303370787,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
RP11-383A19.1,chr7:1898390-1957629,Cord,0.494958778966132,0.065359477124183,0.0553977272727273,2,6,0.0130718954248366,0.00852272727272727,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
RP11-383A19.1,chr7:1898390-1957629,FTD frontal/temporal,0.516538461538462,0.0538461538461539,0.0857142857142857,0,0,0,0,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
RP11-383A19.1,chr7:1898390-1957629,Motor Cortex,0.489104910996086,0.0561797752808989,0.0337078651685393,1,3,0.0112359550561798,0.00674157303370787,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
STPG1,chr1:24361041-24373702,Cord,0.537795231729055,0.117647058823529,0.190340909090909,3,22,0.0196078431372549,0.03125,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
STPG1,chr1:24361041-24373702,FTD frontal/temporal,0.491318681318681,0.230769230769231,0.2,8,3,0.0615384615384615,0.0428571428571429,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
STPG1,chr1:24361041-24373702,Motor Cortex,0.488978664310062,0.280898876404494,0.276404494382023,6,29,0.0674157303370787,0.0651685393258427,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
STPG1,chr1:24361041-24373702,RiMOD,0.477777777777778,0.407407407407407,0.35,6,4,0.222222222222222,0.2,27,20,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MTMR7,chr8:17302423-17307737,Cord,0.488552807486631,0.0326797385620915,0.00994318181818182,0,0,0,0,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MTMR7,chr8:17302423-17307737,FTD frontal/temporal,0.51054945054945,0.00769230769230767,0.0285714285714286,0,0,0,0,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MTMR7,chr8:17302423-17307737,Motor Cortex,0.49195808610024,0.0337078651685393,0.0179775280898876,0,0,0,0,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
FAM214B,chr9:35108737-35111567,Cord,0.556451463161022,0.522875816993464,0.596590909090909,70,252,0.457516339869281,0.357954545454545,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
FAM214B,chr9:35108737-35111567,FTD frontal/temporal,0.631978021978022,0.507692307692308,0.685714285714286,58,23,0.446153846153846,0.328571428571429,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
FAM214B,chr9:35108737-35111567,Motor Cortex,0.505731599545512,0.438202247191011,0.456179775280899,38,170,0.426966292134831,0.382022471910112,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
FAM214B,chr9:35108737-35111567,RiMOD,0.526851851851852,0.37037037037037,0.45,8,8,0.296296296296296,0.4,27,20,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
CRAMP1,chr16:1613491-1614639,Cord,0.492057523767083,0.215686274509804,0.208806818181818,8,45,0.0522875816993464,0.0639204545454545,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CRAMP1,chr16:1613491-1614639,FTD frontal/temporal,0.551208791208791,0.2,0.314285714285714,7,4,0.0538461538461539,0.0571428571428571,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CRAMP1,chr16:1613491-1614639,Motor Cortex,0.540058073475571,0.0449438202247191,0.123595505617978,1,11,0.0112359550561798,0.0247191011235955,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CRAMP1,chr16:1613491-1614639,RiMOD,0.400925925925926,0.296296296296296,0.15,6,1,0.222222222222222,0.05,27,20,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CELSR3,chr3:48649717-48650275,Cord,0.500710227272727,0,0.00142045454545455,0,1,0,0.00142045454545455,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
CELSR3,chr3:48649717-48650275,Motor Cortex,0.49438202247191,0.0112359550561798,0,0,0,0,0,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
CELSR3,chr3:48649215-48649534,Never observed,,,,0,0,0,0,,,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
MPND,chr19:4345982-4352896,Never observed,,,,0,0,0,0,,,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
NFIX,chr19:13025552-13067345,Cord,0.48101882798574,0.130718954248366,0.0923295454545454,4,6,0.0261437908496732,0.00852272727272727,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
NFIX,chr19:13025552-13067345,FTD frontal/temporal,0.541428571428572,0.0923076923076923,0.171428571428571,4,2,0.0307692307692308,0.0285714285714286,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
NFIX,chr19:13025552-13067345,Motor Cortex,0.504406009342255,0.0898876404494382,0.098876404494382,2,4,0.0224719101123596,0.00898876404494382,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
NFIX,chr19:13025552-13067345,RiMOD,0.635185185185185,0.0370370370370371,0.3,0,2,0,0.1,27,20,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC19,chr17:16006568-16008978,Cord,0.497549019607843,0.241830065359477,0.242897727272727,14,39,0.0915032679738562,0.0553977272727273,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC19,chr17:16006568-16008978,FTD frontal/temporal,0.499505494505495,0.138461538461538,0.128571428571429,2,2,0.0153846153846154,0.0285714285714286,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC19,chr17:16006568-16008978,Motor Cortex,0.497500315616715,0.123595505617978,0.121348314606742,4,11,0.0449438202247191,0.0247191011235955,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC19,chr17:16006568-16008978,RiMOD,0.572222222222222,0.111111111111111,0.25,2,3,0.0740740740740741,0.15,27,20,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
XYLT2,chr17:50353320-50354264,Cord,0.488627079619727,0.130718954248366,0.107954545454545,0,0,0,0,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
XYLT2,chr17:50353320-50354264,FTD frontal/temporal,0.495164835164835,0.123076923076923,0.114285714285714,0,0,0,0,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
XYLT2,chr17:50353320-50354264,Motor Cortex,0.48520388839793,0.123595505617978,0.0966292134831461,0,0,0,0,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
DEPDC1,chr1:68485138-68486937,Never observed,,,,0,0,0,0,,,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC17,chr11:43405717-43407138,Cord,0.4991458704694,0.555555555555556,0.571022727272727,111,520,0.725490196078431,0.738636363636364,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC17,chr11:43405717-43407138,FTD frontal/temporal,0.558461538461539,0.407692307692308,0.514285714285714,89,48,0.684615384615385,0.685714285714286,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC17,chr11:43405717-43407138,Motor Cortex,0.527572276227749,0.539325842696629,0.582022471910112,55,267,0.617977528089888,0.6,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
TTC17,chr11:43405717-43407138,RiMOD,0.575925925925926,0.444444444444444,0.5,23,19,0.851851851851852,0.95,27,20,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
KMT2C,chr7:152199459-152220523,Cord,0.458774324123589,0.34640522875817,0.265625,14,61,0.0915032679738562,0.0866477272727273,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
KMT2C,chr7:152199459-152220523,FTD frontal/temporal,0.523076923076923,0.284615384615385,0.328571428571429,11,4,0.0846153846153846,0.0571428571428571,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
KMT2C,chr7:152199459-152220523,Motor Cortex,0.464613053907335,0.359550561797753,0.285393258426966,6,35,0.0674157303370787,0.0786516853932584,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
KMT2C,chr7:152199459-152220523,RiMOD,0.509259259259259,0.185185185185185,0.2,3,3,0.111111111111111,0.15,27,20,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
POLD1,chr19:50415826-50416610,Cord,0.504911244800951,0.0130718954248366,0.0227272727272727,0,2,0,0.00284090909090909,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
POLD1,chr19:50415826-50416610,FTD frontal/temporal,0.496153846153846,0.00769230769230767,0,0,0,0,0,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
POLD1,chr19:50415826-50416610,Motor Cortex,0.506741573033708,0,0.0134831460674157,0,1,0,0.00224719101123596,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CTD-2545M3.6,chr19:50415826-50416610,Cord,0.504911244800951,0.0130718954248366,0.0227272727272727,0,2,0,0.00284090909090909,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CTD-2545M3.6,chr19:50415826-50416610,FTD frontal/temporal,0.496153846153846,0.00769230769230767,0,0,0,0,0,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
CTD-2545M3.6,chr19:50415826-50416610,Motor Cortex,0.506741573033708,0,0.0134831460674157,0,1,0,0.00224719101123596,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
SEZ6,chr17:28959840-28960505,Cord,0.480447860962567,0.0718954248366013,0.0326704545454545,1,2,0.0065359477124183,0.00284090909090909,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
SEZ6,chr17:28959840-28960505,FTD frontal/temporal,0.530934065934066,0.107692307692308,0.171428571428571,5,4,0.0384615384615385,0.0571428571428571,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
SEZ6,chr17:28959840-28960505,Motor Cortex,0.487375331397551,0.112359550561798,0.0831460674157303,0,4,0,0.00898876404494382,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
SEZ6,chr17:28959840-28960505,RiMOD,0.544444444444444,0.111111111111111,0.2,2,2,0.0740740740740741,0.1,27,20,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
UHRF1BP1,chr6:34867616-34871584,Cord,0.487401589423648,0.352941176470588,0.313920454545455,18,79,0.117647058823529,0.112215909090909,153,704,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
UHRF1BP1,chr6:34867616-34871584,FTD frontal/temporal,0.50967032967033,0.338461538461539,0.371428571428571,13,8,0.1,0.114285714285714,130,70,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
UHRF1BP1,chr6:34867616-34871584,Motor Cortex,0.458717333669991,0.348314606741573,0.278651685393258,8,33,0.0898876404494382,0.0741573033707865,89,445,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
UHRF1BP1,chr6:34867616-34871584,RiMOD,0.6,0.185185185185185,0.35,3,6,0.111111111111111,0.3,27,20,TRUE,+,CHX -SHY5Y,"","","",Dark cryptic,"",""
EVI5,chr1:92605402-92624176,Cord,0.552779634581105,0.366013071895425,0.413352272727273,32,191,0.209150326797386,0.271306818181818,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
EVI5,chr1:92605402-92624176,FTD frontal/temporal,0.480824175824176,0.584615384615385,0.542857142857143,27,15,0.207692307692308,0.214285714285714,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
EVI5,chr1:92605402-92624176,Motor Cortex,0.533303875773261,0.550561797752809,0.591011235955056,19,105,0.213483146067416,0.235955056179775,89,445,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
EVI5,chr1:92605402-92624176,RiMOD,0.609259259259259,0.444444444444444,0.7,16,8,0.592592592592593,0.4,27,20,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
PLEKHH3,chr17:42669621-42670573,Cord,0.502395276292335,0.00653594771241828,0.0113636363636364,0,0,0,0,153,704,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
PLEKHH3,chr17:42669621-42670573,FTD frontal/temporal,0.492307692307692,0.0153846153846153,0,2,0,0.0153846153846154,0,130,70,TRUE,-,CHX -SHY5Y,"","","",Dark cryptic,"",""
