ID_exon,paste_into_igv_junction,3_ss_score_cryptic,tdp43_sensitivity_sh,cryptic,alt_site,normal_site,3_ss_score_ann
212,chr15:74128307-74130554,7.67,Early,no,74130554,74128307,11.37
413,chr15:74193136-74193800,5.56,Early,no,74193136,74193800,10.89
17,chr16:50246203-50246881,8.65,Early,yes,50246881,50246203,12.32
1,chr16:70272882-70276486,7.46,Intermediate,yes,70272882,70276486,5.7
267,chr16:70669046-70674306,11.11,Intermediate,yes,70669046,70674306,8.41
224,chr17:5014837-5019849,7.86,Early,no,5019849,5014837,9.63
222,chr17:6580975-6589779,6.38,Intermediate,yes,6580975,6589779,9.36
271,chr17:29131442-29165942,9.64,Intermediate,yes,29131442,29165942,11.55
262,chr17:43884155-43898262,9.17,Early,no,43884155,43898262,11.46
464,chr17:44212454-44212819,8.9,Early,no,44212454,44212819,8.07
11,chr17:50461686-50461820,4.94,Early,yes,50461820,50461686,7.1
259,chr17:76933297-76937229,10.45,Early,yes,76937229,76933297,11.6
423,chr18:26293531-26295195,8.6,Intermediate,no,26295195,26293531,8.55
351,chr19:1496453-1496591,0.5,Early,no,1496591,1496453,11.36
191,chr19:4491835-4492015,7.67,Early,yes,4492015,4491835,9.26
500,chr19:9418895-9419051,5.26,Early,no,9418895,9419051,6.87
393,chr19:11033517-11033767,8.83,Intermediate,no,11033767,11033517,4.6
144,chr19:11463662-11466172,8.64,Early,yes,11463662,11466172,7.29
283,chr19:13024034-13024535,0.06,Late,yes,13024535,13024034,9.5
283,chr19:13024034-13024535,0.06,Late,yes,13024535,13024034,9.5
468,chr19:17623216-17623542,8.46,,yes,17623216,17623542,-21.46
466,chr19:17642541-17642845,8.74,Early,yes,17642541,17642845,6.07
467,chr19:17653320-17655274,7.54,Intermediate,yes,17653320,17655274,12.48
518,chr19:20406132-20408950,7.18,,no,20406132,20408950,5.68
514,chr19:23755551-23758747,12.93,Early,no,23755551,23758747,8.27
219,chr19:33799718-33800138,1.86,Intermediate,yes,33800138,33799718,8.86
220,chr19:33799719-33800137,-17.77,Early,yes,33800137,33799719,-14.55
186,chr19:35000486-35001098,10.46,Early,yes,35001098,35000486,10.53
380,chr19:37907358-38008096,10.38,,yes,38008096,37907358,10.32
213,chr19:55455845-55456349,6.67,Late,no,55455845,55456349,12.41
122,chr20:3344699-3348525,10.24,,yes,3344699,3348525,4.13
397,chr20:10284772-10293161,4.93,Intermediate,no,10293161,10284772,8.82
150,chr20:36194360-36195329,3.94,Late,no,36195329,36194360,9.96
389,chr20:49849680-49850810,11.22,Early,no,49850810,49849680,12.55
492,chr20:63709164-63732003,4.83,Intermediate,yes,63732003,63709164,10.5
123,chr20:63931022-63931109,8.53,Early,no,63931109,63931022,10.28
429,chr21:9124421-9127489,8.04,,no,9124421,9127489,12.85
179,chr22:19824077-19854443,8.07,Intermediate,yes,19824077,19854443,8.4
339,chr22:20122421-20122580,2.35,Intermediate,yes,20122580,20122421,6.96
366,chr22:50467001-50467338,10.81,Intermediate,no,50467001,50467338,8.6
377,chr22:50706152-50711615,3.68,Early,no,50711615,50706152,4.01
247,chrX:20050946-20052878,5.98,,no,20050946,20052878,4.9
10,chrX:23734367-23735919,7.33,,no,23734367,23735919,9.95
346,chrX:107113468-107115352,6.06,Early,no,107113468,107115352,8.85
408,chrX:124090764-124090854,4.19,Early,no,124090854,124090764,7.62
3,chrX:153740237-153740305,5.83,Late,yes,153740305,153740237,5.19
